"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호...18","성분 및 원료","비고","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16"
"1","번호2504","품목보고번호2012057308031","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한730","제품명앱스워터 골프(ABS water golf)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2503","품목보고번호2012057308029","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명앱스워터 맘(ABS water mom)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)",NA,NA,NA,NA,NA,NA,"1","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2502","품목보고번호2012057308023","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명앱스워터 베이비(ABS water baby)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2501","품목보고번호2012057308019","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명앱스워터 뷰티(ABS water beauty)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2500","품목보고번호2012057308024","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명앱스워터 울트라(ABS water ultra)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2499","품목보고번호2012057308020","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명앱스워터 클래식(ABS water classic)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2498","품목보고번호2012057308026","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명앱스워터 키즈(ABS water kids)","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2497","품목보고번호198604350131241","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명앵글 옐로우 클로버","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","정제수","프락토올리고당","","",NA,NA,NA,"3","4","5","6","7","8","9","10","11","12","13","14","15","16","에리스리톨","식물혼합농축액","베리혼합농축액","늙은호박","수박농축액","식물혼합추출물분말","사과농축액","옐로우스위트클로버추출분말","β-시클로덱스트린","시트러스향","맥아추출액","구연산","펙틴","효소처리스테비아","","(고형분 30%)","(고형분 48%)","늙은호박농축액(고형분 65%)","(고형분 64%)","","(고형분 70%)","(메리로트추출분말)","","(천연향료)","맥아추출물(고형분 40%)","","",""
"9","번호2496","품목보고번호19860443015645","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명야미푸 키즈홍삼","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","정제수","기타 농산가공품","","6년근홍삼추출액",NA,NA,NA,"3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"액상과당","글루콘산아연","과.채가공품","향료","향료","γ-시클로덱스트린","황금혼합추출물","구연산(무수)","효소처리스테비아","유산균배양건조물","비타민 C 분말","비타민 B1 혼합제제",NA,NA,"","","엘더베리농축액","홍삼향","쌍화향","","복합황금추출물","무수구연산","","유산균배양분말","","",NA,NA
"10","번호2495","품목보고번호20110149027382","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명약도라지&꿀배콜라겐젤리","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","배농축액","도라지추출액","국내산","국내산",NA,NA,NA,"3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,"생선콜라겐펩타이드분말","벌꿀","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난",NA,NA,NA,NA,NA,NA,NA,"베트남산","","","","","","",NA,NA,NA,NA,NA,NA,NA
