"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","번호13","번호14","번호15","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고16","비고17","비고18","비고19"
"1","번호2334","품목보고번호20110149027215","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘뉴트리 타트체리벨벳 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","체리농축액","콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","타트체리농축액, 터키산","피쉬콜라겐, 베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2333","품목보고번호20110149027158","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘뉴트리 호박신화 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","늙은호박추출액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","20 brix, 국내산","","","","","","","","","10","11","벌꿀","히비스커스분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2332","품목보고번호198804420041741","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한18개월","제품명엘더베리 진","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9","정제수","사과농축액","배농축액","프락토올리고당","블랙엘더베리농축액","콩코드포도농축액","레드자몽농축액","아로니아농축액","글루콘산아연","","","","","엘더베리농축액","유기농콩코드포도농축액","적자몽농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2331","품목보고번호20130415052206","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명엘더베리진","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","정제수","사과농축액","배농축액","프락토올리고당","블랙엘더베리농축액","포도농축액","레드자몽농축액","아로니아농축액","글루콘산아연","","","","","엘더베리농축액","","적자몽농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2330","품목보고번호20150375129176","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명엘라스틴 더 콜라겐","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","8","9","생선콜라겐","레드비트농축액","프락토올리고당","비타민C","구연산(무수)","과일혼합농축액분말","엘라스틴가수분해물","병풀잎추출물분말","합성향료","피쉬콜라겐","","","","","과일야채혼합(농축액)분말","프로라스틴(엘라스틴)","병풀추출분말","석류향","10","11","히알루론산혼합제제","돼지태반추출분말","","돈태반추출분말","12","13","14","15","우유단백질","아미노산혼합제제","비타민미네랄혼합제제","정제수","밀크세라마이드","아미노믹스","비타민미네랄믹스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2329","품목보고번호20110149027294","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘라스틴 석류콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","석류농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","고형분 20%이상, 스페인산","","","","","","","","","10","11","비타민C","엘라스틴가수분해물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2328","품목보고번호20110149027266","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘라스틴 석류콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","고형분 60%/65 brix, 스페인산","베트남산","","","","","","","","10",NA,"엘라스틴가수분해물",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2327","품목보고번호20110149027293","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엘라스틴 알로에콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","알로에농축액","청포도농축액","사과농축액","생선콜라겐펩타이드분말","엘라스틴가수분해물","비타민C","로커스트콩검","잔탄검","분말한천(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","타마린드검","카라기난",NA,NA,"12","13",NA,NA,"염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2326","품목보고번호20140368660334","업소명(주)자임에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명엘리자베스 캐모마일 골드","분류식품","업체명","(주)자임에프앤비","소재지","경기도 이천시 사음로 11(1동 사음동)","1","2","3","4","5","6","7","8","9","정제수","기타과당","설탕","레몬즙","리치농축","덱스트린","체리과즙","히비스커스","DL-사과산","","","","","리치농축액","말토덱스트린","타트체리과즙","히비스커스주스","","10","11","캐모마일추출물분말","혼합제제","캐모마일추출분말","리치향","12","13","14","15","합성향료","카복시메틸셀룰로스나트륨","혼합제제","구연산","캐모마일향","","카라기난검","","16","17","18","19","혼합제제","혼합제제","비타민C","구연산삼나트륨","레몬향","애플민트향","",""
"10","번호2325","품목보고번호19970378043413","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명엘리자베스 퀸즈 콜라겐","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","3","4","5","6","7","8","9","생선콜라겐펩타이드","정제수","프락토올리고당","석류농축액","사과농축액","레드비트농축액","유자청징농축액","아사이베리혼합농축액","구연산(무수)","저분자피쉬콜라겐펩타이드","","","스페인산","고형분 70%이상, 사과(국산)","레드비트 100%, 독일산","고형분 48%이상, 유자(국산)","아사이혼합베리농축액","","10","11","비타민C","유자향","","","12","13","14","15","사과향","기타가공품","건조효모","산화아연","","엘라스틴, 프로라스틴","효모식품, 랄민 에스 1000","","16","17",NA,NA,"혼합제제","수크랄로스",NA,NA,"비타민D3오일,비타민D3 1.0 혼합제제","",NA,NA
