"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고5","비고6","비고7","비고8","번호9","성분 및 원료9","비고9"
"1","번호1933","품목보고번호2009039717845","업소명봉평메밀특산단지영농조합법인","품목유형혼합음료","유통/소비기한18개월(0~10℃냉장보관, -18℃이하 냉동보관)","제품명유기농쌀식혜","분류식품","업체명","봉평메밀특산단지영농조합법인","소재지","강원도 평창군 봉평면 이효석길 5-50","1","2","3","4","멥쌀","엿기름","설탕","정제수","유기농","유기농","유기농","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1932","품목보고번호19950433026555","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명유기농알로에망고","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","알로에겔절편","백설탕","망고퓌레","천연망고향","","유기농설탕","유기농망고퓨레","","5","6","7","8","비타민C","구연산","젤란검","정제수","","구연산함수","","",NA,NA,NA
"3","번호1931","품목보고번호19950433026556","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명유기농알로에석류","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","알로에겔절편","백설탕","석류농축액","구연산","","유기농설탕","유기농석류농축액","구연산함수","5","6","7","8","석류향","비타민C","젤란검","정제수","천연석류향","","","",NA,NA,NA
"4","번호1930","품목보고번호19950433026554","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명유기농알로에오리지널","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","알로에베라겔크러쉬","백설탕","구연산","비타민C","유기농알로에절편","","구연산함수","","5","6","7",NA,"젤란검","천연청포도향","정제수",NA,"","","",NA,NA,NA,NA
"5","번호1929","품목보고번호2006046711436","업소명주식회사 현가","품목유형혼합음료","유통/소비기한15일","제품명유기농우리밀식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","엿기름","쌀","설탕","생강",NA,NA,NA,NA,"5",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1928","품목보고번호20010515081134","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명유기농전통식혜","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","쌀","엿기름","생강농축액","정제수","","","","","5",NA,NA,NA,"갈색설탕",NA,NA,NA,"유기농황설탕",NA,NA,NA,NA,NA,NA
"7","번호1927","품목보고번호2010052806663","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 1년","제품명유기농전통식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","엿기름당화액","생강","설탕","쌀","유기농","유기농","유기농","유기농","5",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"8","번호1926","품목보고번호2010052806664","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 1년","제품명유기농호박식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","서양호박","쌀","설탕","엿기름당화액","유기농 자숙 단호박","유기농","유기농","유기농","5",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"9","번호1925","품목보고번호20110618121292","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명유기농황금매실","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","정제수","매실농축액","프락토올리고당","백설탕","","유기농매실농축액(60Brix)","유기농프락토올리고당","유기농백설탕","5","6","7","8","사과농축액","구연산","비타민C","천연사과향","유기농사과농축액(72Brix)","무수구연산","","","9","청사과향","천연청사과향"
"10","번호1924","품목보고번호1994057201284","업소명삼육네이처세븐","품목유형혼합음료","유통/소비기한12월","제품명유기요기 유기농 식혜","분류식품","업체명","삼육네이처세븐","소재지","경상북도 봉화군 봉화읍 1농공단지길 44","1","2","3",NA,"정제수","혼합음료","기타 농산가공품",NA,"","유기농식혜진액","유기농생강가루",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
