"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12"
"1","번호1533","품목보고번호20170614111263","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명저분자 콜라겐 타트체리스틱","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","체리과즙","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)","타트체리과즙100%(고형분20%)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1532","품목보고번호198604350131022","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터                        18 개월","제품명저분자 피쉬콜라겐 5000","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","정제수","생선콜라겐","열대과일혼합농축액","기타과당","자일리톨","구연산","오렌지향","","(저분자피쉬콜라겐)","(64 Brix)","","","","(천연향료)","8","9","10","11","DL-사과산","맥아추출액","효소처리스테비아","비타민C","","맥아추출물(고형분 40%)","","",NA,NA,NA
"3","번호1531","품목보고번호20170614111251","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명저분자콜라겐석류스틱","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","석류과즙","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)","석류과즙100%(고형분20%)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1530","품목보고번호20170614111398","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명저분자콜라겐자몽젤리스틱","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4",NA,NA,NA,"자몽농축액","생선콜라겐분말","혼합제제","정제수",NA,NA,NA,"56brix","피쉬콜라겐분말","로커스트콩검,잔탄검,한천,타마린드검,카라기난,염화칼륨","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1529","품목보고번호20170614111399","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명저분자콜라겐호박젤리스틱","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4",NA,NA,NA,"호박농축액","생선콜라겐분말","혼합제제","정제수",NA,NA,NA,"42brix","피쉬콜라겐분말","로커스트콩검,잔탄검,한천,타마린드검,카라기나,염화칼륨","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1528","품목보고번호20030415157522","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명저분자피쉬콜라겐 액상스틱","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","정제수","생선콜라겐","에리스리톨","프락토올리고당","레몬농축액","레몬향","구연산(무수)","","피쉬콜라겐","","","","","","8","9","10","11","식물혼합추출물분말","잔탄검","효소처리스테비아","황금혼합추출물","","","","복합황금추출물","12","수크랄로스",""
"7","번호1527","품목보고번호2018049104481","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조기한으로부터 12개월","제품명저스트넛츠 아몬드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6",NA,"아몬드","정제수","당류가공품","해조칼슘","기타소금","천연향료",NA,"아몬드 추출액,고형분7%","","비정제 사탕수수당","","크리스탈라인소금","바닐라 추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1526","품목보고번호2021055909211","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명적포도액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7","포도농축액분말","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수","적포도농축분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1525","품목보고번호2011061812144","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 60일","제품명전구소다 블루레몬주스","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","정제수","백설탕","레몬농축액","레몬향","시트러스향","구연산(무수)","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,"식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1524","품목보고번호2011061812143","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 60일","제품명전구소다 자몽주스","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","정제수","백설탕","레드자몽농축액","시트러스향","자몽향","자몽향","구연산(무수)",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","DL-사과산","안식향산나트륨","식용색소적색제40호","식용색소황색제4호",NA,NA,NA,NA,NA,NA,NA
