"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33"
"1","번호781","품목보고번호20040275056918","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명트루아상 코어 맥스 아르기닌 6000","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","구연산","복숭아농축액","효소처리스테비아","혼합제제","사과농축액","비타민C","석류농축액","기타가공품","수크랄로스","타우린","아미노산혼합제제","오르니틴염산염","","","","","","복숭아향","","","","복합황금추출물","","","아미노믹스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호780","품목보고번호20010445002539","업소명엠에스바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명트리콜라겐몽크비타","분류식품","업체명","엠에스바이오텍(주)","소재지","충청북도 음성군 대소면 미산길 25","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","망고농축액","용설란시럽","프락토올리고당","올리고당","콜라겐","아라비아검","젖산칼슘","콜라겐","콜라겐","망고향","글루콘산아연","L-라이신","구연산","","","아가베시럽","","뉴오리고","리앤씨나노콜라겐펩타이드50","","","리앤씨철나노콜라겐펩타이드","리앤씨아연나노콜라겐펩타이드","","","","","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","니코틴산아미드","비타민E혼합제제분말","아미노산혼합제제","황금혼합추출물","비타민B1염산염","분말비타민 A(고시형)","판토텐산칼슘","비타민B2","비타민B12","타우린","수크랄로스","비타민D3혼합제제","아스파탐","베타인","이노시톨","나한과추출물분말","비타민B6염산염","글루콘산마그네슘","비오틴","","","아미노산믹스","황금복합추출물","","","","","","","","","","","","","","",""
"3","번호779","품목보고번호20010445002751","업소명엠에스바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명트리콜라겐몽크비타 포도맛","분류식품","업체명","엠에스바이오텍(주)","소재지","충청북도 음성군 대소면 미산길 25","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","프락토올리고당","용설란시럽","백포도농축액","콜라겐","아라비아검","젖산칼슘","합성향료","과.채가공품","콜라겐","콜라겐","구연산","글루콘산아연","DL-사과산","","","","","리앤씨나노콜라겐펩타이드50","","L-발효젖산칼슘","포도향","엑스베리 엘더베리","리앤씨철나노콜라겐펩타이드","리앤씨아연나노콜라겐펩타이드","","","","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32",NA,"비타민B12","L-라이신염산염","니코틴산아미드","비타민E혼합제제분말","기타가공품","기타가공품","잔탄검","비타민B1염산염","분말비타민A","판토텐산칼슘","비타민B2","타우린","비타민D3혼합제제","베타인","이노시톨","비타민B6염산염","비오틴","글루콘산마그네슘",NA,"0.1%","","","","아미노산믹스","복합황금추출물","","","","","","","","","","","","",NA
"4","번호778","품목보고번호20110084489449","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명트리플 아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","망고농축액","구연산","에둘리스시계꽃농축액","프락토올리고당","효소처리스테비아","천연망고향","오르니틴염산염","수박추출물","타우린","천연패션푸르츠향","기타가공품","비타민C","","","","함수구연산","패션후르츠농축액","","","천연향료","","수박과피추출물분말","","천연향료","복합황금추출물","","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"나한과추출물분말","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"나한과추출분말","아미노산혼합제제/아미노믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호777","품목보고번호19860443015593","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명트리플 에너지샷 (Triple energy shot)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","오렌지농축액","액상과당","타우린","L-아르지닌","구연산(무수)","블러드오렌지향","글루콘산아연","세븐베리농축액","비타민C","니코틴산아미드","황금혼합추출물","비타민B1염산염","비타민B6염산염","잔탄검","","","","","","","","","","","복합황금추출물","","","","15","16","17","18","19","20","21","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"효소처리스테비아","수크랄로스","비타민B2","글루콘산마그네슘","분말비타민D3혼합제제","흑마늘농축액","복분자추출물분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","유산균발효흑마늘농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호776","품목보고번호19860435013458","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명트리플헬스드링크","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","액상과당","사양벌꿀","프로폴리스추출물(고시형)","동결건조로얄젤리분말","카라멜색소","신령버섯추출물","구연산","구연산삼나트륨","오렌지향혼합제제","비타민C","바나나향","비타민B6염산염","비타민B2","","","","","","카라멜색소혼합제제","아가리쿠스추출물(고형분 55%)","","구연산나트륨","","","바나나향혼합제제","","","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민B1질산염","펙틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호775","품목보고번호1986044301575","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월(수출용)","제품명트리하이츠신드롬(Tri-height syndrome)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","키위농축쥬스","포도농축쥬스","사과농축쥬스","산사열매추출물","니코틴산","이노시톨","에리스리톨","카페인","타우린","클루콘산","아연(고시형)","글루콘산칼슘","글루콘산마그네슘","L-아르기닌",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","16","17","18","19","20","21","22","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-라이신염산염","L-메티오닌","L-카르니틴","구연산","수크랄로스","혼합제제키위향","소르빈산칼륨","펙틴","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호774","품목보고번호20110149027327","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명튼튼 석류 콜라겐 젤리","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"석류농축액","콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","히비스커스추출분말",NA,NA,NA,NA,"65 brix, 스페인산","GT","","","","","","","","20배 추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호773","품목보고번호2016052105344","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명튼튼한  리틀어피치 딸기맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","11","12","13","14","액상과당","설탕","딸기농축액","폴리덱스트로스","탈지분유","젖산칼슘","구연산","구연산삼나트륨","비타민B6염산염","스테비올배당체","합성향료","두류가공품","정제수","비타민B1염산염","","","68bx","식이섬유70%","","","","","","","딸기향","대두다당류","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호772","품목보고번호2016052105343","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명튼튼한 리틀라이언 밀크맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"액상과당","설탕","폴리덱스트로스","탈지분유","젖산칼슘","구연산","구연산삼나트륨","요구르트향","두류가공품","정제수","스테비올배당체","비타민B1염산염","비타민B6염산염",NA,"","","식이섬유70%","","","","","","대두다당류","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
