"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","성분 및 원료9","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호341","품목보고번호2022049500131","업소명(주)한미양행 선유공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명한미양행 업","분류식품","업체명","(주)한미양행 선유공장","소재지","경기도 파주시 파주읍 돈유2로 100","1","2","3","4","5","6","7","8","구연산(무수)","과.채가공품","기타 농산가공품","효소처리스테비아","수크랄로스","과.채가공품","과.채가공품","정제수","","감귤추출분말","복분자추출분말","","","당근착즙액분말","석류농축분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호340","품목보고번호198803550331119","업소명(주)한미양행","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명한미양행 업","분류식품","업체명","(주)한미양행","소재지","경기도 파주시 문산읍 통일로1888번길 44-20(, 18-22, 18-23)","1","2","3","4","5","6","7","8","구연산(무수)","과.채가공품","기타 농산가공품","효소처리스테비아","수크랄로스","과.채가공품","과.채가공품","정제수","","감귤추출분말","복분자추출분말","","","당근착즙액분말","석류농축분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호339","품목보고번호2008056020037","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명한반도 복숭아 발효초","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","복숭아농축액","이소말토올리고당","고과당","주정","사과농축액","구연산","비타민C","효소처리스테비아","6.5Brix 국산","","액상과당","","72Brix 국산","","","","9","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호338","품목보고번호201305210023","업소명(주)에이치씨바이오텍","품목유형혼합음료","유통/소비기한1년","제품명한방숙취해소자음 숙취음골드","분류식품","업체명","(주)에이치씨바이오텍","소재지","전라남도 장흥군 남부관광로 692","1","2","3","4","5","6","7","8","숙취음골드농축액","고과당","백설탕","타우린","니코틴산아미드","자일리톨","비타민C","DL-사과산",NA,NA,NA,NA,NA,NA,NA,NA,"9","구연산",NA,"10","11","효소처리스테비아","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호337","품목보고번호2017014715540","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명한솔가시오가피VS앰플","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","가시오갈피추출액","쇠무릅추출액","청미래덩굴추출물","참당귀추출액","영지버섯추출물","이눌린","해조칼슘","용안헛씨껍질추출물","","우슬","망개뿌리","당귀","","오라프티지알(벨기에산)","수용성아쿠아민","용안육","9","생강추출액","흑생강","10","11","식물혼합농축액","정제수","갈근.천궁.숙지황.대추.감초","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호336","품목보고번호2019047315560","업소명동진바이오농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명한송정 홍삼콜라겐 젤리","분류식품","업체명","동진바이오농업회사법인(주)","소재지","충청남도 금산군 부리면 신촌길 164","1","2","3","4","5","6","7","8","홍삼향","효소처리스테비아","구연산","검 베이스 혼합제제","액상과당","홍삼청","홍삼농축액","생선콜라겐펩타이드","","","","MJS-92500","","20010467001-129","6년근, 고형분65%이상","피쉬콜라겐펩타이드(300Da)","9","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호335","품목보고번호20020623009747","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명한여름 솔티드 워터","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","자몽농축액","백설탕","구연산","구연산삼나트륨","태움용융소금","염화칼륨","염화마그네슘","젖산칼슘","64brix","","산도조절제","산도조절제","죽염","","영양강화제","영양강화제","9","에리스리톨","향미증진제","10","11","혼합제제","비타민B6염산염","아미노액티브BCAA","영양강화제","12","13","14","15","16","17","18","타우린","펙틴","자당지방산에스테르","수크랄로스","시트러스향","자몽향","정제수","영양강화제","유화제","유화제","합성감미료","합성착향료","합성착향료",""
"8","번호334","품목보고번호2012055615213","업소명한울식품 영농조합법인F2","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명한울유자주스","분류식품","업체명","한울식품 영농조합법인F2","소재지","경상북도 상주시 화동면 중화로 1428-1","1","2","3",NA,NA,NA,NA,NA,"유자청","유자원액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호333","품목보고번호1996055618062","업소명한울식품 영농조합법인","품목유형혼합음료","유통/소비기한12개월","제품명한울유자주스","분류식품","업체명","한울식품 영농조합법인","소재지","경상북도 상주시 화동면 이소1길 6-12","1","2","3",NA,NA,NA,NA,NA,"유자청","유자원액","정제수",NA,NA,NA,NA,NA,"","국내산(무농약)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호332","품목보고번호20090368047194","업소명주식회사 파낙스 코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명한움 단호박 식혜","분류식품","업체명","주식회사 파낙스 코리아","소재지","경기도 광주시 옥토골길 53(태전동)","1","2","3","4","5","6","7",NA,"정제수","백설탕","과.채가공품","엿기름","멥쌀","비타민 C(고시형)","깐생강",NA,"","","단호박","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
