"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호251","품목보고번호198506140552767","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 9개월 까지","제품명허라인 짜먹는 깔라만시","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","정제수","에리스리톨","과.채가공품","식품첨가물혼합제제","식품첨가물혼합제제","구연산삼나트륨","구연산","젖산칼슘","비타민C","수크랄로스","홍화황색소","","","칼라만시농축액","검믹스 #34026","칼라만시향 엠에프-170218","","","","","","홍화황색소-200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호250","품목보고번호1999041506439","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한제조일로부터 12월","제품명허브온 케모마일","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4","5","6",NA,NA,NA,NA,NA,"정제수","허브추출물","허브꽃","출물","허브싹","출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호249","품목보고번호1999041506442","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한12개월","제품명허브온-라벤더","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4","5","6",NA,NA,NA,NA,NA,"정제수","허브추출물","허브꽃","출물","허브싹","출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호248","품목보고번호1999041506441","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한12개월","제품명허브온-로즈마리","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4","5","6",NA,NA,NA,NA,NA,"정제수","허브추출물","허브꽃","출물","허브싹","출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호247","품목보고번호1999041506440","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명허브온-민트","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4","5","6",NA,NA,NA,NA,NA,"정제수","허브추출물","허브꽃","출물","허브싹","출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호246","품목보고번호19970617062191","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명허브쵸크","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10",NA,"정제수","글리세린","기타 농산가공품","사철쑥추출물분말","구연산","식염","합성향료","잔탄검","감귤추출물","수크랄로스",NA,"","","솜엉겅퀴추출물, 아티초크건조엑스","","","정제소금","오렌지향","","감귤류추출물, 보존료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호245","품목보고번호19970617062211","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월까지","제품명허브쵸크 에스","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10",NA,"정제수","글리세린","기타 농산가공품","사철쑥추출물분말","구연산","정제소금","오렌지향","잔탄검","감귤추출물","수크랄로스",NA,"","","솜엉겅퀴추출물, 아티초크건조엑스","","","","합성향료","","감귤류추출물","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호244","품목보고번호1981022700729","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한6개월","제품명허쉬코코아드링크","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","탈지분유","백설탕","허쉬코코아","쇼트닝","소금","초코향","구아검","잔탄검","제이인산나트륨","바닐린","카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","로커스트콩검",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호243","품목보고번호19930571069533","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명허유산 망고","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","과.채가공품","자일리톨","설탕","과당","망고농축액","구연산","구연산삼나트륨","젖산칼슘","젤란검","수크랄로스","망고향","나타드코코","","","","","함수","","","","","","12","코코넛향","","13","14","15","혼합제제","호박추출물","정제수","베타카로틴","",""
"10","번호242","품목보고번호19930571069534","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명허유산 복숭아","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","과.채가공품","자일리톨","설탕","과당","복숭아농축과즙","구연산","구연산삼나트륨","젖산칼슘","젤란검","수크랄로스","복숭아향","나타드코코","","","","","함수","","","","","","12","시트러스향","","13","14","15","과.채가공품","과.채가공품류","정제수","혼합야채추출물","베지추출물",""
