"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","성분 및 원료5","비고5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고6","비고7","비고8","비고9","비고10","비고11","번호...45","성분 및 원료","비고","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","성분 및 원료14","비고14"
"1","번호81","품목보고번호2013044306142","업소명(주)에그앤씨드 진천공장","품목유형혼합음료","유통/소비기한냉장 28일","제품명황칠 라떼","분류식품","업체명","(주)에그앤씨드 진천공장","소재지","충청북도 진천군 덕산읍 석장로 101","1","2","3","4","우유","황칠나무추출물","당류","황칠나무농축액","유기농,국내산","유기농,국내산","유기농메이플시럽,캐나다산","유기농,국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호80","품목보고번호20120567001320","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명황칠가 황칠 건강한 발효초(마시는 음료타입)","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","정제수","프락토올리고당","발효식초","레드자몽농축액","","","황칠발효식초","","5","사과농축액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호79","품목보고번호2010048103056","업소명주식회사제이크린베리너리","품목유형혼합음료","유통/소비기한1년 6개월","제품명황칠파낙스골드","분류식품","업체명","주식회사제이크린베리너리","소재지","경기도 양평군 지평면 월산길 249-12","1","2","3","4","황칠나무추출물","정제수","겨우살이","구기자나무열매","잎, 줄기","","","","5","오미자","","6","7","8","9","10","11","마가목","산수유","복분자즙","각시둥굴레어린잎","계피","감초","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호78","품목보고번호2000045807012","업소명민속식품","품목유형혼합음료","유통/소비기한제조일부터2년","제품명황토양파100","분류식품","업체명","민속식품","소재지","충청남도 공주시 마티길 238-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","양파",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호77","품목보고번호2013052104614","업소명농업회사법인황칠다담주식회사","품목유형혼합음료","유통/소비기한24개월","제품명황해구1","분류식품","업체명","농업회사법인황칠다담주식회사","소재지","전라남도 장흥군 장흥읍 산단1로 40","1","2","3","4","황칠진액","해당화진액","꾸지뽕진액","올리고당",NA,NA,NA,NA,"5","시클로덱스트린",NA,"6","7",NA,NA,NA,NA,"구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호76","품목보고번호2013052104615","업소명농업회사법인황칠다담주식회사","품목유형혼합음료","유통/소비기한24개월","제품명황해구2","분류식품","업체명","농업회사법인황칠다담주식회사","소재지","전라남도 장흥군 장흥읍 산단1로 40","1","2","3","4","황칠진액","해당화진액","꾸지뽕진액","올리고당",NA,NA,NA,NA,"5","시클로덱스트린",NA,"6","7",NA,NA,NA,NA,"구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호75","품목보고번호2017014715539","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명황후저분자콜라겐5000","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","생선콜라겐분말","L-아르지닌","시클로덱스트린시럽","DL-사과산","저분자피쉬콜라겐","","","","5","비타민C","","6","7","8","9","10","11","구연산","결정과당","히알루론산","판토텐산칼슘","석류농축액","정제염수","","","","","","",NA,NA,NA,"12","13","복숭아향","정제수","","",NA,NA,NA
"8","번호74","품목보고번호20100528066176","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 12개월냉동보관 12개월","제품명효모로만든찬 전통식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","정제수","엿기름당화액","설탕","쌀",NA,NA,NA,NA,"5","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호73","품목보고번호20080395120672","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명후디스 플랜티스 아몬드","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","백설탕","아몬드페이스트","치커리뿌리추출물","탄산칼슘",NA,NA,NA,NA,"5","정제소금",NA,"6","7","8","9","10","11","향료","탄산칼륨(무수)","레시틴","젤란검","비타민E","산화아연",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","비타민B6염산염","비타민B1염산염",NA,NA,"14","정제수",NA
"10","번호72","품목보고번호20200401439148","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명후디스 플랜티스 아몬드","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","백설탕","아몬드페이스트","치커리뿌리추출물","탄산칼슘",NA,NA,NA,NA,"5","정제소금",NA,"6","7","8","9","10","11","향료","탄산칼륨(무수)","레시틴","젤란검","비타민E","산화아연",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","비타민B6염산염","비타민B1염산염",NA,NA,"14","정제수",NA
