"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14"
"1","번호5262","품목보고번호19920562023258","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일부터  18개월","제품명내추럴가든 코코넛 드링크 오리지날","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11","나타드코코","7.143BDD","코코넛워터","말토덱스트린","구연산","구연산삼나트륨","비타민C","젖산칼슘","젤란검","코코넛향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5261","품목보고번호201703750211","업소명주식회사 위맥스바이오랩","품목유형혼합음료","유통/소비기한2년","제품명내추럴매직","분류식품","업체명","주식회사 위맥스바이오랩","소재지","경기도 여주시 대신면 천서리길 7","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"패각분말","천일염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"소성패각분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5260","품목보고번호2019047315515","업소명동진바이오농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명내츄럴 ABC저분자파쉬콜라겐스틱","분류식품","업체명","동진바이오농업회사법인(주)","소재지","충청남도 금산군 부리면 신촌길 164","1","2","3","4","5","6","7","8","9",NA,NA,"과채주스","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,"ABC혼합농축액(사과농축액(국내산)43%,당근농축액(국내산)43%,레드비트농축액(독일산)14%","베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5259","품목보고번호19890445014463","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한18월","제품명내퓨렉스프로폴리브","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,"프로폴리스추출혼합액","결정과당","LGNAV3MIX","올리브잎추출물","잔탄검","비타민C","구연산","구연산삼나트륨","카라기난","산화아연",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5258","품목보고번호2009051703097","업소명쿱푸드시스템 주식회사","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명냉식혜","분류식품","업체명","쿱푸드시스템 주식회사","소재지","전라남도 구례군 용방면 용산로 107-74","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"정제수","설탕","곡류가공품","쌀","과.채가공품",NA,NA,NA,NA,NA,NA,"해양심층수","","엿기름","유기농쌀","생강농축액14064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5257","품목보고번호20140395066140","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한1년(냉동 -18℃이하)","제품명냠냠냠 요거망고 샤베트","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","요거트원액","망고농축퓌레","백설탕","액상과당","혼합탈지분유","혼합가공전지분유","파인애플다이스","요거트분말","망고향","구연산삼나트륨","구연산","[플레인요거트:원유84.9%(국내산), 농축우유15%(국내산),유산균]","","(정백당)","","","","","","","(구연산나트륨)","","12","정제수","",NA,NA,NA,NA,NA,NA
"7","번호5256","품목보고번호20140395066141","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한1년(냉동 -18℃이하)","제품명냠냠냠 요거블루베리 샤베트","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","요거트원액","블루베리농축액","포도과즙","백설탕","혼합가공전지분유","파인애플다이스","올리고당","요거트분말","혼합탈지분유","블루베리향","요구르트향","[플레인요거트:원유84.9%(국내산), 농축우유15%(국내산), 유산균]","","","(정백당)","","","","","","","","12","구연산","","13","14","구연산삼나트륨","정제수","(구연산나트륨)",""
"8","번호5255","품목보고번호20000614238481","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명너두 나두 자두 자두히비스커스","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","자두농축액","히비스커스농축액","설탕","구연산","구연산삼나트륨","비타민C","혼합제제","수크랄로스","아세설팜칼륨","혼합제제","합성향료","","","","","","","정제수, 아라비아검, D-소르비톨액, 자당지방산에스테르,글리세린,정제가공유지,주정","","","프로필렌글리콜,트리아세틴,합성향료,산도조절제,천연향료","","12","식용색소적색제40호","","13",NA,"정제수",NA,"",NA
"9","번호5254","품목보고번호19920562023399","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명너에게 꽃이다 벚꽃 청포도에이드","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11","구연산(결정)","설탕","기타과당","벚나무꽃추출액","백포도농축액","구연산삼나트륨","수크랄로스","청포도향","포도과립","정제수","식용색소황색제4호","","","75brix","고형분 0.05%이상: 벚꽃차(식품유형:침출차)","68brix","","","","2brix","","","12","식용색소청색제1호","","13",NA,"식품첨가물혼합제제",NA,"벚꽃향",NA
"10","번호5253","품목보고번호200903303605","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한150일","제품명너에게만 단술","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 구리시 수택천로 62(수택동,주공상가 지하1층)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","건조쌀",NA,NA,NA,NA,NA,NA,NA,NA,"고형분3%,정제수97%","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
