"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고12","비고13","비고14","비고15","비고16","번호17","성분 및 원료17","비고17"
"1","번호5192","품목보고번호19940543023119","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명농협생복분자","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","복분자농축액","사과농축액","액상고과당","구연산","구연산삼나트륨","비타민C","에노칼라","후루츠믹스후레바","복분자향","적포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5191","품목보고번호19920562023404","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한PET·유리병: 제조일로부터 12개월, CAN: 제조일로부터 24개월","제품명농협생오미자","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8",NA,NA,NA,"오미자농축액","복분자농축액","기타과당","올리고당","식품첨가물혼합제제","오미자향","정제수","구연산(결정)",NA,NA,NA,"60brix","50brix","","","비타에프엠","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5190","품목보고번호19940543023104","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명농협신토불이동충하초","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11","대추농축액","사과농축액","고과당","구연산","정제염","구연산삼나트륨","벌꿀","카라멜색소","비타민B2","L-글루타민산나트륨","비타에프엠",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","글리신","스테비텐마일드","허브향","정제수","눈꽃동충하초농축액",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5189","품목보고번호19940543023102","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명농협참 복분자","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9",NA,NA,"복분자즙","사과즙","액상고과당","구연산","비타민C","에노칼라","비타에프엠","복부자향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5188","품목보고번호1994054302395","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명농협참장뇌산삼","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9",NA,NA,"장뇌산삼혼합추출액","액상과당","구연산","비타민C","비타에프엠","카라멜색소","대추농축액","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5187","품목보고번호20140415135112","업소명(주)에이원바이오","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명누:클리어 사과(Nu:clear apple)","분류식품","업체명","(주)에이원바이오","소재지","충청남도 아산시 음봉면 월암로 336-42(1동)","1","2","3","4","5","6","7","8","9","10","11","기타가공품","D-소르비톨결정성 분말","규격외일반가공식품","사과농축액","구연산(무수)","식품첨가물혼합제제","치커리식이섬유","프락토올리고당","김치유산균추출분말","엽산","비타민 혼합제제분말","셀룰로오스화이버(멍게껍질, 고형분 함량5% 기준), 국내산","","락추로스 리퀴드(우유함유)","사과100%, 70bx이상, 칠레산","","사과향","","","","","","12",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"7","번호5186","품목보고번호20140415135113","업소명(주)에이원바이오","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명누:클리어 요거트(Nu:clear yogurt)","분류식품","업체명","(주)에이원바이오","소재지","충청남도 아산시 음봉면 월암로 336-42(1동)","1","2","3","4","5","6","7","8","9","10","11","기타가공품","D-소르비톨결정성 분말","규격외일반가공식품","식물성크림","구연산(무수)","혼합제제","치커리식이섬유","프락토올리고당","김치유산균추출분말","엽산","비타민믹스혼합제제","셀룰로오스화이버(멍게껍질, 고형분 함량 5% 기준), 국내산","","락추로스 리퀴드(우유 함유)","퍼이버크림(이소말토올리고당 61.50% 함유)","","","","","","","","12",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"8","번호5185","품목보고번호202106160912","업소명누리는농부(주)농업회사법인","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명누리는농부 산양삼 수","분류식품","업체명","누리는농부(주)농업회사법인","소재지","경상남도 함양군 지곡면 개평길 35-24","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"인삼","정제수","프락토올리고당",NA,NA,NA,NA,NA,NA,NA,NA,"산양삼","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5184","품목보고번호20030554150250","업소명피지바이오헬스영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명누에동충하초골드","분류식품","업체명","피지바이오헬스영농조합법인","소재지","경상북도 영주시 풍기읍 기주로170번길 46(외2필지)","1","2","3","4","5","6","7","8","9","10",NA,"눈꽃동충하초복합추출액","과당","덱스트린","이소말토올리고당","액상차","비타민C","구연산","비타민B1염산염","비타민B2","비타민B6염산염",NA,"고형분 2.0%이상","","","","홍삼정차","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5183","품목보고번호19800415004417","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일로부터 (Can) 2년","제품명누코 코리안 레드진생 에너지","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11","설탕","액상과당","홍삼농축액","기타가공품","기타가공품","기타가공품","폴리소르베이트80","타우린","구연산","정제소금","기타가공품","","","","당귀농축액","천궁농축액","구기자농축액","","","","","보리발효추출물","12","13","14","15","16","니코틴산아미드","비타민B2","비타민B6염산염","합성향료","합성향료","","","","홍삼향","인삼향","17","정제수",""
