time,depth,Total coliform,E.coli,temp
1,3.663416667,2.396199347,2.010723865,18.6
2,3.189083333,2.50242712,1.759667845,18.76666667
3,2.829833333,2.597146488,1.934498451,19.08333333
4,2.55725,2.629919036,1.835690571,19.64166667
5,2.350416667,2.698970004,1.835690571,20.34166667
6,2.275416667,3.095169351,2.351216345,20.63333333
7,2.701666667,2.307496038,2.064457989,18.88333333
8,3.458583333,1.491361694,1.556302501,17.60833333
9,4.159416667,1.176091259,0,17.93333333
10,4.540416667,1,0,18.10833333
11,4.40375,2.06069784,1.491361694,18.475
12,3.90275,1.875061263,1.716003344,19.16666667
13,3.331083333,1.961421094,0.740362689,19.88333333
14,2.992166667,2.066325925,1,20.85
15,2.679333333,2.180412633,1.322219295,22.05
16,2.446583333,2.407390904,1.62324929,23.34166667
17,2.30125,2.375663614,1.40654018,24.575
18,2.5205,2.035429738,0.740362689,24.425
19,3.342083333,1,0.740362689,19.91666667
20,4.438083333,1.021189299,0,19.08333333
21,5.358833333,1.716003344,1.40654018,19.08333333
22,5.83825,2.778874472,2.535926741,19.24166667
23,5.612333333,2.804820679,2.484299839,19.15833333
24,4.923083333,2.397940009,2.105510185,19.05833333
25,4.18725,2.829946696,1.799340549,18.91666667
26,3.576,2.6599162,1.301029996,19.05
27,3.115583333,3.006037955,1.301029996,19.34166667
28,2.775916667,3.144885418,0,19.69166667
29,2.516166667,3.152594078,1.716003344,20.325
30,2.320916667,3.304059466,0,20.925
31,2.323083333,3.049411861,1.991226076,21.05
32,2.83975,1.672097858,1.021189299,18.60833333
33,3.67025,1.866287339,1.484299839,17.73333333
34,4.288583333,1.397940009,1.021189299,17.93333333
35,4.47425,1.311753861,0.740362689,18.26666667
36,4.23,1.860338007,1.90579588,18.78333333
37,3.748666667,2.039414119,1.672097858,19.50833333
38,3.28725,2.197280558,1.176091259,20.31666667
39,2.918166667,2.377488383,1.612783857,21.29166667
40,2.637166667,2.39880773,1.931966115,22.45
41,2.434416667,2.456366033,1.667452953,23.63333333
42,2.469416667,2.271841607,1.556302501,24.2
43,3.076083333,0.740362689,0,20.86666667
44,4.138083333,0,0,19.575
45,5.231083333,1.397940009,0,19.35
46,6.0425,1.716003344,1.311753861,19.21666667
47,6.139666667,2.312811826,2.103803721,19.175
48,5.54325,2.208172527,1.767155866,19.13333333
49,4.72475,2.946452265,2.946452265,19.25
50,3.987416667,2.478566496,2.033423755,19.30833333
51,3.41925,2.922206277,2.610660163,19.43333333
52,2.996083333,2.812646016,2.296774847,19.61666667
53,2.6815,2.813747736,2.297869891,19.94166667
54,2.445333333,2.803764291,2.271493102,20.59166667
55,2.2695,3.266584447,1.931966115,21.13333333
56,2.298,3.25947442,1.908485019,21.16666667
57,2.8615,2.449478399,2.1775365,19.29166667
58,3.658583333,2.039414119,1.759667845,18.24166667
59,4.17,1.835690571,1.40654018,18.4
60,4.279833333,1.759667845,1,18.51666667
61,3.992666667,2.205475037,1.612783857,18.81666667
62,3.517916667,2.141449773,1.802773725,19.175
63,3.08725,2.375663614,1.716003344,19.8
64,2.765916667,2.353146546,1.835690571,20.60833333
65,2.53075,2.428134794,1.767155866,21.49166667
66,2.447083333,2.352182518,1.931966115,22.10833333
67,2.860416667,1.86923172,1.672097858,20.79166667
68,3.76925,1.556302501,1.40654018,18.70833333
69,4.92025,1.667452953,1.322219295,18.45833333
70,5.90475,1.939519253,1.562292864,18.225
71,6.434583333,2.222716471,1.900367129,18.4
72,6.1635,2.328379603,2.058805487,18.35
73,5.384833333,2.394451681,1.959041392,18.23333333
74,4.521833333,2.442479769,2.105510185,18.41666667
75,3.808916667,2.651278014,2.216165902,18.56666667
76,3.266666667,2.820201459,2.118925753,18.775
77,2.87975,2.76305344,2.070037867,19.125
78,2.590166667,2.974741905,2.041392685,19.65
79,2.36975,3.113609151,2.16879202,20.14166667
80,2.203833333,3.406965751,2.144574208,20.41666667
81,2.254166667,3.310480891,2.017033339,20.43333333
82,2.8375,1.759667845,1,18.425
83,3.539166667,1.963787827,1.667452953,17.875
84,3.977416667,1.556302501,1.021189299,17.91666667
85,3.9735,1.86923172,1.667452953,18.13333333
86,3.710166667,2.088136089,1.799340549,18.675
87,3.2875,2.164352856,1.612783857,19.31666667
88,2.926916667,2.401400541,1.759667845,19.91666667
89,2.654666667,2.445604203,1.903089987,20.525
90,2.48525,2.441695136,1.989004616,21.24166667
91,2.633166667,2.256477206,1.491361694,21.29166667
92,3.287833333,1.484299839,0.740362689,18.975
93,4.331666667,1.301029996,1.176091259,18.60833333
94,5.42975,1.618048097,1.176091259,18.61666667
95,6.279166667,2.105510185,1.903089987,18.6
96,6.38325,2.080987047,1.866287339,18.575
97,5.848916667,2.041392685,1.550228353,18.50833333
98,5.014666667,2.258876629,1.913813852,18.5
99,4.18125,2.413299764,2.062581984,18.40833333
100,3.530916667,2.644438589,2.100370545,18.4
101,3.05625,2.82672252,2.178976947,18.45
102,2.715916667,2.936010796,2.411619706,18.71666667
103,2.464833333,3.128722284,1.966141733,19.175
104,2.275666667,3.435047641,2.033423755,19.5
105,2.130833333,3.442244528,2.08278537,19.75833333
106,2.1575,3.173623258,1.759667845,19.96666667
107,2.630083333,2.084576278,1.301029996,18.925
108,3.255666667,1,1.838849091,18.08333333
109,3.65975,0,0,18.80833333
110,3.717916667,0.740362689,0,19.51666667
111,3.49475,1.799340549,1.40654018,20.125
112,3.14575,1.835690571,1.612783857,20.80833333
113,2.84525,2.480725379,1.995635195,21.475
114,2.622916667,2.726319612,2.200029267,22.11666667
115,2.592416667,2.198853378,1.86923172,22.38333333
116,2.901666667,2.247447168,1.960402818,20.775
117,3.613833333,2.303812953,2.000619978,19.06666667
118,4.59525,2.396199347,2.127336237,18.375
119,5.497083333,2.510066027,2.192328458,18.275
120,6.08725,2.579293514,2.203149492,18.36666667
121,6.021,2.125481266,2.283301229,18.33333333
122,5.419833333,2.120573931,2.086359831,18.2
123,4.644416667,2.247973266,1.799340549,18.15
124,3.894,2.598790507,2.419955748,18.28333333
125,3.315333333,2.771587481,2.284430734,18.64166667
126,2.893583333,2.84135947,2.102090526,18.91666667
127,2.593833333,2.482363069,2.164352856,19.40833333
128,2.370833333,2.454409259,1.638489257,19.90833333
129,2.2,2.434340748,1.505149978,20.35
130,2.0645,2.467502399,1.550228353,20.825
131,2.071666667,2.412580535,1.423245874,21.29166667
132,2.436416667,2.322514633,1.021189299,21.14166667
133,2.98525,0,0,18.89166667
134,3.361166667,0,0.740362689,18.95
135,3.473666667,1.62324929,1.021189299,19.475
136,3.369916667,2.515873844,1.62324929,20.04166667
137,3.105833333,2.184691431,1.612783857,20.71666667
138,2.850083333,2.401400541,2.06069784,21.23333333
139,2.707,1,1,21.63333333
140,2.75375,2.271841607,2.033423755,21.43333333
141,3.116,2.303196057,1.491361694,19.51666667
142,3.745666667,2.056904851,1.770852012,18.2
143,4.57575,1.301029996,1.301029996,18.225
144,5.294166667,1,1.301029996,18.075
145,5.777,1,1.949390007,17.95833333
146,5.719666667,2.10720997,1.835690571,17.925
147,5.182583333,2.164352856,1.959041392,18.01666667
148,4.42375,2.29666519,1.799340549,18.175
149,3.730083333,2.474944335,1.989004616,18.2
150,3.193833333,2.770115295,2.054995862,18.38333333
151,2.80625,2.767897616,2.077367905,18.88333333
152,2.528666667,2.76305344,2.045322979,19.60833333
153,2.325583333,2.911690159,1.612783857,20.13333333
154,2.168,3.194514342,1.86923172,20.475
155,2.046833333,2.841984805,1.799340549,20.75833333
156,1.993916667,2.957607287,1.311753861,21.09166667
157,2.285166667,2.496929648,1.681241237,20.73333333
158,2.78775,1.832508913,1.176091259,17.69166667
159,3.205916667,1.176091259,1.311753861,17.99166667
160,3.413166667,1.491361694,0,18.39166667
161,3.411583333,1.301029996,1.021189299,18.875
162,3.270166667,2.550228353,2.11058971,19.2
163,3.07825,2.377488383,1.799340549,19.50833333
164,2.929583333,2.537819095,2.183269844,19.675
165,2.9615,2.667919685,2.25163822,19.59166667
166,3.265666667,2.230448921,2.088136089,18.20833333
167,3.759916667,2.39880773,2.161368002,16.56666667
168,4.345416667,2.105510185,1.767155866,16.475
169,4.964083333,1.612783857,1.322219295,16.03333333
170,5.306833333,1.841984805,1.618048097,15.79166667
171,5.246166667,2.948168362,2.356025857,15.925
172,4.852583333,3.079723775,2.486430479,16.14166667
173,4.244833333,2.351216345,2.118925753,16.51666667
174,3.662833333,2.42894429,2.128722284,16.825
175,3.1615,2.306425028,1.963787827,17.40833333
176,2.782166667,2.348304863,2.01494035,18.6
177,2.505,2.675778342,2.084576278,19.35833333
178,2.294833333,2.469822016,1.612783857,20.05833333
179,2.14075,2.750508395,1.716003344,20.79166667
180,2.025416667,2.710963119,1.835690571,21.58333333
181,2.0585,2.666517981,1.788875116,22.34166667
182,2.4545,2.204119983,1.301029996,21.79166667
183,3.0615,1.908485019,0.740362689,18.975
184,3.55625,1.667452953,0.740362689,18.69166667
185,3.8525,1.667452953,1,18.86666667
186,3.955166667,1.672097858,0,19.08333333
187,3.84275,2.517855419,2.039414119,19.29166667
188,3.655916667,2.395326393,2.033423755,19.4
189,3.4515,2.261262869,1.934498451,19.4
190,3.379333333,2.340444115,1.982271233,19.39166667
191,3.469333333,2.366422957,1.989004616,19.15833333
192,3.744833333,2.558708571,2.353146546,18.08333333
193,4.184416667,2.187520721,1.900367129,16.75833333
194,4.660916667,1.799340549,1.550228353,16.69166667
195,5.057166667,1.929418926,1.40654018,16.76666667
196,5.175083333,1.989004616,1.720159303,16.84166667
197,4.952583333,2.821513528,2.303196057,16.8
198,4.511833333,2.39707055,2.16879202,16.8
199,3.9945,2.293362555,1.975431809,16.95833333
200,3.4995,2.444044796,2.077367905,17.875
201,3.076333333,2.371067862,1.716003344,18.74166667
202,2.746666667,2.565847819,2.041392685,19.4
203,2.498666667,2.773054693,1.86923172,20.46666667
204,2.308,2.44870632,1.672097858,21.79166667
205,2.17,2.383815366,2,23.11666667
206,2.16625,2.220108088,1.759667845,23.99166667
207,2.504583333,1.550228353,1.021189299,23.33333333
208,3.140166667,1.021189299,0,19.68333333
209,3.67725,1.021189299,0.740362689,19.16666667
210,4.09925,1.40654018,0.740362689,18.94166667
