DO,BOD,COD,SS,TN,NH3N,NO3N,TP
12.7,1.4,4.8,10.3,4.294,0.329,0.666,0.144
13.3,1.3,5.4,11.8,4.411,0.326,3.987,0.135
12.6,2,6.2,9,5.626,0.588,4.575,0.131
12.5,2.8,6.1,11,5.284,0.818,4.336,0.082
10.1,1.4,6.4,7.9,5.23,0.357,4.549,0.073
9,1.3,5.9,6.5,5.814,0.273,5.336,0.047
7.6,3.2,7.3,21,5.524,0.349,2.006,0.12
7.2,2.2,6.2,21.7,7.248,0.087,7.012,0.11
7.6,1.7,6.5,23.3,2.31,0.206,1.04,0.136
9.2,1.2,4.6,9.3,2.197,0.085,1.043,0.089
8.7,1.2,4.9,18.6,3.868,0.281,3.331,0.102
11,1.1,4.6,12.2,3.291,0.13,2.903,0.098
10.9,0.8,4.9,7.4,5.48,0.586,4.732,0.134
13,1.2,5.4,6.9,5.815,1.526,4.062,0.156
12.8,2.2,6.4,8,6.73,2.191,4.289,0.194
10.9,2.3,6.8,5.6,6.406,1.789,0.981,0.149
9.6,1.1,5.2,6.2,4.685,0.331,3.837,0.079
9.1,1.5,7.2,14.7,5.341,0.264,4.355,0.105
7.4,2.8,5.6,30.4,5.969,0.076,3.379,0.132
8.5,3.7,6.5,31.9,3.787,0.015,0.875,0.242
9.1,2.6,7.6,14.8,3.119,0.025,2.976,0.174
8.3,1.7,6.4,9.9,2.638,0.151,2.41,0.057
10.3,1.4,6,6.3,2.793,0.092,2.63,0.032
11.6,1.4,5.2,4.8,4.769,0.178,2.354,0.02
11.9,1.3,5.8,4.5,6.094,0.42,3.355,0.061
12.9,2,6.5,5.9,6.017,0.54,3.634,0.128
11.7,2.8,6.6,4.7,6.612,0.584,3.993,0.181
11.9,2.1,5.9,21,6.786,0.41,4.212,0.064
8.5,1.8,4.9,24.8,5.711,0.249,4.434,0.166
9.7,2.9,4.9,14.3,4.766,0.143,3.566,0.081
8.7,2.5,6.9,10.8,5.601,0.16,3.154,0.124
7.3,2.2,5.4,28.2,4.746,0.089,1.996,0.099
7.2,1.4,5.1,11.9,4.667,0.411,2.037,0.204
7.1,1.2,5.5,11.7,3.14,0.32,1.844,0.232
9.9,1,5.3,9.4,3.858,0.138,2.458,0.116
11.5,1.4,5.5,5.7,4.403,0.266,2.411,0.094
12,2,6.6,11,7.629,0.469,2.585,0.293
11.2,2.7,7.7,8.9,5.475,1.356,3.268,0.147
11.3,2.3,6.8,7.2,5.338,1.593,3.072,0.264
11.5,3.6,6.9,6.6,4.822,1.826,3.072,0.134
8.4,2.5,7,8.9,3.368,0.455,2.717,0.149
7.6,1.8,6.9,12,5.858,0.326,2.96,0.101
7,1.5,5.7,22.9,8.322,0.247,1.861,0.174
6.8,1.2,4.9,10.7,3.954,0.08,1.925,0.126
6.8,1.3,6.3,20.8,4.01,0.181,1.409,0.157
7.7,1.2,4.8,19,2.238,0.068,1.633,0.075
9.4,1.3,3.5,8.5,2.832,0.078,1.932,0.088
11.3,1.1,3.7,5.5,5.048,0.118,2.233,0.086
13.4,1.7,4.7,6.6,4.329,0.33,3.028,0.159
12.2,2.5,6.1,6.2,5.378,0.517,3.32,0.187
12.9,3.1,5.5,5.6,5.723,0.378,4.645,0.136
11,4.1,5.8,10.3,6.615,0.194,3.54,0.111
9.6,2.2,4.6,9.2,6.796,0.19,3.731,0.149
8.4,1.2,6.1,7.5,4.965,0.253,3.062,0.118
7.3,2.1,6.3,27.2,4.245,0.1,2.544,0.14
8.7,1.9,6,51,2.476,0.039,1.623,0.175
6.8,2,3.7,26.7,3.08,0.239,1.547,0.155
8.3,1.8,5.3,12.5,1.838,0.207,1.382,0.152
9.5,0.7,4.1,13,2.876,0.118,1.59,0.162
11,1,4.1,3.7,3.875,0.055,2.291,0.161
12.6,1.6,4.5,7.6,4.011,0.297,3.106,0.356
11.4,2.5,5.7,10.1,4.204,0.386,2.938,0.129
11.4,1.9,5.5,9,4.954,0.878,2.013,0.176
13.7,2,6.3,12.2,6.305,2.528,3.228,0.272
9.9,2.5,6.5,8.5,6.167,0.386,4.378,0.144
7.7,2.5,7,11.5,4.528,0.053,3.618,0.137
6.4,2.8,7.1,16.4,5.527,0.109,0.946,0.299
8.1,2.2,7.7,15.9,3.434,0.016,1.247,0.095
6.5,1.4,4.1,17.6,5.043,0.072,1.489,0.125
8,1.2,3.6,19.3,3.175,0.084,1.336,0.124
8.9,0.7,2.3,12.7,2.256,0.016,1.397,0.077
8.5,0.8,4.2,7.4,3.093,0.212,0.382,0.049
11.5,2.4,3.6,19,3.971,0.263,3.208,0.155
11.6,3.7,4,19.4,4.94,0.2,0.592,0.182
10.8,2.3,3.7,11,6.647,0.062,3.606,0.193
11,2,5,15.9,5.282,0.157,4.128,0.149
10.5,4.4,5.7,14,4.867,0.026,4.088,0.192
9.4,3.3,6.4,26.4,3.535,0.016,0,0.353
11,2.1,4.5,30,4.429,0.028,2.861,0.268
9.9,1.6,4.6,22.1,3.496,0.034,0.031,0.12
7.4,2.2,4.3,20.4,2.239,0.014,1.515,0.156
7.1,1.4,4.6,19.4,2.844,0.021,1.195,0.089
7.6,1.4,4.1,13.9,2.538,0.027,1.133,0.053
10.2,1,4.6,13.4,2.912,0.004,1.568,0.121
12.1,1.5,4.4,12.9,3.737,0.271,2.292,0.129
12.7,2.2,3.9,8.7,3.865,0.342,3.329,0.171
10.9,2.5,4.8,11.5,6.538,0.709,4.671,0.222
11,2.1,4.8,7,5.825,0.399,3.869,0.187
8.1,1.8,3.7,2.1,4.789,0.41,2.411,0.116
9.4,1.7,5.6,6.1,4.489,0.082,2.794,0.074
6.9,1.9,6.7,9.9,3.635,0.11,2.624,0.091
7.6,1.8,6.3,16.4,2.976,0.166,2.213,0.124
6.8,1.8,5.4,9.3,1.854,0.061,1.276,0.129
7.8,2,5.4,13.4,1.915,0.094,1.648,0.133
9.5,0.9,5.3,9.6,2.564,0.046,2.263,0.09
10.2,1.2,4.9,11.3,2.545,0.065,1.663,0.119
12.5,2,7.2,7.8,3.952,0.065,2.931,0.133
14.5,1.7,5.5,4.8,5.7,0.513,4.117,0.143
14.2,2.3,5.3,5.8,6.48,0.373,3.402,0.112
