"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","2","2","   308,000","11680"," 역삼동","713-11","2006","역삼I'PARK","144.431","15"
"2","2021","2","5","   115,000","11680"," 역삼동","636","2006","프리우스역삼102동","84.18","3"
"3","2021","2","6","    85,800","11680"," 역삼동","713-11","2006","역삼I'PARK","28.246","8"
"4","2021","2","8","    80,000","11680"," 역삼동","713-11","2006","역삼I'PARK","28.246","2"
"5","2021","2","9","   199,500","11680"," 역삼동","757","2005","역삼래미안","59.73","20"
"6","2021","2","10","   203,000","11680"," 역삼동","754-1","2006","역삼푸르지오","59.8848","12"
"7","2021","2","14","   206,500","11680"," 역삼동","755-4","2005","e-편한세상","59.606","22"
"8","2021","2","16","   260,000","11680"," 역삼동","754-1","2006","역삼푸르지오","84.9097","9"
"9","2021","2","17","   319,500","11680"," 역삼동","713-11","2006","역삼I'PARK","144.011","15"
"10","2021","2","20","    53,000","11680"," 역삼동","708-31","2004","우정에쉐르멤버스","36.37","12"
"11","2021","2","20","    49,500","11680"," 역삼동","708-31","2004","우정에쉐르멤버스","36.19","10"
"12","2021","2","22","   126,000","11680"," 역삼동","832-5","2006","역삼디오슈페리움","84.34","16"
"13","2021","2","23","   190,000","11680"," 역삼동","762-3","2010","래미안그레이튼(진달래2차)","59.91","13"
"14","2021","2","25","    37,000","11680"," 역삼동","706-20","2001","한화진넥스빌","39.2","9"
"15","2021","2","26","    19,200","11680"," 역삼동","706-10","2003","우림루미아트2","24","6"
"16","2021","2","26","    69,000","11680"," 역삼동","628-1","2003","한양럭스","72.62","1"
"17","2021","2","26","   196,000","11680"," 역삼동","835-67","2003","금호어울림","133.77","7"
"18","2021","2","26","    43,000","11680"," 역삼동","824-25","2004","대우디오빌플러스","43.99","7"
"19","2021","2","1","   200,000","11680"," 개포동","185","1983","개포주공6단지","53.06","12"
"20","2021","2","2","   270,000","11680"," 개포동","654","1986","현대2","131.83","3"
"21","2021","2","2","   127,000","11680"," 개포동","12","1992","성원대치2단지아파트","39.53","1"
"22","2021","2","3","   145,000","11680"," 개포동","12","1992","삼익대청아파트","51.12","2"
"23","2021","2","3","   270,000","11680"," 개포동","653","1984","현대1차101동~106동","128.62","9"
"24","2021","2","3","   145,000","11680"," 개포동","12","1992","성원대치2단지아파트","49.86","4"
"25","2021","2","5","   135,000","11680"," 개포동","12","1992","성원대치2단지아파트","39.53","14"
"26","2021","2","5","   327,000","11680"," 개포동","649","1984","경남2차","182.2","11"
"27","2021","2","6","   332,000","11680"," 개포동","649","1984","경남2차","186.16","14"
"28","2021","2","6","   173,000","11680"," 개포동","1280","2019","래미안블레스티지","49.909","10"
"29","2021","2","9","   145,000","11680"," 개포동","652","1984","개포우성3차","104.43","6"
"30","2021","2","15","   251,000","11680"," 개포동","1280","2019","래미안블레스티지","84.943","1"
"31","2021","2","16","   210,000","11680"," 개포동","1280","2019","래미안블레스티지","59.967","9"
"32","2021","2","21","   164,000","11680"," 개포동","12","1992","삼익대청아파트","60","6"
"33","2021","2","22","   195,000","11680"," 개포동","1280","2019","래미안블레스티지","59.967","5"
"34","2021","2","22","   161,500","11680"," 개포동","12","1992","삼익대청아파트","60","4"
"35","2021","2","23","   108,000","11680"," 개포동","12","1992","성원대치2단지아파트","33.18","9"
"36","2021","2","23","   114,000","11680"," 개포동","12","1992","성원대치2단지아파트","33.18","8"
"37","2021","2","23","   131,000","11680"," 개포동","12","1992","성원대치2단지아파트","39.53","14"
"38","2021","2","24","   128,000","11680"," 개포동","12","1992","성원대치2단지아파트","39.53","6"
"39","2021","2","27","   109,000","11680"," 개포동","12","1992","성원대치2단지아파트","33.18","8"
"40","2021","2","28","   240,500","11680"," 개포동","185","1983","개포주공6단지","73.02","7"
"41","2021","2","28","   166,000","11680"," 개포동","12","1992","삼익대청아파트","60","6"
"42","2021","2","1","    74,000","11680"," 청담동","76-12","2018","라테라스청담","40.09","9"
"43","2021","2","1","   265,000","11680"," 청담동","50-5","2004","대우유로카운티","155.37","11"
"44","2021","2","3","   185,000","11680"," 청담동","134-38","2011","청담자이","49.619","17"
"45","2021","2","3","   350,000","11680"," 청담동","134-38","2011","청담자이","89.115","11"
"46","2021","2","4","   274,000","11680"," 청담동","134-38","2011","청담자이","90.197","6"
"47","2021","2","4","    34,500","11680"," 청담동","122-35","2013","청담신원아침도시마인","27.7131","5"
"48","2021","2","6","   380,000","11680"," 청담동","115-17","1999","호원빌라","244.49","2"
"49","2021","2","9","   310,000","11680"," 청담동","134-15","1980","청담삼익아파트","105.58","11"
"50","2021","2","10","   365,000","11680"," 청담동","89-12","2008","청담동마크노빌","270.25","5"
"51","2021","2","15","   560,000","11680"," 청담동","64-1","2019","청담어퍼하우스","197.73","5"
"52","2021","2","17","   248,000","11680"," 청담동","121","1998","청담동현대빌라트","183.77","6"
