"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","1","2","    30,000","11305"," 미아동","137-17","2002","한솔드림빌","74.46","4"
"2","2021","1","4","    69,500","11305"," 미아동","797","2006","미아1차래미안","59.9","1"
"3","2021","1","4","    75,000","11305"," 미아동","1355","2002","미아한일유앤아이","84.552","2"
"4","2021","1","5","    91,000","11305"," 미아동","811","2011","두산위브트레지움","84.97","6"
"5","2021","1","5","    83,000","11305"," 미아동","812","2010","삼성래미안트리베라2단지","59.38","22"
"6","2021","1","6","    66,850","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","5"
"7","2021","1","7","    79,720","11305"," 미아동","813","2010","래미안트리베라1단지","59.6","7"
"8","2021","1","7","    81,800","11305"," 미아동","813","2010","래미안트리베라1단지","59.6","16"
"9","2021","1","7","    38,500","11305"," 미아동","1351","1996","두원프라자","56.1","3"
"10","2021","1","8","    60,000","11305"," 미아동","1354","2004","벽산라이브파크","60","3"
"11","2021","1","9","    67,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","5"
"12","2021","1","9","    69,500","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","5"
"13","2021","1","9","    52,500","11305"," 미아동","1351","1996","두원프라자","98.22","8"
"14","2021","1","9","   101,300","11305"," 미아동","812","2010","삼성래미안트리베라2단지","84.29","23"
"15","2021","1","9","    71,500","11305"," 미아동","1357","2003","삼각산아이원","84.705","1"
"16","2021","1","9","    60,700","11305"," 미아동","1354","2004","벽산라이브파크","60","6"
"17","2021","1","9","    54,700","11305"," 미아동","1354","2004","벽산라이브파크","59.67","4"
"18","2021","1","9","    59,800","11305"," 미아동","1354","2004","벽산라이브파크","59.67","24"
"19","2021","1","9","    67,000","11305"," 미아동","1353","2004","에스케이북한산시티","59.98","9"
"20","2021","1","10","    90,000","11305"," 미아동","811","2011","두산위브트레지움","84.97","16"
"21","2021","1","11","    88,500","11305"," 미아동","811","2011","두산위브트레지움","84.97","5"
"22","2021","1","12","    92,000","11305"," 미아동","461","2010","송천센트레빌","59.818","13"
