"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","7","1","    72,500","11500"," 염창동","270-1","1999","태영","59.97","6"
"2","2021","7","1","    39,900","11500"," 염창동","274-18","2020","한울밸리움","24.94","4"
"3","2021","7","2","    86,500","11500"," 염창동","288","1994","현대1","84.34","6"
"4","2021","7","3","    98,700","11500"," 염창동","302","2006","염창2차한화꿈에그린","59.99","14"
"5","2021","7","3","   135,500","11500"," 염창동","281-22","2005","염창1차한화꿈에그린","84.93","4"
"6","2021","7","6","   123,000","11500"," 염창동","281-22","2005","염창1차한화꿈에그린","59.94","11"
"7","2021","7","6","    78,000","11500"," 염창동","270-1","1999","태영","59.97","12"
"8","2021","7","7","    76,500","11500"," 염창동","244-2","1995","삼성한마음","59.94","12"
"9","2021","7","7","    99,000","11500"," 염창동","240-32","1999","금호타운","84.84","14"
"10","2021","7","8","    89,900","11500"," 염창동","258-1","1999","동아3","59.7","11"
"11","2021","7","8","    86,500","11500"," 염창동","263","1994","태진한솔","58.87","7"
"12","2021","7","8","    95,500","11500"," 염창동","287-1","1992","우성2","84.7","3"
"13","2021","7","9","   100,500","11500"," 염창동","268","1997","관음삼성","84.93","13"
"14","2021","7","9","    69,750","11500"," 염창동","270-1","1999","태영","59.97","9"
"15","2021","7","10","    99,600","11500"," 염창동","268","1997","관음삼성","84.93","8"
"16","2021","7","10","    79,000","11500"," 염창동","295","2001","성원","59.91","13"
"17","2021","7","10","    85,600","11500"," 염창동","307","2011","이너스내안에","84.78","10"
"18","2021","7","11","    85,000","11500"," 염창동","258-1","1999","동아3","59.7","18"
"19","2021","7","12","   125,000","11500"," 염창동","306","2009","염창힐스테이트","83.831","12"
"20","2021","7","12","    85,300","11500"," 염창동","240-32","1999","금호타운","59.88","19"
"21","2021","7","13","    73,000","11500"," 염창동","248-3","1994","삼성하나로","59.26","5"
"22","2021","7","13","   107,500","11500"," 염창동","297","2004","월드메르디앙","84.98","16"
"23","2021","7","14","    97,700","11500"," 염창동","240-32","1999","금호타운","84.84","12"
"24","2021","7","15","    50,000","11500"," 염창동","311","2021","등촌제이스카이","39.87","1"
"25","2021","7","16","    87,500","11500"," 염창동","288","1994","현대1","84.34","2"
"26","2021","7","19","    98,800","11500"," 염창동","288","1994","현대1","84.96","5"
"27","2021","7","19","    89,500","11500"," 염창동","293","1998","한강동아","59.97","15"
"28","2021","7","21","    79,700","11500"," 염창동","292","1998","동아","59.97","8"
"29","2021","7","22","   104,000","11500"," 염창동","293","1998","한강동아","84.96","7"
"30","2021","7","22","    88,400","11500"," 염창동","264-27","1993","삼성한아름","84.89","9"
"31","2021","7","22","    37,000","11500"," 염창동","241-24","2006","엠그린","55.95","6"
"32","2021","7","23","    88,500","11500"," 염창동","264-27","1993","삼성한아름","84.89","4"
"33","2021","7","24","   145,500","11500"," 염창동","309","2019","e편한세상염창","84.9783","4"
"34","2021","7","24","   112,500","11500"," 염창동","258-1","1999","동아3","84.87","15"
