"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","7","10","    58,000","11215"," 중곡동","190-26","1976","중곡2단지","55.87","2"
"2","2021","7","12","    48,000","11215"," 중곡동","191-77","1976","중곡1단지","48.5","3"
"3","2021","7","13","    58,800","11215"," 중곡동","190-26","1976","중곡2단지","55.87","2"
"4","2021","7","14","    59,250","11215"," 중곡동","190-26","1976","중곡2단지","55.87","1"
"5","2021","7","17","    59,700","11215"," 중곡동","190-26","1976","중곡2단지","55.87","1"
"6","2021","7","19","    64,000","11215"," 중곡동","681","1998","성원","59.82","9"
"7","2021","7","19","    59,700","11215"," 중곡동","190-26","1976","중곡2단지","55.87","5"
"8","2021","7","24","    84,800","11215"," 중곡동","292","1999","에스케이","84.6","4"
"9","2021","7","29","    70,000","11215"," 중곡동","292","1999","에스케이","58.43","16"
"10","2021","7","6","   157,900","11215"," 구의동","611","1996","구의현대2단지","84.91","10"
"11","2021","7","9","   141,000","11215"," 구의동","667","2017","강변에스케이뷰","84.9","14"
"12","2021","7","10","   127,000","11215"," 구의동","668","2018","래미안파크스위트","59.98","2"
"13","2021","7","10","   162,000","11215"," 구의동","611","1996","구의현대2단지","84.91","21"
"14","2021","7","12","    34,100","11215"," 구의동","236-25","2015","솔렌시아2","32.87","6"
"15","2021","7","13","    29,000","11215"," 구의동","16-26","2000","삼성로얄아파트","56.36","1"
"16","2021","7","16","    58,000","11215"," 구의동","225-26","2000","삼성로얄","84.8","5"
"17","2021","7","21","   151,000","11215"," 구의동","668","2018","래미안파크스위트","75.82","15"
"18","2021","7","24","   205,000","11215"," 구의동","631-1","1997","현대프라임","183.87","21"
"19","2021","7","27","    40,000","11215"," 구의동","45-11","2006","데쟈뷰아파트","73.29","5"
"20","2021","7","27","   160,000","11215"," 구의동","611","1996","구의현대2단지","84.86","4"
"21","2021","7","1","   165,000","11215"," 광장동","565","1995","현대8(801동,802동)","84.92","18"
"22","2021","7","3","   123,000","11215"," 광장동","567","1996","광나루현대","84.92","11"
"23","2021","7","3","   133,000","11215"," 광장동","577","2000","현대파크빌","59.76","6"
"24","2021","7","6","   160,000","11215"," 광장동","576","1999","광장현대9단지","84.96","18"
"25","2021","7","8","   169,000","11215"," 광장동","561","1987","삼성광장1","79.53","5"
"26","2021","7","8","   229,500","11215"," 광장동","218-1","1985","극동1","126.94","3"
"27","2021","7","12","   225,000","11215"," 광장동","580","2004","현대홈타운12차","147.23","12"
"28","2021","7","12","   119,000","11215"," 광장동","484","1990","현대3","59.67","8"
"29","2021","7","14","   108,500","11215"," 광장동","566","1996","청구","59.95","7"
"30","2021","7","17","   258,000","11215"," 광장동","582","2012","광장힐스테이트","130.17","17"
"31","2021","7","17","   218,000","11215"," 광장동","582","2012","광장힐스테이트","84.96","10"
"32","2021","7","19","   192,000","11215"," 광장동","582","2012","광장힐스테이트","84.96","12"
"33","2021","7","19","   243,000","11215"," 광장동","145-8","1981","워커힐","162.41","9"
"34","2021","7","20","   127,500","11215"," 광장동","576","1999","광장현대9단지","59.97","11"
"35","2021","7","21","   169,000","11215"," 광장동","577","2000","현대파크빌","84.81","16"
"36","2021","7","24","   160,000","11215"," 광장동","576","1999","광장현대9단지","84.96","7"
"37","2021","7","25","   200,000","11215"," 광장동","218-1","1989","극동2","102.61","7"
"38","2021","7","26","   124,800","11215"," 광장동","576","1999","광장현대9단지","59.97","4"
"39","2021","7","28","   108,000","11215"," 광장동","453-1","1989","삼성광장2","58.62","10"
"40","2021","7","28","   134,500","11215"," 광장동","484","1990","현대3","74.92","2"
"41","2021","7","28","   118,500","11215"," 광장동","569","1996","현대8(803동)","59.94","2"
"42","2021","7","28","   111,500","11215"," 광장동","148-4","1987","워커힐푸르지오","69","5"
"43","2021","7","31","   164,900","11215"," 광장동","218-1","1989","극동2","75.55","8"
"44","2021","7","31","   148,000","11215"," 광장동","554-7","1989","현대5","59.67","10"
"45","2021","7","6","   190,000","11215"," 자양동","227-7","2007","더샵스타시티","127.95","23"
"46","2021","7","6","   115,000","11215"," 자양동","579","1988","우성1","59.91","6"
"47","2021","7","8","    34,000","11215"," 자양동","219-11","2017","자양동명진센트라임","32.2","5"
"48","2021","7","10","    38,000","11215"," 자양동","219-31","2005","태천해오름주상복합","47.05","5"
"49","2021","7","10","   134,000","11215"," 자양동","787","1999","자양삼성","84.96","5"
"50","2021","7","11","   132,250","11215"," 자양동","762","1996","한라아파트","84.6","6"
"51","2021","7","11","   100,000","11215"," 자양동","642","1998","자양현대5","59.72","14"
"52","2021","7","12","   170,000","11215"," 자양동","227-7","2007","더샵스타시티","100.32","7"
"53","2021","7","12","   153,000","11215"," 자양동","789","2002","자양8차현대홈타운","80.47","16"
"54","2021","7","15","   114,000","11215"," 자양동","787","1999","자양삼성","59.76","5"
"55","2021","7","15","   126,500","11215"," 자양동","645-5","1993","자양동현대","83.11","7"
"56","2021","7","16","   195,000","11215"," 자양동","853","2006","한화꿈에그린","138.85","6"
"57","2021","7","16","   113,500","11215"," 자양동","579","1988","우성1","59.91","7"
