"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","9","9","    12,180","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","12.19","11"
"2","2021","9","9","     9,750","11545"," 가산동","140-36","2014","비즈트위트바이올렛5차","12.19","14"
"3","2021","9","13","    98,000","11545"," 가산동","769","1998","두산","134.95","9"
"4","2021","9","15","    14,700","11545"," 가산동","140-9","2013","가산지웰에스테이트","15.96","9"
"5","2021","9","23","    94,000","11545"," 가산동","769","1998","두산","101.67","7"
"6","2021","9","23","    10,000","11545"," 가산동","141-2","2013","가산양우내안에애플","12.04","18"
"7","2021","9","24","    85,000","11545"," 가산동","769","1998","두산","84.9","8"
"8","2021","9","1","    67,700","11545"," 독산동","711-2","2002","금천현대","59.82","17"
"9","2021","9","2","   104,500","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.9672","42"
"10","2021","9","3","   100,000","11545"," 독산동","1155","2018","금천롯데캐슬골드파크3차","59.9662","28"
"11","2021","9","3","    42,000","11545"," 독산동","184-4","2003","동심","55.8429","5"
"12","2021","9","4","    81,500","11545"," 독산동","711-2","2002","금천현대","84.83","22"
"13","2021","9","4","    69,900","11545"," 독산동","711-2","2002","금천현대","59.82","19"
"14","2021","9","4","    64,500","11545"," 독산동","955","2002","신도브래뉴","55.55","10"
"15","2021","9","4","    75,900","11545"," 독산동","711-2","2002","금천현대","84.83","6"
"16","2021","9","7","    53,500","11545"," 독산동","992-42","2004","세진웰빙101","84.75","7"
"17","2021","9","8","    68,000","11545"," 독산동","711-2","2002","금천현대","59.82","10"
"18","2021","9","10","    47,800","11545"," 독산동","887-5","2003","청호센트레빌","72.36","6"
"19","2021","9","11","    45,000","11545"," 독산동","183-1","1997","독산동아아파트","59.96","3"
"20","2021","9","13","    80,000","11545"," 독산동","1140","2004","독산동중앙하이츠빌","84.8768","8"
"21","2021","9","15","    54,000","11545"," 독산동","1088","1990","독산주공14단지","44.89","12"
"22","2021","9","15","    51,000","11545"," 독산동","1088","1990","독산주공14단지","44.89","1"
"23","2021","9","16","    78,800","11545"," 독산동","1144","2011","독산동한양수자인","68.161","11"
"24","2021","9","16","    72,000","11545"," 독산동","1139","2003","청광플러스원","84.962","6"
"25","2021","9","17","    28,500","11545"," 독산동","962-32","2019","명도힐스티지","29.63","14"
"26","2021","9","24","    85,000","11545"," 독산동","1093-4","1991","한신아파트","89.46","6"
