"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","1","4","    90,000","11350"," 월계동","951","2020","월계센트럴아이파크","59.99","16"
"2","2021","1","4","    40,200","11350"," 월계동","320-11","1995","사슴3","39.6","11"
"3","2021","1","5","    75,700","11350"," 월계동","930","2001","우남그랜드","84.73","5"
"4","2021","1","5","    33,200","11350"," 월계동","320-11","1995","사슴3","33.18","13"
"5","2021","1","5","    62,000","11350"," 월계동","12","1987","삼호4","50.18","8"
"6","2021","1","6","    82,000","11350"," 월계동","929","2000","현대","84.98","10"
"7","2021","1","6","   104,000","11350"," 월계동","947","2006","롯데캐슬루나","127.0318","8"
"8","2021","1","6","    35,700","11350"," 월계동","923","1998","초안1","49.6","7"
"9","2021","1","6","    51,800","11350"," 월계동","556","1992","주공2","58.65","13"
"10","2021","1","6","   124,000","11350"," 월계동","18","2002","한진한화그랑빌","139.08","23"
"11","2021","1","7","    72,800","11350"," 월계동","13","1986","미륭","51.48","5"
"12","2021","1","8","    71,800","11350"," 월계동","929","2000","현대","59.95","5"
"13","2021","1","8","    67,000","11350"," 월계동","929","2000","현대","59.95","8"
"14","2021","1","8","    80,000","11350"," 월계동","942","2005","월계역신도브래뉴","123.6546","8"
"15","2021","1","8","    90,000","11350"," 월계동","949","2016","꿈의숲SKVIEW","84.96","10"
"16","2021","1","8","   124,000","11350"," 월계동","18","2002","한진한화그랑빌","139.08","23"
"17","2021","1","8","    38,400","11350"," 월계동","556","1992","주공2","44.52","6"
"18","2021","1","9","    87,000","11350"," 월계동","18","2002","한진한화그랑빌","75.81","2"
"19","2021","1","9","    70,000","11350"," 월계동","12","1987","삼호4","59.49","9"
"20","2021","1","9","    58,400","11350"," 월계동","13","1986","미성","33.28","2"
"21","2021","1","9","    77,000","11350"," 월계동","18","2002","한진한화그랑빌","59.94","2"
"22","2021","1","11","    71,000","11350"," 월계동","556","1992","주공2","84.815","5"
"23","2021","1","11","    38,400","11350"," 월계동","556","1992","주공2","44.52","13"
"24","2021","1","11","    65,000","11350"," 월계동","12","1987","삼호4","50.18","11"
"25","2021","1","11","    39,500","11350"," 월계동","556","1992","주공2","44.94","8"
"26","2021","1","11","    45,700","11350"," 월계동","781","1998","청백4","59.4","7"
"27","2021","1","12","    73,000","11350"," 월계동","775","1998","대우","99.98","8"
"28","2021","1","13","    38,500","11350"," 월계동","923","1998","초안1","59.85","9"
"29","2021","1","13","    86,000","11350"," 월계동","947","2006","롯데캐슬루나","84.9852","4"
"30","2021","1","14","    39,600","11350"," 월계동","556","1992","주공2","44.52","13"
"31","2021","1","16","    32,100","11350"," 월계동","320-11","1995","사슴3","33.18","1"
"32","2021","1","16","    71,500","11350"," 월계동","775","1998","대우","99.98","11"
"33","2021","1","16","    89,500","11350"," 월계동","951","2020","월계센트럴아이파크","59.99","24"
"34","2021","1","16","    94,000","11350"," 월계동","949","2016","꿈의숲SKVIEW","84.95","6"
"35","2021","1","16","    84,500","11350"," 월계동","947","2006","롯데캐슬루나","84.9852","3"
"36","2021","1","16","    39,000","11350"," 월계동","924","1997","초안2","59.85","2"
