"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","4","2","    49,500","11320"," 쌍문동","56","1988","삼익세라믹","58.77","8"
"2","2021","4","3","    77,700","11320"," 쌍문동","731","2007","e편한세상","84.754","5"
"3","2021","4","6","    78,500","11320"," 쌍문동","388-33","1986","한양1","79.2","13"
"4","2021","4","6","    21,800","11320"," 쌍문동","59","1989","한양2","28.71","13"
"5","2021","4","8","    33,800","11320"," 쌍문동","658","2015","그린힐스아파트","54.83","8"
"6","2021","4","8","    33,800","11320"," 쌍문동","658","2015","그린힐스아파트","54.83","8"
"7","2021","4","9","    62,470","11320"," 쌍문동","59-5","2002","한양6","83.86","6"
"8","2021","4","9","    48,500","11320"," 쌍문동","56","1988","삼익세라믹","58.77","9"
"9","2021","4","11","    34,800","11320"," 쌍문동","574","2004","성원하이츠A동","76.84","3"
"10","2021","4","12","    49,500","11320"," 쌍문동","711","2018","도봉금강아미움파크타운","64.0803","5"
"11","2021","4","12","    39,600","11320"," 쌍문동","103-69","2019","쌍문리버뷰","46.84","14"
"12","2021","4","13","    47,700","11320"," 쌍문동","199-1","1990","금호1","56.73","9"
"13","2021","4","15","    60,000","11320"," 쌍문동","158","1993","한양7","84.93","12"
"14","2021","4","15","    55,200","11320"," 쌍문동","59","1988","한양2","76.92","9"
"15","2021","4","16","    39,000","11320"," 쌍문동","724","1981","백조","56.73","3"
"16","2021","4","16","    58,700","11320"," 쌍문동","59","1988","한양2","84.9","4"
"17","2021","4","16","    65,000","11320"," 쌍문동","199-1","1990","금호1","84.88","11"
"18","2021","4","16","    18,900","11320"," 쌍문동","153","1988","기용","41.31","4"
"19","2021","4","16","    48,000","11320"," 쌍문동","59-3","1991","한양5","65.37","4"
"20","2021","4","16","    48,000","11320"," 쌍문동","59-3","1991","한양5","65.37","4"
"21","2021","4","16","    30,500","11320"," 쌍문동","59","1989","한양2","35.1","3"
"22","2021","4","17","    32,000","11320"," 쌍문동","199-1","1990","금호1","36.36","14"
"23","2021","4","17","    32,900","11320"," 쌍문동","56","1988","삼익세라믹","40.11","7"
"24","2021","4","17","    48,000","11320"," 쌍문동","59","1988","한양2","59.67","14"
"25","2021","4","19","    43,500","11320"," 쌍문동","724","1981","백조","64.43","3"
