"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","8","6","    83,500","11230"," 용두동","779","1994","신동아","84.63","1"
"2","2021","8","7","    69,400","11230"," 용두동","779","1994","신동아","49.68","11"
"3","2021","8","8","    28,000","11230"," 용두동","100-5","2020","동대문베네스트","18.36","17"
"4","2021","8","11","    41,500","11230"," 용두동","104-3","2016","동대문푸르지오시티(도시형생활주택)","30.11","20"
"5","2021","8","18","    89,700","11230"," 용두동","790","2009","롯데캐슬피렌체","59.43","2"
"6","2021","8","19","    74,000","11230"," 용두동","779","1994","신동아","58.59","15"
"7","2021","8","29","    75,500","11230"," 용두동","779","1994","신동아","58.59","11"
"8","2021","8","29","   134,000","11230"," 용두동","792","2011","래미안 허브리츠","84.97","20"
"9","2021","8","3","   115,000","11230"," 제기동","1212","2004","한신아파트","114.885","10"
"10","2021","8","16","    46,000","11230"," 제기동","1158-17","2003","동성네스트빌(1158-17)","74.46","2"
"11","2021","8","17","   102,000","11230"," 제기동","153","2003","안암골벽산","116.69","10"
"12","2021","8","20","    92,500","11230"," 제기동","1212","2004","한신아파트","84.76","13"
"13","2021","8","21","    97,000","11230"," 제기동","892-68","1977","경동미주","96.96","6"
"14","2021","8","21","    89,000","11230"," 제기동","153","2003","안암골벽산","84.98","2"
"15","2021","8","30","    55,500","11230"," 제기동","757-12","2021","건영스타밸리","59.9","2"
"16","2021","8","1","   104,000","11230"," 전농동","155","2000","전농동삼성래미안","84.98","6"
"17","2021","8","7","    69,800","11230"," 전농동","6","1992","전농우성","59.78","4"
"18","2021","8","7","    92,000","11230"," 전농동","6","1992","전농우성","115.56","5"
"19","2021","8","7","    83,000","11230"," 전농동","6","1992","전농우성","84.84","3"
"20","2021","8","7","   103,000","11230"," 전농동","10","2000","전농SK","84.95","17"
"21","2021","8","9","    71,000","11230"," 전농동","6","1992","전농우성","59.78","4"
"22","2021","8","11","   162,000","11230"," 전농동","690","2014","래미안크레시티","84.96","7"
"23","2021","8","13","   164,800","11230"," 전농동","690","2014","래미안크레시티","84.96","7"
"24","2021","8","14","    81,500","11230"," 전농동","10","2000","전농SK","59.34","12"
"25","2021","8","14","   104,000","11230"," 전농동","10","2000","전농SK","84.95","17"
"26","2021","8","16","   100,000","11230"," 전농동","645-2","1997","동아","83.01","10"
"27","2021","8","17","   130,000","11230"," 전농동","690","2014","래미안크레시티","59.99","8"
"28","2021","8","21","   109,700","11230"," 전농동","10","2000","전농SK","84.95","17"
"29","2021","8","21","   116,000","11230"," 전농동","688","2012","래미안아름숲","84.92","5"
"30","2021","8","24","    81,900","11230"," 전농동","10","2000","전농SK","59.34","9"
"31","2021","8","27","   109,000","11230"," 전농동","10","2000","전농SK","84.84","20"
"32","2021","8","31","    99,000","11230"," 전농동","6","1992","전농우성","126.63","11"
"33","2021","8","3","    98,500","11230"," 답십리동","808","2003","대림","114.9","12"
"34","2021","8","3","    88,300","11230"," 답십리동","808","2003","대림","84.66","10"
"35","2021","8","3","   124,500","11230"," 답십리동","1003","2014","래미안위브","59.96","14"
"36","2021","8","4","    78,000","11230"," 답십리동","989-1","1997","우성그린","84.98","13"
"37","2021","8","4","    60,000","11230"," 답십리동","42","1992","동답한신","44.35","7"
"38","2021","8","5","    11,300","11230"," 답십리동","488-18","2013","센시티16","14.244","10"
"39","2021","8","6","    14,450","11230"," 답십리동","497-23","2015","청계푸르지오시티","18.92","8"
"40","2021","8","6","    84,000","11230"," 답십리동","42","1992","동답한신","82.39","7"
"41","2021","8","7","    96,000","11230"," 답십리동","10","2001","동아","84.72","14"
"42","2021","8","7","    60,000","11230"," 답십리동","42","1992","동답한신","44.35","11"
"43","2021","8","7","    74,000","11230"," 답십리동","645-8","1991","신답경남","59.24","7"
"44","2021","8","7","   109,000","11230"," 답십리동","1008","2017","청계와이즈노벨리아","74.9044","8"
"45","2021","8","7","   104,000","11230"," 답십리동","1008","2017","청계와이즈노벨리아","74.9044","2"
"46","2021","8","7","   106,000","11230"," 답십리동","808","2003","대림","114.9","16"
"47","2021","8","9","    80,000","11230"," 답십리동","10","2001","동아","59.88","13"
"48","2021","8","9","    13,500","11230"," 답십리동","530-15","2016","현대썬앤빌청계","14.82","13"
"49","2021","8","9","    80,000","11230"," 답십리동","990","2000","두산","59.96","10"
"50","2021","8","9","    80,000","11230"," 답십리동","990","2000","두산","59.96","10"
"51","2021","8","10","   116,700","11230"," 답십리동","1014","2019","답십리파크자이","59.91","8"
"52","2021","8","12","    97,000","11230"," 답십리동","10","2001","동아","114.84","5"
"53","2021","8","13","    60,000","11230"," 답십리동","42","1992","동답한신","44.35","11"
"54","2021","8","13","   140,000","11230"," 답십리동","1003","2014","래미안위브","84.98","3"
"55","2021","8","13","   155,000","11230"," 답십리동","1003","2014","래미안위브","84.99","17"
"56","2021","8","14","    27,500","11230"," 답십리동","494-1","2016","한일노벨리아","29.786","12"
"57","2021","8","14","   120,000","11230"," 답십리동","1002","2010","청계한신휴플러스","59.74","21"
"58","2021","8","16","   136,000","11230"," 답십리동","1002","2010","청계한신휴플러스","84.73","12"
"59","2021","8","16","   136,000","11230"," 답십리동","1002","2010","청계한신휴플러스","84.73","12"
"60","2021","8","16","   150,000","11230"," 답십리동","1002","2010","청계한신휴플러스","107.75","2"
"61","2021","8","16","   150,000","11230"," 답십리동","1002","2010","청계한신휴플러스","107.75","2"
"62","2021","8","16","   150,000","11230"," 답십리동","1002","2010","청계한신휴플러스","107.75","2"
"63","2021","8","17","   125,000","11230"," 답십리동","1009","2018","힐스테이트청계","59.86","6"
"64","2021","8","18","   170,000","11230"," 답십리동","1003","2014","래미안위브","121.94","4"
"65","2021","8","19","    86,000","11230"," 답십리동","994","2001","답십리한화","84.86","2"
"66","2021","8","19","    90,000","11230"," 답십리동","80-2","2000","청솔2차우성","82.49","14"
"67","2021","8","21","   127,000","11230"," 답십리동","1002","2010","청계한신휴플러스","73.96","9"
"68","2021","8","22","   129,500","11230"," 답십리동","1009","2018","힐스테이트청계","59.94","24"
"69","2021","8","22","   151,500","11230"," 답십리동","1003","2014","래미안위브","84.99","15"
"70","2021","8","23","   115,000","11230"," 답십리동","80","2000","답십리청솔우성","114.76","15"
"71","2021","8","24","    60,000","11230"," 답십리동","42","1992","동답한신","44.35","6"
"72","2021","8","24","   155,000","11230"," 답십리동","1013","2019","래미안미드카운티","84.99","5"
"73","2021","8","25","   123,000","11230"," 답십리동","1003","2014","래미안위브","59.96","9"
"74","2021","8","25","   115,500","11230"," 답십리동","1014","2019","답십리파크자이","59.91","17"
"75","2021","8","27","    13,400","11230"," 답십리동","498-7","2012","청계지웰","18.585","7"
"76","2021","8","28","   110,000","11230"," 답십리동","464-1","1987","신답극동","105.59","14"
"77","2021","8","28","    94,000","11230"," 답십리동","10","2001","동아","114.84","1"
"78","2021","8","28","    90,000","11230"," 답십리동","10","2001","동아","84.72","1"
"79","2021","8","28","   125,000","11230"," 답십리동","998","2007","두산위브","84.91","10"
"80","2021","8","28","   100,300","11230"," 답십리동","1014","2019","답십리파크자이","49.27","11"
"81","2021","8","30","   121,500","11230"," 답십리동","1003","2014","래미안위브","59.99","9"
"82","2021","8","3","    80,500","11230"," 장안동","563","2005","신부파스카(563)","84.99","5"
"83","2021","8","4","    45,000","11230"," 장안동","372-16","2015","청솔아파트B동","59.93","4"
"84","2021","8","5","    92,000","11230"," 장안동","329-2","2007","장안힐스테이트","59.928","15"
"85","2021","8","6","    34,500","11230"," 장안동","319-6","2016","U-포그니","57.32","3"
"86","2021","8","6","    71,800","11230"," 장안동","579","2009","은하수드림빌","112.7904","8"
"87","2021","8","9","    95,000","11230"," 장안동","336","2003","장안현대홈타운(336)","84.87","5"
"88","2021","8","10","    86,500","11230"," 장안동","581","2012","일성트루엘","84.9216","10"
"89","2021","8","10","    45,500","11230"," 장안동","382-5","2016","태솔아파트1차","59.77","8"
"90","2021","8","11","   140,000","11230"," 장안동","329-3","2007","래미안장안2차","112.92","11"
"91","2021","8","11","    42,000","11230"," 장안동","415-1","2016","양지쉐르빌아파트(415-1)","56.4","4"
"92","2021","8","16","    62,000","11230"," 장안동","381-3","2009","한강훼미리","83.43","7"
"93","2021","8","18","    38,500","11230"," 장안동","306-10","2003","새한그린빌(306-10)","84.92","7"
"94","2021","8","18","    79,000","11230"," 장안동","563","2005","신부파스카(563)","84.99","6"
"95","2021","8","18","    53,000","11230"," 장안동","418-4","2002","장안예원(418-4)","80.32","6"
"96","2021","8","18","    10,500","11230"," 장안동","372-5","2012","장안뉴시티","17.63","14"
"97","2021","8","19","    91,000","11230"," 장안동","329-2","2007","장안힐스테이트","59.928","12"
"98","2021","8","20","    44,500","11230"," 장안동","306-10","2003","새한그린빌(306-10)","84.92","5"
"99","2021","8","22","   108,500","11230"," 장안동","329-3","2007","래미안장안2차","81.05","12"
"100","2021","8","22","    50,000","11230"," 장안동","335-7","2017","젬스톤힐즈","51.64","14"
"101","2021","8","23","    53,000","11230"," 장안동","335-7","2017","젬스톤힐즈","52.04","14"
"102","2021","8","24","   105,500","11230"," 장안동","336","2003","장안현대홈타운(336)","84.87","9"
"103","2021","8","25","    78,000","11230"," 장안동","555-1","1996","한신아파트","84.9","13"
"104","2021","8","27","    95,000","11230"," 장안동","329-2","2007","장안힐스테이트","59.885","13"
"105","2021","8","27","   143,000","11230"," 장안동","336","2003","장안현대홈타운(336)","133.72","24"
"106","2021","8","27","   118,000","11230"," 장안동","354-2","2003","래미안장안","84.774","13"
"107","2021","8","28","    40,000","11230"," 장안동","390-5","2003","성림(390-5)","74.43","5"
"108","2021","8","29","    79,300","11230"," 장안동","555-1","1996","한신아파트","84.9","13"
"109","2021","8","31","    92,200","11230"," 장안동","329-2","2007","장안힐스테이트","59.885","8"
"110","2021","8","4","   135,000","11230"," 청량리동","425","2002","광남캐스빌","138.14","6"
"111","2021","8","29","    90,000","11230"," 청량리동","60","1997","한신","59.97","13"
"112","2021","8","31","    72,000","11230"," 청량리동","949","2004","상그레빌","80.16","10"
"113","2021","8","13","    45,000","11230"," 회기동","346-18","2013","베라체캠퍼스","46.155","6"
"114","2021","8","13","    45,000","11230"," 회기동","346-18","2013","베라체캠퍼스","46.155","6"
"115","2021","8","2","    96,300","11230"," 휘경동","366","2007","동일스위트리버","84.973","21"
"116","2021","8","2","    68,000","11230"," 휘경동","49-5","1985","서울가든","85.92","8"
"117","2021","8","5","   115,000","11230"," 휘경동","372","2019","휘경SK뷰","59.39","15"
"118","2021","8","6","   102,000","11230"," 휘경동","365","2005","휘경동일하이빌","110.56","8"
"119","2021","8","7","    69,700","11230"," 휘경동","115","2000","동양1차","59.85","2"
"120","2021","8","7","   132,000","11230"," 휘경동","372","2019","휘경SK뷰","84.31","10"
"121","2021","8","7","    74,000","11230"," 휘경동","78","2000","롯데","59.94","15"
"122","2021","8","11","    86,000","11230"," 휘경동","368","2013","브라운스톤휘경","59.96","11"
"123","2021","8","18","    72,000","11230"," 휘경동","369","2016","휘경제이스카이아파트","84.43","2"
"124","2021","8","18","    62,000","11230"," 휘경동","49-5","1985","서울가든","71.53","3"
"125","2021","8","18","    84,000","11230"," 휘경동","106","1999","휘경미소지움","84.87","4"
"126","2021","8","18","    84,000","11230"," 휘경동","106","1999","휘경미소지움","84.87","4"
"127","2021","8","21","    74,000","11230"," 휘경동","363","1992","현대","84.59","11"
"128","2021","8","21","    78,500","11230"," 휘경동","52","2000","휘경베스트빌현대","84.99","6"
"129","2021","8","21","    77,000","11230"," 휘경동","57","2001","주공2","59.79","21"
"130","2021","8","21","    98,000","11230"," 휘경동","368","2013","브라운스톤휘경","84.74","9"
"131","2021","8","21","   142,500","11230"," 휘경동","372","2019","휘경SK뷰","84.72","11"
"132","2021","8","24","   115,000","11230"," 휘경동","372","2019","휘경SK뷰","59.39","6"
"133","2021","8","28","   110,000","11230"," 휘경동","372","2019","휘경SK뷰","59.65","17"
"134","2021","8","1","    74,000","11230"," 이문동","73","1997","삼익","59.95","5"
"135","2021","8","2","    75,000","11230"," 이문동","73","1997","삼익","59.95","6"
"136","2021","8","4","    80,800","11230"," 이문동","64","2000","쌍용","59.99","13"
