"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","3","4","    24,700","11590"," 노량진동","57-1","2015","메가스터디타워","21.746","8"
"2","2021","3","5","   129,000","11590"," 노량진동","325","2001","신동아리버파크","114.75","22"
"3","2021","3","5","   129,000","11590"," 노량진동","325","2001","신동아리버파크","114.75","22"
"4","2021","3","13","    91,500","11590"," 노량진동","323","1997","우성","59.82","11"
"5","2021","3","19","    16,000","11590"," 노량진동","57-1","2015","메가스터디타워","16.01","10"
"6","2021","3","20","   108,500","11590"," 노량진동","325","2001","신동아리버파크","84.88","4"
"7","2021","3","23","   129,000","11590"," 노량진동","325","2001","신동아리버파크","114.75","22"
"8","2021","3","23","   106,000","11590"," 노량진동","325","2001","신동아리버파크","84.88","10"
"9","2021","3","29","    25,500","11590"," 노량진동","57-1","2015","메가스터디타워","21.746","10"
"10","2021","3","1","   150,000","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.6099","6"
"11","2021","3","2","    42,000","11590"," 상도동","256-28","2017","다온아파트","48.88","3"
"12","2021","3","2","   150,000","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.7835","15"
"13","2021","3","5","   117,000","11590"," 상도동","415","2003","중앙하이츠빌","123.6025","10"
"14","2021","3","7","    70,000","11590"," 상도동","445","2002","경향렉스빌","58.7112","15"
"15","2021","3","11","   126,000","11590"," 상도동","527","2007","이수브라운스톤상도(527-0)","84.99","4"
"16","2021","3","11","    89,000","11590"," 상도동","411","1995","대림아파트","84.89","8"
"17","2021","3","12","    25,000","11590"," 상도동","380-1","1993","성우","68.72","3"
"18","2021","3","13","   134,500","11590"," 상도동","533","2013","힐스테이트 상도 프레스티지","84.884","1"
"19","2021","3","15","    98,000","11590"," 상도동","408","1994","상도동삼호아파트","84.52","15"
"20","2021","3","15","    89,000","11590"," 상도동","460","2006","상도팰리스","84.86","8"
"21","2021","3","15","    68,500","11590"," 상도동","445","2002","경향렉스빌","58.7112","16"
"22","2021","3","16","   100,000","11590"," 상도동","420","2003","대우유로카운티","133.67","11"
"23","2021","3","17","   130,020","11590"," 상도동","903","2018","e편한세상상도노빌리티","84.9546","8"
"24","2021","3","17","   110,000","11590"," 상도동","415","2003","중앙하이츠빌","84.9883","14"
"25","2021","3","18","   116,000","11590"," 상도동","450","2004","상도동래미안1차","84.959","5"
"26","2021","3","18","    65,000","11590"," 상도동","418","2003","쌍용스윗닷홈","59.578","9"
"27","2021","3","18","    28,000","11590"," 상도동","375-5","1994","성우2차","75.6","2"
"28","2021","3","18","   129,500","11590"," 상도동","529","2010","상도두산위브","84.909","6"
"29","2021","3","18","   149,000","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","84.6099","5"
"30","2021","3","19","    65,800","11590"," 상도동","445","2002","경향렉스빌","61.5494","13"
"31","2021","3","20","   125,800","11590"," 상도동","527","2007","이수브라운스톤상도(527-0)","84.99","13"
"32","2021","3","20","   125,000","11590"," 상도동","534","2014","상도더샵2차","84.99","9"
"33","2021","3","20","    81,000","11590"," 상도동","411","1995","대림아파트","84.89","2"
"34","2021","3","20","    64,500","11590"," 상도동","445","2002","경향렉스빌","61.5494","2"
"35","2021","3","20","   127,500","11590"," 상도동","531","2012","힐스테이트 상도 센트럴파크","59.7754","6"
"36","2021","3","23","    15,500","11590"," 상도동","363-164","2016","상도휴엔하임","14.7","12"
"37","2021","3","24","    15,000","11590"," 상도동","363-164","2016","상도휴엔하임","14.7","9"
"38","2021","3","26","   143,000","11590"," 상도동","421","2003","삼성래미안2","114.738","5"
"39","2021","3","27","    69,000","11590"," 상도동","458","2006","상도갑을명가1차","84.38","8"
"40","2021","3","28","   104,000","11590"," 상도동","415","2003","중앙하이츠빌","84.9883","1"
"41","2021","3","29","    15,500","11590"," 상도동","363-164","2016","상도휴엔하임","14.7","13"
"42","2021","3","30","    95,000","11590"," 상도동","418","2003","쌍용스윗닷홈","59.578","4"
"43","2021","3","24","    45,000","11590"," 상도1동","328-11","2002","백경","59.74","5"
"44","2021","3","12","    86,000","11590"," 본동","150","1999","한강쌍용","59.64","2"
"45","2021","3","12","    86,000","11590"," 본동","150","1999","한강쌍용","59.64","2"
"46","2021","3","12","   156,000","11590"," 본동","494","2011","래미안트윈파크","84.94","8"
"47","2021","3","13","    86,900","11590"," 본동","484","2004","경동윈츠리버","56.68","4"
"48","2021","3","16","   108,300","11590"," 본동","492","2004","삼성래미안","59.9843","6"
