"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","9","3","   180,000","11440"," 아현동","777","2014","마포래미안푸르지오4단지","84.5978","9"
"2","2021","9","4","   155,000","11440"," 아현동","777","2014","마포래미안푸르지오4단지","59.9656","19"
"3","2021","9","5","   193,000","11440"," 아현동","802","2017","마포센트럴아이파크","111.1083","14"
"4","2021","9","6","   193,500","11440"," 아현동","777","2014","마포래미안푸르지오2단지","84.3884","10"
"5","2021","9","7","   163,000","11440"," 아현동","777","2014","마포래미안푸르지오4단지","59.9656","7"
"6","2021","9","10","   185,500","11440"," 아현동","777","2014","마포래미안푸르지오4단지","84.5978","8"
"7","2021","9","11","   135,000","11440"," 아현동","802","2017","마포센트럴아이파크","59.9718","13"
"8","2021","9","11","   189,000","11440"," 아현동","777","2014","마포래미안푸르지오1단지","84.5978","14"
"9","2021","9","12","   165,000","11440"," 아현동","777","2014","마포래미안푸르지오4단지","59.9656","15"
"10","2021","9","13","   195,000","11440"," 아현동","800","2015","공덕자이","114.99","4"
"11","2021","9","13","   180,000","11440"," 아현동","777","2014","마포래미안푸르지오3단지","84.5978","11"
"12","2021","9","15","   194,500","11440"," 아현동","777","2014","마포래미안푸르지오1단지","84.5978","16"
"13","2021","9","15","   193,500","11440"," 아현동","777","2014","마포래미안푸르지오4단지","84.8919","26"
"14","2021","9","15","   154,000","11440"," 아현동","777","2014","마포래미안푸르지오4단지","59.9656","7"
"15","2021","9","16","   160,000","11440"," 아현동","777","2014","마포래미안푸르지오4단지","59.9656","12"
"16","2021","9","18","   133,500","11440"," 아현동","732","2003","삼환나띠르빌","84.9","13"
"17","2021","9","23","   170,000","11440"," 아현동","777","2014","마포래미안푸르지오4단지","59.9656","29"
"18","2021","9","28","    56,800","11440"," 아현동","780","2016","애오개아이파크","30.01","2"
"19","2021","9","1","   173,700","11440"," 공덕동","476","2015","공덕파크자이","84.9802","11"
"20","2021","9","2","   180,000","11440"," 공덕동","476","2015","공덕파크자이","84.9027","17"
"21","2021","9","4","   113,000","11440"," 공덕동","188-108","1988","마포현대","59.95","12"
"22","2021","9","11","   141,000","11440"," 공덕동","457","2004","공덕3삼성래미안","59.97","4"
"23","2021","9","11","   140,000","11440"," 공덕동","457","2004","공덕3삼성래미안","59.97","11"
"24","2021","9","11","   147,500","11440"," 공덕동","469","2011","래미안공덕5차","59.968","3"
"25","2021","9","11","   173,300","11440"," 공덕동","476","2015","공덕파크자이","84.9541","16"
