"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","4","28","    84,000","11410"," 충정로2가","185-15","1992","현대","99.97","1"
"2","2021","4","2","    54,000","11410"," 충정로3가","465","2004","충정리시온","44.88","18"
"3","2021","4","13","    49,300","11410"," 충정로3가","465","2004","충정리시온","41.48","7"
"4","2021","4","21","    37,900","11410"," 충정로3가","465","2004","충정리시온","33.32","9"
"5","2021","4","26","    30,000","11410"," 충정로3가","189-8","1969","미동","51.603","6"
"6","2021","4","27","    89,500","11410"," 충정로3가","466","2008","우리유앤미","84.73","3"
"7","2021","4","27","    95,000","11410"," 충정로3가","466","2008","우리유앤미","84.73","15"
"8","2021","4","17","   151,000","11410"," 냉천동","261","2011","돈의문센트레빌","84.99","13"
"9","2021","4","20","    79,000","11410"," 천연동","145","2006","천연뜨란채","56.02","5"
"10","2021","4","21","    85,500","11410"," 천연동","145","2006","천연뜨란채","57.78","5"
"11","2021","4","24","   103,000","11410"," 천연동","145","2006","천연뜨란채","75.42","6"
"12","2021","4","24","    84,000","11410"," 천연동","145","2006","천연뜨란채","56.08","14"
"13","2021","4","22","    60,000","11410"," 현저동","1019","2000","독립문파크빌","59.4","14"
"14","2021","4","10","    80,500","11410"," 북아현동","1009","1999","두산","59.96","3"
"15","2021","4","10","   157,500","11410"," 북아현동","1013","2018","e편한세상신촌1단지","84.93","12"
"16","2021","4","17","   135,000","11410"," 북아현동","1013","2018","e편한세상신촌1단지","59.85","2"
"17","2021","4","19","   120,000","11410"," 북아현동","1-1836","2004","조은2차","74.21","3"
"18","2021","4","19","   120,000","11410"," 북아현동","1-1836","2004","조은2차","74.21","3"
"19","2021","4","26","   160,000","11410"," 북아현동","149","2018","e편한세상신촌3단지","84.93","8"
"20","2021","4","30","    87,900","11410"," 북아현동","1009","1999","두산","59.96","8"
"21","2021","4","1","    55,300","11410"," 홍제동","457","1999","남양","59.94","1"
"22","2021","4","2","    72,850","11410"," 홍제동","104-6","1974","인왕궁맨숀","71.4","4"
"23","2021","4","2","    69,000","11410"," 홍제동","463","2002","문화촌현대","59.94","3"
"24","2021","4","3","    60,000","11410"," 홍제동","454","1996","유원하나","72.34","12"
"25","2021","4","5","    74,000","11410"," 홍제동","82","1993","홍제한양","60.06","9"
"26","2021","4","7","    46,700","11410"," 홍제동","156-200","1975","고은","62.48","2"
"27","2021","4","9","    78,000","11410"," 홍제동","468","2006","홍제비콘드림힐","113.091","9"
"28","2021","4","10","    28,000","11410"," 홍제동","157-68","1973","광산","56.76","1"
"29","2021","4","10","    76,000","11410"," 홍제동","82","1993","홍제한양","60.06","12"
"30","2021","4","13","    74,000","11410"," 홍제동","453-1","1997","청구2차","59.89","6"
"31","2021","4","14","    53,000","11410"," 홍제동","454","1996","유원하나","72.34","16"
"32","2021","4","15","    70,000","11410"," 홍제동","331","1992","홍제현대","83.05","7"
"33","2021","4","16","    54,000","11410"," 홍제동","461","2001","홍제삼성래미안","32.76","11"
"34","2021","4","16","    79,000","11410"," 홍제동","462","2001","청구3차","84.96","5"
"35","2021","4","17","    76,000","11410"," 홍제동","82","1993","홍제한양","60.06","14"
"36","2021","4","17","    95,000","11410"," 홍제동","82","1993","홍제한양","84.77","14"
"37","2021","4","17","    74,500","11410"," 홍제동","462","2001","청구3차","59.4","9"
"38","2021","4","17","    66,500","11410"," 홍제동","463","2002","문화촌현대","59.94","16"
"39","2021","4","18","   115,000","11410"," 홍제동","467","2006","인왕산어울림","144.68","5"
"40","2021","4","19","    59,000","11410"," 홍제동","131-18","2005","그레이스A동","97.2","6"
"41","2021","4","19","    57,000","11410"," 홍제동","283-36","2008","마체스터","84.93","11"
"42","2021","4","19","   132,750","11410"," 홍제동","473","2020","홍제센트럴아이파크","84.9206","9"
