"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","12","3","   274,500","11650"," 방배동","1-106","1999","영지아트빌라","240.98","2"
"2","2021","12","3","    30,000","11650"," 방배동","866-20","2005","방배대우디오빌","29.6","8"
"3","2021","12","4","   234,000","11650"," 방배동","1008-2","2004","래미안방배아트힐(1008-2)","114.18","12"
"4","2021","12","4","   234,000","11650"," 방배동","1008-2","2004","래미안방배아트힐(1008-2)","114.18","12"
"5","2021","12","7","   260,000","11650"," 방배동","906-13","2010","서리풀e편한세상","84.97","8"
"6","2021","12","9","   282,000","11650"," 방배동","838-1","1999","월드빌리지","243.71","5"
"7","2021","12","9","   220,000","11650"," 방배동","1344","1999","방배1차현대홈타운","84.96","13"
"8","2021","12","10","    30,000","11650"," 방배동","866-20","2005","방배대우디오빌","29.6","6"
"9","2021","12","12","    45,000","11650"," 방배동","816-1","2004","한신트리플","39.31","8"
"10","2021","12","12","    32,100","11650"," 방배동","866-20","2005","방배대우디오빌","29.6","19"
"11","2021","12","13","   335,000","11650"," 방배동","849-30","2009","방배롯데캐슬로제","204.41","3"
"12","2021","12","14","   248,000","11650"," 방배동","1015","1985","임광","136.38","6"
"13","2021","12","15","    31,500","11650"," 방배동","866-20","2005","방배대우디오빌","29.6","16"
"14","2021","12","16","   132,000","11650"," 방배동","3282","2021","방배중앙센트레빌","59.936","3"
"15","2021","12","16","   126,500","11650"," 방배동","1006-1","2002","서초이에스에이3차","59.4","12"
"16","2021","12","17","    30,000","11650"," 방배동","866-20","2005","방배대우디오빌","29.6","6"
"17","2021","12","21","    32,000","11650"," 방배동","866-20","2005","방배대우디오빌","29.6","19"
"18","2021","12","21","   189,000","11650"," 방배동","957-7","2003","대성유니드","124.95","2"
"19","2021","12","22","   169,000","11650"," 방배동","2626","2003","삼성래미안1","84.91","5"
"20","2021","12","22","   169,000","11650"," 방배동","2626","2003","삼성래미안1","84.91","5"
"21","2021","12","22","   169,000","11650"," 방배동","2626","2003","삼성래미안1","84.91","5"
"22","2021","12","23","   253,000","11650"," 방배동","906-13","2010","서리풀e편한세상","84.97","14"
"23","2021","12","27","   270,000","11650"," 방배동","772-13","2001","현대멤피스","159.47","13"
"24","2021","12","27","   270,000","11650"," 방배동","772-13","2001","현대멤피스","159.47","13"
"25","2021","12","27","    44,000","11650"," 방배동","816-1","2004","한신트리플","39.31","5"
"26","2021","12","19","   180,000","11650"," 양재동","154-2","1991","우성","84.58","14"
"27","2021","12","23","    52,000","11650"," 양재동","389-2","2002","파크뷰","43.47","5"
"28","2021","12","29","    70,000","11650"," 양재동","402-15","2001","휴먼씨티","79.54","3"
"29","2021","12","18","   184,000","11650"," 우면동","737","2013","서초네이처힐6단지","114.95","12"
"30","2021","12","4","   240,000","11650"," 잠원동","53-15","1987","강변","84.53","6"
"31","2021","12","4","   273,000","11650"," 잠원동","157","2002","동아","84.91","15"
"32","2021","12","6","   199,500","11650"," 잠원동","157","2002","동아","59.92","5"
"33","2021","12","9","   325,000","11650"," 잠원동","70","1979","신반포4","105.89","7"
"34","2021","12","11","   300,000","11650"," 잠원동","50-1","2004","롯데캐슬갤럭시(50-1)","109.56","12"
"35","2021","12","17","   405,000","11650"," 잠원동","55-7","1996","청구빌라트","242.16","6"
"36","2021","12","20","   370,000","11650"," 잠원동","73","1978","신반포2","107.31","6"
"37","2021","12","7","   490,000","11650"," 반포동","1341","2018","반포래미안아이파크","130.92","29"
"38","2021","12","11","   360,000","11650"," 반포동","20-43","2009","반포자이","84.943","13"
"39","2021","12","11","   340,000","11650"," 반포동","16-6","2012","반포힐스테이트","84.77","15"
"40","2021","12","17","   367,000","11650"," 반포동","30-26","2010","반포리체","106.148","5"
"41","2021","12","20","   311,000","11650"," 반포동","1343","2021","디에이치반포라클라스","84.9754","17"
"42","2021","12","21","   520,000","11650"," 반포동","20-43","2009","반포자이","165.446","28"
"43","2021","12","22","   540,000","11650"," 반포동","20-43","2009","반포자이","194.515","13"
"44","2021","12","25","   280,000","11650"," 반포동","968","1974","에이아이디차관주택","72.51","2"
