"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","2","1","   122,000","11710"," 잠실동","22","2008","리센츠","27.68","31"
"2","2021","2","2","   210,000","11710"," 잠실동","44","2006","레이크팰리스","84.82","18"
"3","2021","2","3","   243,300","11710"," 잠실동","27","1978","주공아파트 5단지","76.5","7"
"4","2021","2","5","   253,000","11710"," 잠실동","27","1978","주공아파트 5단지","82.61","2"
"5","2021","2","5","   227,100","11710"," 잠실동","27","1978","주공아파트 5단지","81.75","9"
"6","2021","2","6","    95,000","11710"," 잠실동","22","2008","리센츠","27.68","8"
"7","2021","2","6","    95,000","11710"," 잠실동","22","2008","리센츠","27.68","12"
"8","2021","2","6","    95,000","11710"," 잠실동","22","2008","리센츠","27.68","12"
"9","2021","2","8","   205,000","11710"," 잠실동","40","2005","갤러리아팰리스","123.291","38"
"10","2021","2","9","   320,000","11710"," 잠실동","86","1986","아시아선수촌아파트","134.485","3"
"11","2021","2","10","   173,000","11710"," 잠실동","35","2007","트리지움","59.88","1"
"12","2021","2","16","   243,100","11710"," 잠실동","27","1978","주공아파트 5단지","81.75","12"
"13","2021","2","16","   241,000","11710"," 잠실동","19","2008","잠실엘스","84.8","14"
"14","2021","2","18","   260,000","11710"," 잠실동","22","2008","리센츠","124.22","20"
"15","2021","2","20","   191,000","11710"," 잠실동","19","2008","잠실엘스","59.96","10"
"16","2021","2","22","   208,000","11710"," 잠실동","35","2007","트리지움","84.97","26"
"17","2021","2","22","   108,000","11710"," 잠실동","22","2008","리센츠","27.68","26"
"18","2021","2","24","   264,000","11710"," 잠실동","40","2005","갤러리아팰리스","151.633","30"
"19","2021","2","24","   228,100","11710"," 잠실동","27","1978","주공아파트 5단지","81.75","6"
"20","2021","2","24","    78,000","11710"," 잠실동","239-6","2017","한영해시안아파트","54.14","2"
"21","2021","2","25","   268,100","11710"," 잠실동","27","1978","주공아파트 5단지","82.51","13"
"22","2021","2","26","   210,000","11710"," 잠실동","19","2008","잠실엘스","84.88","6"
"23","2021","2","26","   260,000","11710"," 잠실동","101-1","1981","우성아파트","131.08","7"
"24","2021","2","26","   290,000","11710"," 잠실동","19","2008","잠실엘스","119.93","19"
"25","2021","2","27","   219,800","11710"," 잠실동","44","2006","레이크팰리스","84.82","12"
"26","2021","2","27","   219,000","11710"," 잠실동","44","2006","레이크팰리스","84.82","8"
"27","2021","2","2","   189,000","11710"," 신천동","17","2008","파크리오","59.95","15"
"28","2021","2","2","   220,000","11710"," 신천동","11","1979","장미2","99","14"
"29","2021","2","3","   224,500","11710"," 신천동","17","2008","파크리오","84.79","15"
"30","2021","2","3","   328,000","11710"," 신천동","7","1979","장미1","182.01","13"
"31","2021","2","5","   203,000","11710"," 신천동","17","2008","파크리오","84.9","20"
"32","2021","2","6","   219,000","11710"," 신천동","17","2008","파크리오","84.79","18"
"33","2021","2","6","   238,000","11710"," 신천동","17","2008","파크리오","84.97","13"
"34","2021","2","8","   222,000","11710"," 신천동","20-4","1980","진주","71.34","6"
"35","2021","2","8","   260,000","11710"," 신천동","17","2008","파크리오","121.63","24"
"36","2021","2","9","   245,000","11710"," 신천동","17","2008","파크리오","144.77","1"
"37","2021","2","10","   229,300","11710"," 신천동","17","2008","파크리오","84.97","23"
"38","2021","2","10","   120,000","11710"," 신천동","7-19","1996","잠실시그마타워","207.25","29"
"39","2021","2","10","   205,000","11710"," 신천동","17","2008","파크리오","84.9","9"
"40","2021","2","10","   263,000","11710"," 신천동","17","2008","파크리오","144.77","3"
"41","2021","2","16","   215,000","11710"," 신천동","17","2008","파크리오","84.9","19"
"42","2021","2","18","   240,000","11710"," 신천동","20-4","1980","진주","81.88","3"
"43","2021","2","23","   231,000","11710"," 신천동","17","2008","파크리오","84.79","26"
"44","2021","2","23","   213,000","11710"," 신천동","17","2008","파크리오","84.9","10"
"45","2021","2","25","   169,000","11710"," 신천동","17","2008","파크리오","59.95","6"
"46","2021","2","26","   219,000","11710"," 신천동","17","2008","파크리오","84.9","36"
"47","2021","2","26","    97,800","11710"," 신천동","11-9","1988","한신코아","50.76","2"
"48","2021","2","27","   245,000","11710"," 신천동","17","2008","파크리오","121.63","1"
"49","2021","2","2","   127,000","11710"," 풍납동","511","2006","송파현대힐스테이트","84.99","8"
"50","2021","2","3","    72,000","11710"," 풍납동","260","1999","현대리버빌1지구","43.2","7"
"51","2021","2","3","    89,000","11710"," 풍납동","163","1998","대아(제101상가동)","84.99","9"
"52","2021","2","3","    72,000","11710"," 풍납동","260","1999","현대리버빌1지구","43.2","7"
"53","2021","2","3","   115,000","11710"," 풍납동","506","1995","동아한가람1","84.38","14"
"54","2021","2","3","   190,000","11710"," 풍납동","509","1998","씨티극동1","135.3","23"
"55","2021","2","5","    97,800","11710"," 풍납동","508","1995","한강극동","59.26","8"
"56","2021","2","5","   102,000","11710"," 풍납동","506","1995","동아한가람1","59.9","12"
"57","2021","2","6","   150,000","11710"," 풍납동","508","1995","한강극동","114.76","3"
"58","2021","2","6","    69,000","11710"," 풍납동","260","1999","현대리버빌1지구","43.2","3"
"59","2021","2","9","   105,000","11710"," 풍납동","506","1995","동아한가람1","84.38","1"
"60","2021","2","9","    55,000","11710"," 풍납동","506","1995","동아한가람1","59.98","1"
"61","2021","2","16","    70,000","11710"," 풍납동","260","1999","현대리버빌1지구","43.2","5"
"62","2021","2","16","    65,000","11710"," 풍납동","261","1999","현대리버빌2지구","40.95","16"
"63","2021","2","20","    59,000","11710"," 풍납동","261","1999","현대리버빌2지구","40.95","1"
"64","2021","2","20","   132,000","11710"," 풍납동","401-1","1994","쌍용","84.86","18"
"65","2021","2","22","   116,000","11710"," 풍납동","391","1987","극동","79.945","8"
"66","2021","2","3","   115,000","11710"," 송파동","164","2003","금강KCC","84.99","5"
"67","2021","2","3","   102,000","11710"," 송파동","33","1995","호수임광","57.72","4"
