"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","12","1","   149,000","11470"," 신정동","325","1988","목동신시가지11","66.24","7"
"2","2021","12","1","   207,500","11470"," 신정동","311","1987","목동신시가지10","105.58","12"
"3","2021","12","4","   137,000","11470"," 신정동","1278","1996","목동삼성","84.77","11"
"4","2021","12","4","   100,000","11470"," 신정동","327","1987","목동신시가지13","70.73","11"
"5","2021","12","4","   100,000","11470"," 신정동","327","1987","목동신시가지13","70.73","11"
"6","2021","12","8","    61,500","11470"," 신정동","1281","2001","푸른마을2","49.16","3"
"7","2021","12","9","   155,000","11470"," 신정동","1279","1997","목동현대3차","84.77","16"
"8","2021","12","11","    70,000","11470"," 신정동","1283","2001","푸른마을3","59.91","13"
"9","2021","12","13","   280,000","11470"," 신정동","312","1987","목동신시가지9","156.84","5"
"10","2021","12","14","    80,000","11470"," 신정동","1277","2000","신트리4","59.73","10"
"11","2021","12","15","    57,700","11470"," 신정동","916-15","2002","심미","81.88","5"
"12","2021","12","17","   105,000","11470"," 신정동","1295","2001","목동2삼성래미안","59.92","6"
"13","2021","12","17","   161,500","11470"," 신정동","312","1987","목동신시가지9","71.37","12"
"14","2021","12","17","    61,000","11470"," 신정동","1293","2000","학마을1단지","49.98","3"
"15","2021","12","18","    64,000","11470"," 신정동","1218-1","2003","일진아이윌","69.657","3"
"16","2021","12","18","   188,000","11470"," 신정동","318-10","2003","삼성쉐르빌","154.71","8"
"17","2021","12","20","   200,500","11470"," 신정동","311","1987","목동신시가지10","105.58","4"
"18","2021","12","24","   150,000","11470"," 신정동","1323","2016","목동힐스테이트","59.95","7"
"19","2021","12","28","   185,500","11470"," 신정동","329","1987","목동신시가지14","108.28","12"
"20","2021","12","2","   341,500","11470"," 목동","962","2009","트라팰리스웨스턴에비뉴","177.48","35"
"21","2021","12","2","   260,000","11470"," 목동","962","2009","트라팰리스웨스턴에비뉴","127.65","21"
"22","2021","12","4","   115,000","11470"," 목동","953","2005","목동두산위브","112.209","6"
"23","2021","12","7","   146,500","11470"," 목동","911","1986","목동신시가지6","47.94","12"
"24","2021","12","8","   108,000","11470"," 목동","549","2002","목동금호베스트빌","96.83","4"
"25","2021","12","8","   147,000","11470"," 목동","911","1986","목동신시가지6","47.94","9"
"26","2021","12","10","   162,000","11470"," 목동","956","2005","롯데캐슬위너","127.65","11"
"27","2021","12","10","   154,500","11470"," 목동","956","2005","롯데캐슬위너","114.75","5"
"28","2021","12","13","    39,000","11470"," 목동","555-4","2016","CG아름채목동아파트","39.201","7"
"29","2021","12","15","   235,000","11470"," 목동","912","1986","목동신시가지5","93.18","1"
"30","2021","12","16","   125,000","11470"," 목동","965","2019","목동롯데캐슬마에스트로","59.9846","7"
"31","2021","12","18","   115,000","11470"," 목동","753-1","2002","금강에스쁘아","82.615","11"
"32","2021","12","24","   108,000","11470"," 목동","549","2002","목동금호베스트빌","125.37","1"
"33","2021","12","25","   139,000","11470"," 목동","758-2","2004","목동2차아이파크","84.85","5"
"34","2021","12","27","   108,000","11470"," 목동","549","2002","목동금호베스트빌","96.83","4"
"35","2021","12","28","   132,000","11470"," 목동","936","1999","진도2","59.46","8"
"36","2021","12","28","   107,000","11470"," 목동","806-25","1996","동도빌라트","143.52","8"
"37","2021","12","30","    64,500","11470"," 목동","764-4","1992","신목","74.64","1"
"38","2021","12","3","    50,000","11470"," 신월동","1038","2006","아름다운세상","74.73","5"
"39","2021","12","3","    44,000","11470"," 신월동","217-8","2001","해주","59.59","12"
"40","2021","12","4","    28,700","11470"," 신월동","456-1","2019","양천홈타운1차","40.1","4"
"41","2021","12","11","   133,000","11470"," 신월동","1075","2020","목동센트럴아이파크위브1단지","84.98","9"
"42","2021","12","11","    39,500","11470"," 신월동","1001-6","2004","예지보금자리","71.87","6"
"43","2021","12","13","    61,800","11470"," 신월동","429-1","1998","성우","84.98","12"
"44","2021","12","13","   110,500","11470"," 신월동","1076","2020","목동센트럴아이파크위브2단지","59.97","20"
"45","2021","12","15","    54,800","11470"," 신월동","125","2005","신월6차보람","59.232","14"
"46","2021","12","15","    54,800","11470"," 신월동","125","2005","신월6차보람","59.232","14"
"47","2021","12","16","    25,000","11470"," 신월동","128","1999","태헌(신월프라자)","56.97","6"
"48","2021","12","24","    54,000","11470"," 신월동","416-1","2003","보람쉬움1","58.15","3"
"49","2021","12","24","    94,500","11470"," 신월동","1055","2012","신정두산위브","59.78","7"
"50","2021","12","25","    91,000","11470"," 신월동","1053","2009","수명산SKVIEW","127.89","8"
"51","2021","12","30","    60,000","11470"," 신월동","1059","2009","상진지오벨리","84.98","4"
