"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","8","6","   122,000","11560"," 영등포동","647","2002","영등포푸르지오","73.133","16"
"2","2021","8","7","   116,800","11560"," 영등포동","647","2002","영등포푸르지오","73.133","1"
"3","2021","8","13","   136,900","11560"," 영등포동","647","2002","영등포푸르지오","84.908","18"
"4","2021","8","18","   120,000","11560"," 영등포동","647","2002","영등포푸르지오","73.133","19"
"5","2021","8","19","   130,500","11560"," 영등포동","647","2002","영등포푸르지오","79.777","6"
"6","2021","8","25","   135,500","11560"," 영등포동","647","2002","영등포푸르지오","79.777","15"
"7","2021","8","27","   112,000","11560"," 영등포동","647","2002","영등포푸르지오","59.912","7"
"8","2021","8","7","    13,300","11560"," 영등포동1가","144","2011","헤렌어반","13.331","2"
"9","2021","8","17","    14,500","11560"," 영등포동4가","103","2012","영등포그랑그루","12.1","11"
"10","2021","8","17","    14,700","11560"," 영등포동4가","103","2012","영등포그랑그루","12.1","11"
"11","2021","8","12","    95,000","11560"," 영등포동7가","202","2004","브라운스톤","84.9","8"
"12","2021","8","14","   199,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","115.58","32"
"13","2021","8","21","    95,500","11560"," 영등포동7가","46-1","1998","경남아너스빌","59.9","14"
"14","2021","8","21","   134,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","59.7","15"
"15","2021","8","27","    52,000","11560"," 영등포동7가","94-99","2018","여의휴젠느","36.85","14"
"16","2021","8","30","    12,900","11560"," 영등포동7가","94-51","2012","훼미리하우스117","16.98","3"
"17","2021","8","31","   162,500","11560"," 영등포동7가","203","2017","아크로타워스퀘어","84.71","13"
"18","2021","8","31","   138,000","11560"," 영등포동7가","203","2017","아크로타워스퀘어","59.7","10"
"19","2021","8","5","   101,000","11560"," 영등포동8가","76-1","1999","삼환","59.91","3"
"20","2021","8","13","   135,000","11560"," 영등포동8가","91","2004","당산푸르지오","84.98","4"
"21","2021","8","14","   169,000","11560"," 영등포동8가","91","2004","당산푸르지오","133.34","19"
"22","2021","8","4","   182,000","11560"," 여의도동","41","1975","대교","95.5","12"
"23","2021","8","13","   245,000","11560"," 여의도동","61","2003","리첸시아","137.82","22"
"24","2021","8","13","   227,000","11560"," 여의도동","61","2003","리첸시아","119.21","24"
"25","2021","8","18","   187,500","11560"," 여의도동","36","2005","롯데캐슬엠파이어","120.41","5"
"26","2021","8","19","   140,000","11560"," 여의도동","61-4","1994","라이프콤비","131.6","22"
"27","2021","8","19","   258,000","11560"," 여의도동","42","1975","한양","149.59","5"
"28","2021","8","22","   179,500","11560"," 여의도동","36","2005","롯데캐슬엠파이어","107.58","6"
"29","2021","8","24","   199,000","11560"," 여의도동","51","1974","삼익","123.27","9"
"30","2021","8","25","   215,000","11560"," 여의도동","48","2003","대우트럼프월드II","123.78","19"
"31","2021","8","28","   398,000","11560"," 여의도동","21-1","1976","서울","139.31","8"
"32","2021","8","6","    97,200","11560"," 당산동1가","16-1","1997","진로","59.4","3"
"33","2021","8","9","   103,000","11560"," 당산동1가","457","2008","신동아파밀리에","59.4","10"
"34","2021","8","10","   100,000","11560"," 당산동1가","16-1","1997","진로","59.4","4"
"35","2021","8","14","    86,000","11560"," 당산동1가","16-1","1997","진로","59.4","1"
"36","2021","8","9","    39,000","11560"," 당산동2가","16-1","1999","당산대우","31.73","2"
"37","2021","8","12","    40,000","11560"," 당산동2가","16-1","1999","당산대우","31.73","20"
"38","2021","8","20","    37,300","11560"," 당산동2가","16-1","1999","당산대우","31.73","3"
"39","2021","8","11","    69,000","11560"," 당산동3가","564","2014","당산계룡리슈빌1단지","38.77","10"
"40","2021","8","11","   122,000","11560"," 당산동3가","563","2009","당산어울림2차","84.9651","5"
"41","2021","8","13","    73,000","11560"," 당산동3가","566","2014","당산계룡리슈빌2단지","40.136","5"
"42","2021","8","13","   119,500","11560"," 당산동3가","563","2009","당산어울림2차","84.8711","4"
"43","2021","8","20","   115,000","11560"," 당산동3가","563","2009","당산어울림2차","84.8711","2"
"44","2021","8","20","   115,000","11560"," 당산동3가","563","2009","당산어울림2차","84.8711","2"
"45","2021","8","23","    80,000","11560"," 당산동3가","564","2014","당산계룡리슈빌1단지","42.02","12"
"46","2021","8","30","    77,500","11560"," 당산동3가","564","2014","당산계룡리슈빌1단지","38.77","4"
"47","2021","8","11","   168,000","11560"," 당산동4가","96","2010","당산반도유보라팰리스","157.87","10"
"48","2021","8","11","   157,000","11560"," 당산동4가","99","2017","당산롯데캐슬프레스티지","84.98","23"
"49","2021","8","14","    94,800","11560"," 당산동4가","29","1999","한강아파트","59.4","13"
"50","2021","8","14","    98,000","11560"," 당산동4가","29","1999","한강아파트","59.4","5"
"51","2021","8","19","   145,000","11560"," 당산동4가","30-1","2000","당산현대5차","84.69","10"
"52","2021","8","23","   115,000","11560"," 당산동4가","29","1999","한강아파트","84.98","5"
"53","2021","8","24","   125,000","11560"," 당산동4가","98","2015","브라운스톤당산","84.038","3"
"54","2021","8","24","   102,500","11560"," 당산동4가","88","1988","당산현대3차","59.26","12"
"55","2021","8","25","   165,000","11560"," 당산동4가","96","2010","당산반도유보라팰리스","124.62","3"
"56","2021","8","26","   170,000","11560"," 당산동4가","96","2010","당산반도유보라팰리스","124.62","20"
"57","2021","8","28","   120,000","11560"," 당산동4가","30-1","2000","당산현대5차","59.75","11"
"58","2021","8","28","   119,000","11560"," 당산동4가","95","2002","당산금호어울림","59.91","4"
"59","2021","8","30","   128,200","11560"," 당산동4가","95","2002","당산금호어울림","84.25","4"
"60","2021","8","11","   181,000","11560"," 당산동5가","42","2003","당산삼성래미안4차","115.78","14"
"61","2021","8","12","   184,500","11560"," 당산동5가","42","2003","당산삼성래미안4차","115.78","10"
"62","2021","8","17","   113,000","11560"," 당산동5가","12","1999","당산효성1차","59.85","1"
"63","2021","8","1","   133,000","11560"," 당산동","376","2002","강변래미안","79.43","16"
"64","2021","8","6","   118,000","11560"," 당산동","374","1995","래미안당산1차","59.97","15"
"65","2021","8","14","    99,500","11560"," 당산동","378","2002","드림리버빌","117.41","2"
"66","2021","8","23","    14,000","11560"," 당산동","121-108","2013","훼미리하우스138","14.28","9"
"67","2021","8","25","   130,000","11560"," 당산동","376","2002","강변래미안","78.9","2"
"68","2021","8","7","   142,500","11560"," 도림동","821","2014","영등포아트자이","84.764","12"
"69","2021","8","21","   133,000","11560"," 도림동","821","2014","영등포아트자이","84.974","9"
"70","2021","8","21","    86,300","11560"," 도림동","165-1","2000","동아에코빌","59.93","19"
"71","2021","8","31","   133,000","11560"," 도림동","821","2014","영등포아트자이","84.974","31"
"72","2021","8","19","   100,000","11560"," 문래동3가","77-2","1988","문래공원한신","58.96","4"
"73","2021","8","23","   106,500","11560"," 문래동3가","93-1","1998","문래건영","84.87","9"
"74","2021","8","28","   181,000","11560"," 문래동3가","54","2001","문래자이","121.53","11"
"75","2021","8","9","    95,000","11560"," 문래동4가","43","2001","문래동삼환","84.98","2"
"76","2021","8","16","    89,000","11560"," 문래동4가","43","2001","문래동삼환","59.85","20"
"77","2021","8","5","    90,000","11560"," 문래동5가","1","2000","문래대림","84.92","12"
"78","2021","8","11","    75,000","11560"," 문래동5가","14","1988","문래두산위브","65.46","1"
"79","2021","8","13","    92,000","11560"," 문래동5가","1","2000","문래대림","84.92","19"
"80","2021","8","13","    88,500","11560"," 문래동5가","1","2000","문래대림","84.92","7"
"81","2021","8","14","   129,000","11560"," 문래동5가","67","2017","문래모아미래도","84.75","7"
"82","2021","8","18","   135,000","11560"," 문래동5가","67","2017","문래모아미래도","84.75","10"
"83","2021","8","18","    91,000","11560"," 문래동5가","1","2000","문래대림","84.92","8"
"84","2021","8","19","    82,500","11560"," 문래동5가","14","1988","문래두산위브","65.46","10"
"85","2021","8","19","    82,500","11560"," 문래동5가","14","1988","문래두산위브","65.46","10"
"86","2021","8","23","    87,500","11560"," 문래동5가","1","2000","문래대림","84.92","5"
"87","2021","8","26","    93,000","11560"," 문래동5가","23-1","1992","문래현대5차","84.79","14"
"88","2021","8","30","    86,000","11560"," 문래동5가","14","1988","문래두산위브","65.46","3"
"89","2021","8","31","    78,000","11560"," 문래동5가","1","2000","문래대림","59.96","2"
"90","2021","8","5","    74,000","11560"," 문래동6가","55-1","1997","현대6","50.55","2"
"91","2021","8","5","    86,000","11560"," 문래동6가","46","1986","현대1차","79.52","1"
"92","2021","8","6","    87,000","11560"," 문래동6가","38-1","1997","문래베어스타운","59.95","3"
"93","2021","8","7","    86,000","11560"," 문래동6가","45","1987","현대2차","59.85","11"
"94","2021","8","13","    74,500","11560"," 문래동6가","55-1","1997","현대6","50.55","3"
"95","2021","8","14","   102,000","11560"," 문래동6가","38-1","1997","문래베어스타운","84.82","7"
"96","2021","8","14","    99,000","11560"," 문래동6가","55-1","1997","현대6","84.72","2"
"97","2021","8","16","    67,500","11560"," 문래동6가","45","1987","현대2차","41.04","4"
"98","2021","8","2","   109,700","11560"," 양평동1가","14-1","1996","한신공영","115.07","8"
"99","2021","8","9","    82,500","11560"," 양평동2가","23","1990","양평벽산블루밍","59.58","4"
"100","2021","8","21","    74,300","11560"," 양평동2가","23","1990","양평벽산블루밍","51.24","4"
"101","2021","8","31","    79,000","11560"," 양평동2가","23","1990","양평벽산블루밍","59.58","2"
"102","2021","8","5","   107,000","11560"," 양평동3가","24","2000","삼천리","84.94","5"
"103","2021","8","6","    86,800","11560"," 양평동3가","55-1","1998","양평경남","59.9","13"
"104","2021","8","9","   102,000","11560"," 양평동3가","101","2000","양평현대6차","59.98","13"
"105","2021","8","16","   102,000","11560"," 양평동3가","101","2000","양평현대6차","59.98","19"
"106","2021","8","19","   120,000","11560"," 양평동3가","90-1","1999","거성파스텔","84.99","4"
"107","2021","8","20","    79,200","11560"," 양평동3가","66","1998","삼호","59.96","24"
"108","2021","8","21","   100,800","11560"," 양평동3가","101","2000","양평현대6차","59.98","18"
"109","2021","8","24","    90,500","11560"," 양평동3가","66","1998","삼호","84.92","11"
"110","2021","8","25","    80,200","11560"," 양평동3가","66","1998","삼호","59.96","16"
"111","2021","8","28","   123,000","11560"," 양평동3가","24","2000","삼천리","123.58","11"
"112","2021","8","8","   100,000","11560"," 양평동5가","9-1","1998","동보","84.48","18"
"113","2021","8","9","    92,000","11560"," 양평동5가","76","1996","양평한신","59.94","9"
"114","2021","8","10","   130,000","11560"," 양평동5가","76","1996","양평한신","84.87","14"
"115","2021","8","16","    95,000","11560"," 양평동5가","76","1996","양평한신","59.94","15"
"116","2021","8","19","    99,000","11560"," 양평동5가","9-1","1998","동보","84.48","10"
"117","2021","8","21","    96,000","11560"," 양평동5가","9-1","1998","동보","84.48","4"
"118","2021","8","21","    94,000","11560"," 양평동5가","76","1996","양평한신","59.94","14"
"119","2021","8","26","    93,500","11560"," 양평동5가","76","1996","양평한신","59.94","2"
"120","2021","8","26","    81,000","11560"," 양평동6가","99","1999","한솔","59.28","17"
"121","2021","8","27","    81,000","11560"," 양평동6가","100","2000","동양","59.86","13"
"122","2021","8","1","    40,000","11560"," 신길동","2-3","1987","삼두","34.92","8"
"123","2021","8","2","   159,000","11560"," 신길동","4950","2017","래미안에스티움","84.93","4"
"124","2021","8","2","    84,000","11560"," 신길동","67-1","1999","경남","59.96","5"
"125","2021","8","3","    15,500","11560"," 신길동","65-21","2013","프리가","18.52","13"
"126","2021","8","3","     9,500","11560"," 신길동","261-22","2013","신길레전드힐스","13.74","6"
"127","2021","8","4","    63,000","11560"," 신길동","2363","2017","메트하임","49.026","12"
"128","2021","8","6","    99,000","11560"," 신길동","3002","1975","남서울","48.26","4"
"129","2021","8","6","   125,000","11560"," 신길동","4934","2001","삼성래미안","114.87","18"
"130","2021","8","7","   157,000","11560"," 신길동","4958","2020","보라매에스케이뷰","84.98","2"
"131","2021","8","7","    91,000","11560"," 신길동","364","1985","건영","60.27","7"
"132","2021","8","7","   103,000","11560"," 신길동","897-1","1997","삼환","84.84","1"
"133","2021","8","9","    93,000","11560"," 신길동","365","1986","우성1","64.4","1"
"134","2021","8","13","   107,000","11560"," 신길동","4497","2005","보라매두산위브","84.96","6"
"135","2021","8","14","    89,500","11560"," 신길동","364","1985","건영","60.27","8"
"136","2021","8","17","    95,000","11560"," 신길동","4938","2011","신길동자이","59.99","1"
"137","2021","8","18","   111,500","11560"," 신길동","4501","1983","우창","66.82","2"
"138","2021","8","20","    97,000","11560"," 신길동","4780","2005","보라매경남아너스빌","59.78","16"
"139","2021","8","21","    91,000","11560"," 신길동","769-1","1997","한성","59.87","3"
"140","2021","8","21","    87,000","11560"," 신길동","67-1","1999","경남","59.96","16"
"141","2021","8","21","    92,500","11560"," 신길동","4934","2002","삼성래미안","84.935","7"
"142","2021","8","22","   165,000","11560"," 신길동","4950","2017","래미안에스티움","84.97","6"
"143","2021","8","24","    64,000","11560"," 신길동","2363","2017","메트하임","49.026","11"
"144","2021","8","25","   169,000","11560"," 신길동","4950","2017","래미안에스티움","84.92","19"
"145","2021","8","25","   138,000","11560"," 신길동","4969","2020","힐스테이트클래시안","59.91","25"
"146","2021","8","26","   129,500","11560"," 신길동","4950","2017","래미안에스티움","59.95","4"
"147","2021","8","26","    69,000","11560"," 신길동","4759","1984","삼성","41.58","2"
"148","2021","8","26","    91,000","11560"," 신길동","4933","1993","우성5","84.98","15"
"149","2021","8","27","    12,500","11560"," 신길동","261-22","2013","신길레전드힐스","13.74","17"
"150","2021","8","28","    91,000","11560"," 신길동","897-1","1997","삼환","59.53","6"
"151","2021","8","28","   120,000","11560"," 신길동","897-1","1997","삼환","84.84","21"
"152","2021","8","28","   110,000","11560"," 신길동","4518","1986","우성2","64.4","10"
"153","2021","8","28","   146,000","11560"," 신길동","4945","2015","래미안영등포프레비뉴","84.98","1"
"154","2021","8","1","   112,000","11560"," 대림동","1125","2016","보라매 신동아 파밀리에","84.88","5"
"155","2021","8","1","    11,000","11560"," 대림동","717","2013","쌍용플래티넘S","18.24","10"
"156","2021","8","3","    90,000","11560"," 대림동","607-1","1998","코오롱","59.94","15"
"157","2021","8","4","    11,000","11560"," 대림동","1101-1","2012","(1101-1)","13.64","5"
"158","2021","8","4","    85,000","11560"," 대림동","1124","2013","신대림신동아파밀리에","59.9754","6"
"159","2021","8","6","    11,300","11560"," 대림동","1101-1","2012","(1101-1)","13.9","9"
"160","2021","8","6","    70,000","11560"," 대림동","650","1995","성원(650)","59.63","3"
"161","2021","8","6","    11,300","11560"," 대림동","1101-1","2012","(1101-1)","14.46","9"
"162","2021","8","7","    68,000","11560"," 대림동","887-1","1998","한신휴1차","59.89","13"
"163","2021","8","7","    85,900","11560"," 대림동","785-1","1992","현대1","84.75","5"
"164","2021","8","7","   100,000","11560"," 대림동","1123","2008","한솔솔파크","84.89","10"
"165","2021","8","7","   108,000","11560"," 대림동","1125","2016","보라매 신동아 파밀리에","84.88","1"
"166","2021","8","10","    17,000","11560"," 대림동","1101-7","2018","G밸리소홈","16.1","16"
"167","2021","8","10","   100,000","11560"," 대림동","1124","2013","신대림신동아파밀리에","84.9563","3"
"168","2021","8","13","   114,000","11560"," 대림동","608-1","1997","현대3","84.89","19"
"169","2021","8","13","   104,500","11560"," 대림동","607-1","1998","코오롱","84.93","17"
"170","2021","8","14","    99,500","11560"," 대림동","608-1","1997","현대3","59.83","16"
"171","2021","8","14","    54,200","11560"," 대림동","1115-1","1997","성원(1115-1)","59.79","3"
"172","2021","8","14","   116,000","11560"," 대림동","608-1","1997","현대3","84.89","23"
"173","2021","8","17","    99,000","11560"," 대림동","1124","2013","신대림신동아파밀리에","91.2439","13"
"174","2021","8","18","    99,400","11560"," 대림동","1123","2008","한솔솔파크","84.89","16"
"175","2021","8","21","    69,500","11560"," 대림동","608-1","1997","현대3","43.92","13"
"176","2021","8","21","    45,000","11560"," 대림동","687-1","1989","성락","69.46","3"
"177","2021","8","21","    45,000","11560"," 대림동","687-1","1989","성락","69.46","3"
"178","2021","8","24","    83,000","11560"," 대림동","785-1","1992","현대1","84.75","8"
"179","2021","8","30","   118,000","11560"," 대림동","1124","2013","신대림신동아파밀리에","126.3249","7"
"180","2021","8","31","   107,500","11560"," 대림동","1122","2007","신대림자이2단지","84.63","16"
