"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","10","5","   186,000","11170"," 동자동","45","2013","센트레빌아스테리움서울","149.05","15"
"2","2021","10","6","   182,000","11170"," 산천동","193","2001","리버힐삼성","114.48","17"
"3","2021","10","30","   140,000","11170"," 산천동","193","2001","리버힐삼성","59.55","13"
"4","2021","10","5","   138,500","11170"," 원효로4가","178","1999","강변삼성스위트","59.94","6"
"5","2021","10","2","    94,800","11170"," 효창동","5-49","2002","효창팰리스2차","84.03","2"
"6","2021","10","17","   158,000","11170"," 효창동","287","2019","용산롯데캐슬센터포레","59.9525","6"
"7","2021","10","2","   143,000","11170"," 도원동","23","2001","삼성래미안","59.94","9"
"8","2021","10","9","   174,000","11170"," 도원동","23","2001","삼성래미안","114.99","22"
"9","2021","10","13","   165,000","11170"," 도원동","23","2001","삼성래미안","114.99","12"
"10","2021","10","2","   164,000","11170"," 문배동","11-10","2015","용산KCC웰츠타워","84.68","23"
"11","2021","10","5","    19,500","11170"," 문배동","24-4","2013","용산큐브","13.01","20"
"12","2021","10","2","   206,000","11170"," 한강로1가","64","2007","대우월드마크용산","133.085","17"
"13","2021","10","16","    33,000","11170"," 한강로2가","2-11","2004","한강로대우아이빌","28.22","13"
"14","2021","10","4","   480,000","11170"," 용산동5가","24-1","2009","용산파크타워(24-1)","205.29","25"
"15","2021","10","25","   260,000","11170"," 용산동5가","24","2009","용산파크타워(24-0)","100.29","32"
"16","2021","10","2","   115,000","11170"," 한강로3가","16-85","2006","한강자이에클라트","68.59","17"
"17","2021","10","29","   125,000","11170"," 한강로3가","16-85","2006","한강자이에클라트","80.77","20"
"18","2021","10","2","   190,000","11170"," 이촌동","404","1998","한가람","59.88","13"
"19","2021","10","3","   120,000","11170"," 이촌동","193-3","1971","강변","63.93","5"
"20","2021","10","3","   400,000","11170"," 이촌동","300-23","1971","한강맨숀","120.56","4"
"21","2021","10","4","   345,000","11170"," 이촌동","430","2003","LG한강자이","169.44","22"
"22","2021","10","5","   184,900","11170"," 이촌동","404","1998","한가람","59.88","9"
"23","2021","10","11","   238,000","11170"," 이촌동","404","1998","한가람","84.89","22"
"24","2021","10","14","   181,500","11170"," 이촌동","404","1998","한가람","59.88","4"
"25","2021","10","18","   190,000","11170"," 이촌동","404","1998","한가람","59.88","10"
"26","2021","10","24","   250,000","11170"," 이촌동","418","2001","동부센트레빌","100.92","18"
"27","2021","10","27","    71,000","11170"," 이촌동","212-41","2020","G&D용산드림","18.55","5"
"28","2021","10","29","   188,000","11170"," 이촌동","422","2001","북한강(성원)","59.55","19"
"29","2021","10","12","   160,000","11170"," 이태원동","730","2002","이태원(이테크빌)","84.48","3"
"30","2021","10","7","    48,000","11170"," 한남동","263-10","1970","성아1","44.73","11"
"31","2021","10","14","   840,000","11170"," 한남동","829","2019","나인원한남","273.4125","1"
"32","2021","10","28","    80,000","11170"," 한남동","644-2","1975","태성1","59.95","4"
"33","2021","10","28","   130,000","11170"," 한남동","522-1","2010","한남동동원베네스트","81.83","3"
"34","2021","10","18","   450,000","11170"," 서빙고동","241-21","1984","신동아","210.25","12"
