"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","6","9","    90,000","11380"," 수색동","415-1","2003","대림한숲(DMC이편한세상)","84.951","12"
"2","2021","6","17","    83,000","11380"," 수색동","17-9","1987","수정가,나동","65.34","1"
"3","2021","6","8","   117,000","11380"," 녹번동","281","2015","북한산푸르지오","84.99","17"
"4","2021","6","8","    52,500","11380"," 녹번동","141-8","2009","동호스카이","58.22","4"
"5","2021","6","10","    48,600","11380"," 녹번동","183-2","2019","거장메카","40.97","14"
"6","2021","6","17","   129,500","11380"," 녹번동","283","2019","래미안베라힐즈","84.95","17"
"7","2021","6","19","    32,000","11380"," 녹번동","86-20","2004","산수(86-20)","65.2","6"
"8","2021","6","21","   108,000","11380"," 녹번동","282","2019","힐스테이트녹번","59.9","12"
"9","2021","6","23","    50,000","11380"," 녹번동","100-55","1989","녹번현대아파트","75.11","6"
"10","2021","6","2","    59,800","11380"," 불광동","484-90","1998","윤현(484-90)","117.3","3"
"11","2021","6","2","    93,000","11380"," 불광동","635","2009","북한산힐스테이트1차아파트","84.369","3"
"12","2021","6","4","    49,000","11380"," 불광동","483-11","2005","해피플러스1","81.51","5"
"13","2021","6","5","    86,900","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","59.99","6"
"14","2021","6","6","    84,700","11380"," 불광동","635","2009","북한산힐스테이트1차아파트","59.817","11"
"15","2021","6","6","   114,500","11380"," 불광동","638","2010","북한산래미안아파트(1단지)","114.9986","3"
"16","2021","6","10","    63,000","11380"," 불광동","636","2006","북한산한양수자인아파트","59.91","4"
"17","2021","6","10","    63,000","11380"," 불광동","636","2006","북한산한양수자인아파트","59.91","4"
"18","2021","6","12","    87,000","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","59.99","12"
"19","2021","6","12","    78,000","11380"," 불광동","248","1988","라이프미성","66.7","1"
"20","2021","6","12","    85,300","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","59.99","4"
"21","2021","6","17","    88,500","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","59.99","8"
"22","2021","6","19","    27,000","11380"," 불광동","484-56","2015","정익제이원(4차)","27.92","14"
"23","2021","6","22","    87,500","11380"," 불광동","641","2010","북한산현대힐스테이트3차아파트","59.99","9"
"24","2021","6","26","    81,000","11380"," 불광동","633","2004","북한산현대홈타운","59.9765","1"
"25","2021","6","26","    92,500","11380"," 불광동","645","2018","불광롯데캐슬","59.99","8"
"26","2021","6","26","    88,000","11380"," 불광동","637","2010","북한산래미안아파트(2단지)","59.9932","8"
"27","2021","6","27","    82,900","11380"," 불광동","635","2009","북한산힐스테이트1차아파트","59.817","3"
"28","2021","6","29","    89,000","11380"," 불광동","637","2010","북한산래미안아파트(2단지)","59.9932","10"
"29","2021","6","29","    82,500","11380"," 불광동","635","2009","북한산힐스테이트1차아파트","59.817","2"
"30","2021","6","30","    94,500","11380"," 불광동","633","2004","북한산현대홈타운","84.9956","9"
"31","2021","6","30","    53,000","11380"," 불광동","483-11","2005","해피플러스1","81.51","6"
"32","2021","6","3","    80,500","11380"," 갈현동","465-12","2004","동광갈현베르빌","84.997","18"
"33","2021","6","9","    80,000","11380"," 갈현동","281-236","1999","인우(281-236)","79.65","1"
"34","2021","6","12","    59,000","11380"," 갈현동","537","1997","갈현동현대","59.25","7"
"35","2021","6","18","    18,500","11380"," 갈현동","548","2018","유호루하스","27.347","7"
"36","2021","6","23","    55,800","11380"," 갈현동","468-5","2017","베로니스","52.1","8"
"37","2021","6","23","    44,500","11380"," 갈현동","499-18","2003","선구","76.2","4"
"38","2021","6","26","    55,300","11380"," 갈현동","136-6","2002","대훈","82.62","3"
"39","2021","6","29","    49,500","11380"," 갈현동","521-2","1996","명성","121.29","1"
"40","2021","6","4","    70,200","11380"," 구산동","382","1998","갈현현대","114.95","18"
"41","2021","6","5","    50,000","11380"," 구산동","23-30","2004","동양","84.36","4"
"42","2021","6","8","    60,000","11380"," 구산동","546","2004","대림e-편한세상2","59.886","5"
"43","2021","6","9","    55,000","11380"," 구산동","27-15","1997","예승빌라트","141.24","2"
"44","2021","6","15","    51,500","11380"," 구산동","382","1998","갈현현대","59.94","11"
"45","2021","6","15","    48,500","11380"," 구산동","355-98","1991","동익파크(355-98)","84.95","1"
"46","2021","6","16","    57,900","11380"," 구산동","355-95","1991","동익파크(355-95)","84.98","13"
"47","2021","6","18","    65,000","11380"," 구산동","547","2004","갈현1단지e-편한세상","84.618","2"
"48","2021","6","22","    44,700","11380"," 구산동","321-28","2021","벨뷰아파트","48.84","7"
"49","2021","6","22","    50,500","11380"," 구산동","355-95","1991","동익파크(355-95)","84.98","1"
"50","2021","6","28","    66,000","11380"," 구산동","547","2004","갈현1단지e-편한세상","84.618","3"
"51","2021","6","30","    66,000","11380"," 구산동","382","1998","갈현현대","84.83","14"
"52","2021","6","4","    57,500","11380"," 대조동","172-75","2018","호림리슈리안","56.83","6"
"53","2021","6","17","     9,000","11380"," 대조동","4-12","2012","제이타워1","12.23","8"
"54","2021","6","19","    23,500","11380"," 대조동","6-18","2012","나이스홈","29.98","10"
"55","2021","6","19","    12,400","11380"," 대조동","9-14","2014","주주베에이","12.4","4"
"56","2021","6","23","    36,600","11380"," 대조동","179-16","2021","북한산포레스트","29.02","9"
"57","2021","6","23","    12,800","11380"," 대조동","9-45","2014","대경홈타운","13.79","9"
"58","2021","6","29","    58,600","11380"," 대조동","191-24","2004","부림베스트빌","84.8","2"
"59","2021","6","30","    10,900","11380"," 대조동","186-44","2013","YS홈타운","12.39","10"
"60","2021","6","1","    77,000","11380"," 응암동","694-1","1988","우성","115.67","9"
"61","2021","6","1","    40,000","11380"," 응암동","590-23","2019","디우아르떼","34.41","7"
"62","2021","6","1","    59,000","11380"," 응암동","81-173","2017","더위일","58.77","12"
"63","2021","6","3","    85,500","11380"," 응암동","109-3","2001","서강스카이빌","149.99","17"
"64","2021","6","4","   111,500","11380"," 응암동","769","2021","녹번역e편한세상캐슬","59.97","17"
"65","2021","6","5","    95,000","11380"," 응암동","766","2021","백련산파크자이","59.789","7"
"66","2021","6","9","    80,000","11380"," 응암동","694-1","1988","우성","115.67","15"
"67","2021","6","9","    30,000","11380"," 응암동","577-28","2019","거장메카","32.38","4"
"68","2021","6","9","    90,000","11380"," 응암동","761","2011","백련산힐스테이트3차","84.59","9"
"69","2021","6","12","    48,500","11380"," 응암동","117-54","2016","삼흥리치","56.43","3"
"70","2021","6","12","    68,000","11380"," 응암동","96-18","2004","경향렉스빌","84.781","19"
"71","2021","6","14","    86,700","11380"," 응암동","761","2011","백련산힐스테이트3차","59.63","2"
"72","2021","6","15","    53,000","11380"," 응암동","117-54","2016","삼흥리치","59.26","10"
"73","2021","6","15","    28,900","11380"," 응암동","110-1","2020","위산일리온시티","25.04","10"
"74","2021","6","17","    57,000","11380"," 응암동","738","1997","해태드림타운","84.84","10"
"75","2021","6","18","    72,000","11380"," 응암동","96-18","2004","경향렉스빌","84.781","10"
"76","2021","6","18","    84,300","11380"," 응암동","759","2011","백련산힐스테이트1차","59.93","10"
"77","2021","6","18","   119,500","11380"," 응암동","764","2018","백련산힐스테이트4차","84.98","9"
"78","2021","6","19","    47,000","11380"," 응암동","197-78","1990","신동아","52.71","7"
"79","2021","6","19","    79,500","11380"," 응암동","759","2011","백련산힐스테이트1차","59.93","1"
"80","2021","6","19","    75,000","11380"," 응암동","762","2013","녹번역센트레빌","59.97","2"
"81","2021","6","19","   114,000","11380"," 응암동","764","2018","백련산힐스테이트4차","84.98","13"
"82","2021","6","21","    84,500","11380"," 응암동","761","2011","백련산힐스테이트3차","59.63","1"
"83","2021","6","21","    58,700","11380"," 응암동","763","2016","모아아파트","57.7","7"
"84","2021","6","22","    95,000","11380"," 응암동","759","2011","백련산힐스테이트1차","84.59","7"
"85","2021","6","23","    54,000","11380"," 응암동","738","1997","해태드림타운","84.84","7"
"86","2021","6","25","    90,000","11380"," 응암동","761","2011","백련산힐스테이트3차","59.63","5"
"87","2021","6","25","   110,000","11380"," 응암동","764","2018","백련산힐스테이트4차","84.98","17"
"88","2021","6","26","    48,700","11380"," 응암동","714","1995","경남","59.36","14"
"89","2021","6","26","    54,200","11380"," 응암동","116-26","2011","드림캐시아1","59.38","4"
"90","2021","6","28","    89,500","11380"," 응암동","176","2008","대우푸르지오","114.92","1"
"91","2021","6","28","    35,000","11380"," 응암동","738","1997","해태드림타운","54.23","13"
"92","2021","6","10","    42,000","11380"," 역촌동","52-15","2002","만민라이프","84.64","1"
"93","2021","6","10","    40,800","11380"," 역촌동","64-15","2005","신아굿모닝(64-15)","73.7","3"
"94","2021","6","11","    35,000","11380"," 역촌동","19-4","2007","푸른솔","71.82","5"
"95","2021","6","27","    45,500","11380"," 역촌동","59-18","2004","만민라이프(B동)","84.87","7"
"96","2021","6","2","    41,000","11380"," 신사동","40-2","2017","세민하이파크","40.19","10"
"97","2021","6","3","    55,800","11380"," 신사동","354","1992","라이프씨티","83.04","11"
"98","2021","6","5","    64,000","11380"," 신사동","140-1","1987","미성","63.53","3"
"99","2021","6","9","    45,000","11380"," 신사동","40-2","2017","세민하이파크","40.19","4"
"100","2021","6","10","    65,800","11380"," 신사동","355","1994","현대2","84.83","2"
"101","2021","6","10","    53,500","11380"," 신사동","297","1993","신사씨티","58.09","2"
"102","2021","6","12","    48,700","11380"," 신사동","19-84","1997","형진","68.54","10"
"103","2021","6","19","    76,500","11380"," 신사동","370","2006","은평신사두산위브","84.958","3"
"104","2021","6","20","    34,000","11380"," 신사동","364","2003","임탑(364)101동","73.49","2"
"105","2021","6","22","    54,400","11380"," 신사동","354","1992","라이프씨티","83.04","9"
"106","2021","6","25","    75,000","11380"," 신사동","140-1","1987","미성","83.27","2"
"107","2021","6","25","    59,000","11380"," 신사동","354","1992","라이프씨티","83.04","10"
"108","2021","6","26","    77,000","11380"," 신사동","140-1","1987","미성","83.27","13"
"109","2021","6","1","    56,000","11380"," 증산동","185-19","2003","두성","79.08","7"
"110","2021","6","2","    79,000","11380"," 증산동","244","2000","DMC우방","59.91","19"
"111","2021","6","17","    88,700","11380"," 증산동","167-1","2004","문영마운틴(167-1)","84.69","6"
"112","2021","6","21","    81,000","11380"," 증산동","202-7","2002","명남태봉","84.89","3"
"113","2021","6","29","    80,000","11380"," 증산동","252","2003","인우","92.32","6"
"114","2021","6","30","    44,000","11380"," 증산동","174-2","2003","자선메르시안(103)","57.71","7"
"115","2021","6","2","    88,000","11380"," 진관동","14","2008","은평뉴타운상림마을(롯데캐슬A-2)","84.73","2"
"116","2021","6","2","    92,500","11380"," 진관동","94","2010","은평뉴타운 제각말 푸르지오(5-3단지)","84.89","4"
"117","2021","6","3","    83,800","11380"," 진관동","1","2008","은평뉴타운상림마을(푸르지오C-6)","84.79","7"
"118","2021","6","3","    82,000","11380"," 진관동","150","2015","은평뉴타운기자촌11단지","59.88","12"
"119","2021","6","3","   125,000","11380"," 진관동","27","2010","은평뉴타운구파발(금호어울림10단지)","134.9","9"
