"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","3","3","   155,000","11110"," 사직동","9","2008","광화문스페이스본(101동~105동)","158.99","7"
"2","2021","3","6","   134,000","11110"," 사직동","9","2008","광화문스페이스본(101동~105동)","95.88","5"
"3","2021","3","6","   134,500","11110"," 사직동","9","2008","광화문스페이스본(101동~105동)","95.88","5"
"4","2021","3","13","   144,000","11110"," 사직동","9","2008","광화문스페이스본(101동~105동)","108.07","5"
"5","2021","3","13","   144,000","11110"," 사직동","9","2008","광화문스페이스본(101동~105동)","108.07","5"
"6","2021","3","20","   184,000","11110"," 사직동","9","2008","광화문스페이스본(101동~105동)","159.01","5"
"7","2021","3","11","    33,000","11110"," 익선동","55","2003","현대뜨레비앙","48.54","6"
"8","2021","3","22","    26,000","11110"," 익선동","55","2003","현대뜨레비앙","36.08","6"
"9","2021","3","24","    25,000","11110"," 익선동","55","2003","현대뜨레비앙","45.5","3"
"10","2021","3","29","    30,000","11110"," 익선동","55","2003","현대뜨레비앙","46.64","4"
"11","2021","3","5","    78,000","11110"," 인의동","48-2","2006","효성쥬얼리시티","84.98","8"
"12","2021","3","15","    26,000","11110"," 효제동","65-2","2017","포레스트힐시티","22.0584","11"
"13","2021","3","3","    91,000","11110"," 명륜1가","19","2006","렉스빌","107.94","7"
"14","2021","3","17","    48,000","11110"," 명륜1가","2-12","2003","송림아마레스아파트","53.42","6"
"15","2021","3","17","   107,500","11110"," 명륜2가","4","1995","아남1","84.9","19"
"16","2021","3","31","   109,250","11110"," 명륜2가","4","1995","아남1","84.9","9"
"17","2021","3","1","    66,000","11110"," 창신동","703","1993","창신쌍용2","64.66","4"
"18","2021","3","1","    89,700","11110"," 창신동","703","1993","창신쌍용2","106.62","11"
"19","2021","3","13","    68,500","11110"," 창신동","702","1992","창신쌍용1","54.7","10"
"20","2021","3","15","    98,500","11110"," 창신동","702","1992","창신쌍용1","106.62","12"
"21","2021","3","17","    80,000","11110"," 창신동","703","1993","창신쌍용2","79.87","7"
"22","2021","3","20","    63,300","11110"," 창신동","703","1993","창신쌍용2","54.7","4"
"23","2021","3","25","    53,000","11110"," 창신동","639-50","1999","덕산","59.28","4"
"24","2021","3","25","    53,000","11110"," 창신동","639-50","1999","덕산","59.28","4"
"25","2021","3","26","    79,500","11110"," 창신동","232","1999","두산","59.95","14"
"26","2021","3","26","    86,500","11110"," 창신동","702","1992","창신쌍용1","79.87","13"
"27","2021","3","11","    11,450","11110"," 숭인동","1421-1","2013","종로동광모닝스카이","15.855","12"
"28","2021","3","12","   104,500","11110"," 숭인동","76","2004","롯데캐슬천지인","84.95","20"
"29","2021","3","15","    11,000","11110"," 숭인동","201-11","2013","종로유케이201","12.01","12"
"30","2021","3","23","    31,000","11110"," 숭인동","545","1996","동문A","59","2"
"31","2021","3","28","    12,250","11110"," 숭인동","318-2","2014","삼전솔하임4차","15.09","12"
"32","2021","3","18","   151,000","11110"," 평동","233","2017","경희궁자이(3단지)","59.755","2"
"33","2021","3","7","   175,000","11110"," 홍파동","199","2017","경희궁자이(2단지)","84.934","4"
"34","2021","3","8","   220,000","11110"," 홍파동","199","2017","경희궁자이(2단지)","101.991","6"
"35","2021","3","11","   160,000","11110"," 홍파동","199","2017","경희궁자이(2단지)","59.855","13"
"36","2021","3","31","   192,000","11110"," 홍파동","199","2017","경희궁자이(2단지)","84.836","15"
"37","2021","3","11","     7,500","11110"," 행촌동","41-1","1971","대성아파트","19.27","1"
"38","2021","3","10","   125,000","11110"," 평창동","66-1","2009","엘리시아","213.07","2"
"39","2021","3","13","    65,000","11110"," 평창동","179-5","2017","밀레니엄","84.41","3"
"40","2021","3","19","    50,000","11110"," 평창동","596","1998","삼성","84.98","1"
"41","2021","3","23","   120,000","11110"," 평창동","66-1","2009","엘리시아","200.19","1"
"42","2021","3","25","    51,500","11110"," 평창동","145-5","1996","일성빌라트","59.82","2"
"43","2021","3","19","    48,500","11110"," 부암동","218-1","2004","부암스카이뷰","81","5"
"44","2021","3","1","    45,000","11110"," 신영동","105-22","2002","구암하이빌","84.94","3"
"45","2021","3","6","   139,800","11110"," 무악동","60","2008","인왕산아이파크","84.858","8"
"46","2021","3","6","   139,800","11110"," 무악동","60","2008","인왕산아이파크","84.858","8"
"47","2021","3","6","   165,000","11110"," 무악동","60","2008","인왕산아이파크","157.289","7"
"48","2021","3","11","   144,950","11110"," 무악동","82","2000","현대","114.9","19"
