"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","8","7","   162,000","11140"," 남대문로5가","827","2010","남산트라팰리스","126.78","4"
"2","2021","8","1","   370,000","11140"," 회현동1가","206","2010","남산SKLEADERSVIEW","244.7","29"
"3","2021","8","20","   188,000","11140"," 회현동1가","208","2011","남산롯데캐슬아이리스","133.98","21"
"4","2021","8","23","   170,000","11140"," 회현동1가","208","2011","남산롯데캐슬아이리스","103.49","31"
"5","2021","8","17","   184,000","11140"," 회현동2가","87","2010","쌍용남산플래티넘","166.24","24"
"6","2021","8","28","   205,000","11140"," 회현동2가","87","2010","쌍용남산플래티넘","158.97","27"
"7","2021","8","6","    31,800","11140"," 충무로5가","36-2","2016","충무로엘크루메크로시티2","35.55","5"
"8","2021","8","9","    22,000","11140"," 충무로5가","36-2","2016","충무로엘크루메크로시티2","22.75","15"
"9","2021","8","20","    25,300","11140"," 충무로5가","90","2018","충무로헤센스마트","21.04","3"
"10","2021","8","23","    21,500","11140"," 충무로5가","36-2","2016","충무로엘크루메크로시티2","22.75","14"
"11","2021","8","25","    34,500","11140"," 충무로5가","36-2","2016","충무로엘크루메크로시티2","35.57","12"
"12","2021","8","25","    34,800","11140"," 충무로5가","36-2","2016","충무로엘크루메크로시티2","35.55","16"
"13","2021","8","18","    30,000","11140"," 인현동2가","192-30","1968","신성아파트","49.22","9"
"14","2021","8","20","    50,000","11140"," 묵정동","11-67","1981","묵정","52.46","6"
"15","2021","8","2","   125,000","11140"," 신당동","842","1999","약수하이츠","84.88","15"
"16","2021","8","5","    25,000","11140"," 신당동","857","2021","약수역더시티","18.86","7"
"17","2021","8","7","   127,800","11140"," 신당동","843","1999","삼성","84.96","13"
"18","2021","8","7","   131,500","11140"," 신당동","850","2005","신당푸르지오","84.39","15"
"19","2021","8","11","   168,500","11140"," 신당동","844","2002","남산타운","114.88","3"
"20","2021","8","11","   130,000","11140"," 신당동","850","2005","신당푸르지오","114.48","3"
"21","2021","8","12","   123,000","11140"," 신당동","844","2002","남산타운","59.94","18"
"22","2021","8","12","   173,000","11140"," 신당동","852","2011","청구e편한세상","118.31","3"
"23","2021","8","14","   107,000","11140"," 신당동","843","1999","삼성","84.96","2"
"24","2021","8","14","   149,500","11140"," 신당동","852","2011","청구e편한세상","84.95","7"
"25","2021","8","14","    18,500","11140"," 신당동","432-904","2001","(432-904)","59.16","5"
"26","2021","8","16","   125,000","11140"," 신당동","844","2002","남산타운","59.94","10"
"27","2021","8","16","   142,000","11140"," 신당동","844","2002","남산타운","84.88","4"
"28","2021","8","17","    15,000","11140"," 신당동","160-5","2014","신당아르브","18.08","4"
"29","2021","8","17","    70,500","11140"," 신당동","432-2837","2003","프라임2","70.68","5"
"30","2021","8","17","   155,800","11140"," 신당동","844","2002","남산타운","84.88","17"
"31","2021","8","21","    29,800","11140"," 신당동","372-13","1968","약수(372-13)","50.81","3"
"32","2021","8","23","   144,000","11140"," 신당동","842","1999","약수하이츠","84.88","13"
"33","2021","8","24","    28,600","11140"," 신당동","432-1957","2001","신신(2차)","59.98","4"
"34","2021","8","24","    77,700","11140"," 신당동","290-52","2002","대성드림","82.23","3"
"35","2021","8","24","   149,000","11140"," 신당동","844","2002","남산타운","84.88","18"
"36","2021","8","28","    69,000","11140"," 신당동","432-1653","2002","노블레스2","84.78","1"
"37","2021","8","30","    75,000","11140"," 신당동","846","2000","신당동파라다이스","59.9","9"
"38","2021","8","31","   140,000","11140"," 신당동","852","2011","청구e편한세상","84.95","11"
"39","2021","8","14","    14,000","11140"," 흥인동","119","2014","동대문와이즈캐슬","15.55","13"
"40","2021","8","1","   120,500","11140"," 황학동","2545","2008","롯데캐슬","84.97","23"
"41","2021","8","2","   118,000","11140"," 황학동","2523","2010","황학아크로타워","84.965","13"
"42","2021","8","2","    95,800","11140"," 황학동","2545","2008","롯데캐슬","59.91","30"
"43","2021","8","11","   149,000","11140"," 황학동","2545","2008","롯데캐슬","114.9","14"
"44","2021","8","11","    95,000","11140"," 황학동","2545","2008","롯데캐슬","59.94","23"
"45","2021","8","14","    12,000","11140"," 황학동","787","2013","한양I-Class","16.37","16"
"46","2021","8","17","   128,000","11140"," 황학동","2545","2008","롯데캐슬","84.92","20"
"47","2021","8","20","    97,000","11140"," 황학동","882","2010","황학동코아루","145.89","15"
"48","2021","8","21","    92,800","11140"," 황학동","2545","2008","롯데캐슬","59.94","12"
"49","2021","8","28","    91,200","11140"," 황학동","2545","2008","롯데캐슬","59.94","19"
"50","2021","8","8","    62,500","11140"," 정동","18-1","1965","정동","45.94","1"
"51","2021","8","10","    32,826","11140"," 정동","37","2020","삼정아트테라스정동","13.8874","7"
"52","2021","8","2","    88,000","11140"," 순화동","215","2006","바비엥3","82.91","15"
"53","2021","8","28","   158,500","11140"," 순화동","217","2016","덕수궁롯데캐슬","82.3212","6"
"54","2021","8","13","   125,000","11140"," 중림동","200","2001","삼성사이버빌리지","59.7","16"
"55","2021","8","19","    22,500","11140"," 중림동","149","1975","성요셉","41.32","3"
