"","year","month","day","price","code","dong_nm","jibun","con_year","apt_nm","area","floor"
"1","2021","10","1","    53,000","11260"," 면목동","193-1","1987","면목한신","45.44","5"
"2","2021","10","2","    73,500","11260"," 면목동","1522","2000","두산4","59.97","3"
"3","2021","10","3","     9,100","11260"," 면목동","538","2013","신영","14.43","5"
"4","2021","10","5","    85,000","11260"," 면목동","1525","2006","용마산금호어울림","75.72","4"
"5","2021","10","7","    43,000","11260"," 면목동","193-1","1988","면목한신","35.3","1"
"6","2021","10","8","    83,300","11260"," 면목동","494","1992","용마금호타운","84.9","7"
"7","2021","10","9","    68,000","11260"," 면목동","1516","1997","면목삼익아파트","59.5","15"
"8","2021","10","9","    86,000","11260"," 면목동","715","2002","늘푸른동아","84.97","13"
"9","2021","10","11","    72,400","11260"," 면목동","193-1","1988","면목한신","58.46","5"
"10","2021","10","12","    41,000","11260"," 면목동","1077-1","1990","용마한신","35.44","3"
"11","2021","10","18","    84,500","11260"," 면목동","1529","2006","경남아너스빌","59.981","13"
"12","2021","10","21","    69,500","11260"," 면목동","715","2002","늘푸른동아","59.65","5"
"13","2021","10","21","   129,500","11260"," 면목동","1543","2019","한양수자인사가정파크","84.9862","8"
"14","2021","10","21","   129,500","11260"," 면목동","1543","2019","한양수자인사가정파크","84.9862","8"
"15","2021","10","27","    30,000","11260"," 면목동","126-1","2018","킴스아파트","38.91","12"
"16","2021","10","30","   104,800","11260"," 면목동","1548","2020","쌍용더플래티넘용마산","59.9676","12"
"17","2021","10","30","    31,500","11260"," 면목동","193-1","1988","면목한신","27","12"
"18","2021","10","1","    31,400","11260"," 상봉동","101-19","2019","상봉베스트원","29.39","7"
"19","2021","10","4","    33,000","11260"," 상봉동","136-102","2004","e-푸른나동","65.19","7"
"20","2021","10","5","   135,000","11260"," 상봉동","500","2013","프레미어스엠코","111.56","17"
"21","2021","10","10","    28,000","11260"," 상봉동","104-10","2019","리더스","29.34","10"
"22","2021","10","23","    99,000","11260"," 상봉동","497","2003","태영데시앙1","84.9353","25"
"23","2021","10","28","    84,500","11260"," 상봉동","81-5","2003","한일써너스빌","66.254","3"
"24","2021","10","9","    69,000","11260"," 중화동","438","1995","삼익아파트.상가동","84.9","12"
"25","2021","10","9","    56,000","11260"," 중화동","438","1995","삼익아파트.상가동","59.82","6"
"26","2021","10","9","    70,000","11260"," 중화동","450","1998","한신아파트(103~109)","50.37","18"
"27","2021","10","14","    47,500","11260"," 중화동","42","1998","중화동건영아파트","59.85","7"
"28","2021","10","19","    71,000","11260"," 중화동","314-1","2005","태능에셈빌","84.843","8"
"29","2021","10","21","    83,200","11260"," 중화동","450","1998","한신아파트(103~109)","59.76","26"
"30","2021","10","1","    66,800","11260"," 묵동","378","1999","한국","59.64","14"
"31","2021","10","2","    97,000","11260"," 묵동","387","2004","브라운스톤태릉","83.5358","13"
"32","2021","10","6","    98,000","11260"," 묵동","387","2004","브라운스톤태릉","83.5358","8"
"33","2021","10","11","    52,500","11260"," 묵동","13","1996","신내","39.84","10"
"34","2021","10","11","    81,000","11260"," 묵동","384","2000","신안3","84.99","10"
"35","2021","10","12","    80,000","11260"," 묵동","388","2004","동구햇살","84.97","8"
"36","2021","10","13","   126,500","11260"," 묵동","20","1995","신내대림아파트","126.28","5"
"37","2021","10","13","   105,000","11260"," 묵동","386","2003","금호어울림","97.65","5"
"38","2021","10","15","    79,800","11260"," 묵동","380","1999","신도2","84.9","2"
"39","2021","10","17","    48,000","11260"," 묵동","169-10","2004","신도브래뉴","51.86","12"
"40","2021","10","18","   117,000","11260"," 묵동","20","1995","신내대림아파트","102.7","12"
"41","2021","10","21","    52,000","11260"," 묵동","169-10","2004","신도브래뉴","51.86","9"
"42","2021","10","23","    55,500","11260"," 묵동","169-10","2004","신도브래뉴","51.86","14"
"43","2021","10","30","    12,000","11260"," 묵동","393","2013","묵동포레시타","18.59","4"
"44","2021","10","1","    53,000","11260"," 망우동","576","2002","가야써니빌","59.96","4"
"45","2021","10","8","    82,300","11260"," 망우동","583","2012","중랑숲리가","84.956","9"
"46","2021","10","12","    27,500","11260"," 망우동","508-17","2002","현대","51.69","5"
"47","2021","10","16","    45,000","11260"," 망우동","573","1999","신원","59.62","6"
"48","2021","10","19","    26,000","11260"," 망우동","572","1995","용마프라자","59.28","5"
"49","2021","10","21","    68,400","11260"," 망우동","583","2012","중랑숲리가","59.89","11"
"50","2021","10","25","    59,500","11260"," 망우동","579","2005","한울네세창","84.4","9"
"51","2021","10","28","    39,200","11260"," 망우동","236-7","1988","대보","44.01","4"
"52","2021","10","1","    89,900","11260"," 신내동","817","2013","신내 데시앙포레","84.65","19"
"53","2021","10","1","    65,000","11260"," 신내동","397","1993","동성1","59.4","17"
"54","2021","10","4","    74,500","11260"," 신내동","479","1996","중앙하이츠","84.97","3"
"55","2021","10","5","    90,500","11260"," 신내동","656","1995","화성.두산아파트","84.99","4"
"56","2021","10","6","    65,000","11260"," 신내동","657","1996","신내9진흥","49.93","11"
"57","2021","10","7","    81,000","11260"," 신내동","397","1993","동성1","84.98","3"
"58","2021","10","7","    46,000","11260"," 신내동","657","1996","신내9진흥","33.18","3"
"59","2021","10","7","    55,000","11260"," 신내동","787","1997","석탑","59.82","12"
"60","2021","10","8","    67,800","11260"," 신내동","650","1996","신내6대주","49.77","11"
"61","2021","10","9","    80,000","11260"," 신내동","797","1999","동성7","84.78","3"
"62","2021","10","9","    90,000","11260"," 신내동","817","2013","신내 데시앙포레","84.65","13"
"63","2021","10","12","    49,000","11260"," 신내동","787","1997","석탑","59.82","1"
"64","2021","10","13","    90,000","11260"," 신내동","817","2013","신내 데시앙포레","84.65","22"
"65","2021","10","13","    44,000","11260"," 신내동","657","1996","신내9진흥","33.18","7"
"66","2021","10","14","    65,000","11260"," 신내동","479","1996","중앙하이츠","84.97","14"
"67","2021","10","14","    57,700","11260"," 신내동","796","1999","다우훼밀리","59.96","9"
"68","2021","10","16","    90,000","11260"," 신내동","656","1995","화성.두산아파트","84.99","12"
"69","2021","10","16","    77,000","11260"," 신내동","656","1995","화성.두산아파트","66.96","5"
"70","2021","10","16","    84,000","11260"," 신내동","785","1996","건영2차","84.96","2"
"71","2021","10","18","    76,000","11260"," 신내동","802","2005","우남푸르미아","81.75","12"
"72","2021","10","22","   104,000","11260"," 신내동","817","2013","신내 데시앙포레","114.8","7"
"73","2021","10","23","    71,000","11260"," 신내동","479","1996","중앙하이츠","84.97","8"
"74","2021","10","25","    89,800","11260"," 신내동","618","1997","동성3","129.37","23"
"75","2021","10","25","    74,500","11260"," 신내동","479","1996","중앙하이츠","84.97","13"
"76","2021","10","25","    92,000","11260"," 신내동","618","1997","동성3","134.88","6"
"77","2021","10","26","    65,000","11260"," 신내동","618","1997","동성3","59.4","9"
"78","2021","10","29","    60,000","11260"," 신내동","657","1996","신내9진흥","49.93","2"
"79","2021","10","30","    72,300","11260"," 신내동","803","2005","대성유니트","76.94","6"
