day,weight
1,48
2,60
3,74
4,91
5,109
6,129
7,152
8,177
9,205
10,234
11,267
12,302
13,339
14,379
15,422
16,468
17,515
18,565
19,618
20,672
21,728
22,787
23,848
24,911
25,975
26,1041
27,1108
28,1177
29,1247
30,1318
31,1389
32,1462
33,1536
34,1610
35,1684
36,1759
37,1834
38,1909
39,1985
40,2060
41,2135
42,2210
43,2284
44,2358
45,2433
46,2505
47,2578
48,2649
49,2720
50,2790
51,2859
52,2927
53,2994
54,3060
55,3126
56,3190
57,3253
58,3315
59,3376
60,3436
61,3498
62,3552
63,3608
64,3663
65,3718
66,3770
67,3822
68,3873
69,3922
70,3970
