"","no2","pm25","o3","so2","pm10","dataDt","odr","co"
"list.1","0.016","24","0.020","0.003","36","202001",1,"0.6"
"list.2","0.015","23","0.026","0.002","35","202002",1,"0.6"
"list.3","0.012","19","0.032","0.003","38","202003",1,"0.5"
"list.4","0.009","16","0.039","0.003","40","202004",1,"0.4"
"list.5","0.008","13","0.035","0.003","27","202005",1,"0.4"
"list.6","0.007","16","0.043","0.004","33","202006",1,"0.4"
"list.7","0.006","8","0.026","0.003","16","202007",1,"0.4"
"list.8","0.007","11","0.022","0.003","16","202008",1,"0.3"
"list.9","0.006","8","0.023","0.003","12","202009",1,"0.3"
"list.10","0.009","15","0.021","0.004","26","202010",1,"0.4"
"list.11","0.014","20","0.016","0.004","33","202011",1,"0.5"
"list.12","0.017","26","0.015","0.005","38","202012",1,"0.5"
"list.13","0.017","8","0.043","0.005","40","최  대  ",2,"0.6"
"list.14","0.006","11","0.015","0.002","12","최  소  ",3,"0.3"
"list.15","0.010","17","0.026","0.003","30","평 균  ",4,"0.4"
