"","no2","pm25","o3","so2","pm10","dataDt","odr","co"
"list.1","0.0080","25","0.0390","0.0010","44","20200501",1,"0.20"
"list.2","0.0100","29","0.0290","0.0010","51","20200502",1,"0.30"
"list.3","0.0080","20","0.0170","0.0010","32","20200503",1,"0.40"
"list.4","0.0120","16","0.0290","0.0010","32","20200504",1,"0.30"
"list.5","0.0110","17","0.0200","0.0010","31","20200505",1,"0.20"
"list.6","0.0100","15","0.0260","0.0010","28","20200506",1,"0.20"
"list.7","0.0090","11","0.0310","0.0010","22","20200507",1,"0.30"
"list.8","0.0110","14","0.0340","0.0010","27","20200508",1,"0.40"
"list.9","0.0060","6","0.0320","0.0010","10","20200509",1,"-"
"list.10","0.0070","13","0.0410","0.0010","19","20200510",1,"-"
"list.11","0.0090","26","0.0440","0.0010","96","20200511",1,"-"
"list.12","0.0080","17","0.0330","0.0020","50","20200512",1,"0.30"
"list.13","0.0090","11","0.0290","0.0020","34","20200513",1,"0.20"
"list.14","0.0120","13","0.0250","0.0020","37","20200514",1,"-"
"list.15","0.0090","11","0.0250","0.0020","22","20200515",1,"0.30"
"list.16","0.0070","8","0.0280","0.0010","19","20200516",1,"0.50"
"list.17","0.0090","23","0.0330","0.0010","40","20200517",1,"0.50"
"list.18","0.0070","21","0.0350","0.0010","35","20200518",1,"0.30"
"list.19","0.0040","6","0.0290","0.0010","13","20200519",1,"0.40"
"list.20","0.0040","4","0.0160","0.0010","10","20200520",1,"0.30"
"list.21","0.0060","9","0.0240","0.0010","17","20200521",1,"0.40"
"list.22","0.0090","15","0.0220","0.0010","27","20200522",1,"-"
"list.23","0.0100","24","0.0360","0.0020","38","20200523",1,"-"
"list.24","0.0080","18","0.0360","0.0010","25","20200524",1,"-"
"list.25","0.0120","17","0.0260","0.0010","28","20200525",1,"-"
"list.26","0.0130","18","0.0370","0.0010","31","20200526",1,"0.30"
"list.27","0.0070","11","0.0380","0.0010","22","20200527",1,"0.30"
"list.28","0.0100","16","0.0390","0.0010","26","20200528",1,"0.30"
"list.29","0.0090","18","0.0330","0.0010","28","20200529",1,"0.20"
"list.30","0.0100","18","0.0340","0.0010","27","20200530",1,"0.20"
"list.31","0.0090","29","0.0510","0.0020","38","20200531",1,"0.30"
"list.32","0.0080","10","0.0440","0.0010","19","20200601",1,"0.30"
"list.33","0.0120","12","0.0190","0.0010","22","20200602",1,"0.30"
"list.34","0.0080","20","0.0500","0.0010","43","20200603",1,"0.40"
"list.35","0.0090","32","0.0640","0.0010","77","20200604",1,"0.50"
"list.36","0.0110","23","0.0500","0.0010","47","20200605",1,"0.60"
"list.37","0.0120","24","0.0360","0.0010","42","20200606",1,"0.60"
"list.38","0.0090","28","0.0480","0.0010","56","20200607",1,"0.60"
"list.39","0.0110","31","0.0510","0.0020","51","20200608",1,"0.60"
"list.40","0.0100","28","0.0490","0.0010","50","20200609",1,"0.40"
"list.41","0.0100","28","0.0530","0.0010","50","20200610",1,"0.50"
"list.42","0.0070","16","0.0350","0.0010","30","20200611",1,"0.40"
"list.43","0.0130","19","0.0280","0.0010","46","20200612",1,"0.50"
"list.44","0.0110","20","0.0410","0.0010","43","20200613",1,"0.50"
"list.45","0.0070","18","0.0520","0.0020","34","20200614",1,"0.50"
"list.46","0.0090","13","0.0400","0.0020","25","20200615",1,"0.40"
"list.47","0.0090","22","0.0520","0.0010","35","20200616",1,"0.40"
"list.48","0.0110","32","0.0540","0.0020","47","20200617",1,"0.50"
"list.49","0.0100","24","0.0420","0.0020","38","20200618",1,"0.40"
"list.50","0.0070","11","0.0320","0.0010","17","20200619",1,"0.30"
"list.51","0.0100","20","0.0490","0.0010","33","20200620",1,"0.50"
"list.52","0.0100","23","0.0430","0.0010","34","20200621",1,"0.50"
"list.53","0.0100","21","0.0450","0.0010","33","20200622",1,"0.40"
"list.54","0.0140","27","0.0610","0.0020","42","20200623",1,"0.50"
"list.55","0.0090","19","0.0350","0.0010","28","20200624",1,"0.60"
"list.56","0.0060","5","0.0240","0.0010","12","20200625",1,"0.50"
"list.57","0.0070","13","0.0470","0.0010","20","20200626",1,"0.30"
"list.58","0.0110","19","0.0450","0.0020","34","20200627",1,"0.40"
"list.59","0.0080","20","0.0330","0.0010","34","20200628",1,"0.40"
"list.60","0.0080","20","0.0230","0.0010","34","20200629",1,"0.50"
"list.61","0.0030","4","0.0400","0.0010","8","20200630",1,"0.40"
"list.62","0.0060","8","0.0190","0.0010","19","20200701",1,"0.30"
"list.63","0.0060","-","0.0240","0.0010","27","20200702",1,"0.30"
"list.64","0.0070","11","0.0260","0.0010","23","20200703",1,"0.30"
"list.65","0.0080","11","0.0320","0.0010","19","20200704",1,"0.40"
"list.66","0.0080","19","0.0370","0.0020","27","20200705",1,"0.60"
"list.67","0.0080","19","0.0340","0.0020","30","20200706",1,"0.30"
"list.68","0.0090","15","0.0370","0.0020","23","20200707",1,"0.50"
"list.69","0.0090","18","0.0420","0.0020","30","20200708",1,"0.50"
"list.70","0.0090","23","0.0340","0.0020","35","20200709",1,"0.50"
"list.71","0.0080","10","0.0200","0.0010","17","20200710",1,"0.40"
"list.72","0.0050","6","0.0250","0.0010","11","20200711",1,"0.50"
"list.73","0.0060","10","0.0180","0.0010","17","20200712",1,"0.30"
"list.74","0.0020","4","0.0300","0.0010","8","20200713",1,"0.40"
"list.75","0.0020","3","0.0250","0.0010","7","20200714",1,"0.20"
"list.76","0.0040","5","0.0150","0.0020","15","20200715",1,"0.20"
"list.77","0.0060","13","0.0260","0.0020","27","20200716",1,"0.30"
"list.78","0.0070","15","0.0300","0.0020","29","20200717",1,"0.40"
"list.79","0.0060","14","0.0330","0.0020","27","20200718",1,"0.30"
"list.80","0.0050","10","0.0110","0.0020","25","20200719",1,"0.30"
"list.81","0.0050","9","0.0270","0.0020","18","20200720",1,"0.30"
"list.82","0.0060","14","0.0300","0.0020","26","20200721",1,"0.40"
"list.83","0.0070","10","0.0140","0.0020","23","20200722",1,"0.40"
"list.84","0.0040","6","0.0230","0.0020","14","20200723",1,"0.30"
"list.85","0.0010","2","0.0340","0.0020","4","20200724",1,"0.20"
"list.86","0.0030","3","0.0190","0.0020","8","20200725",1,"0.10"
"list.87","0.0030","4","0.0210","0.0020","9","20200726",1,"0.10"
"list.88","0.0030","4","0.0140","0.0020","13","20200727",1,"0.30"
"list.89","0.0040","6","0.0150","0.0020","18","20200728",1,"0.30"
"list.90","0.0040","4","0.0130","0.0020","12","20200729",1,"0.20"
"list.91","0.0060","9","0.0260","0.0020","21","20200730",1,"0.40"
"list.92","0.0070","14","0.0240","0.0020","29","20200731",1,"0.40"
"list.93","0.0060","6","0.0100","0.0020","15","20200801",1,"0.30"
"list.94","0.0050","5","0.0150","0.0020","11","20200802",1,"0.30"
"list.95","0.0060","7","0.0230","0.0020","12","20200803",1,"0.30"
"list.96","0.0030","14","0.0130","0.0020","24","20200804",1,"0.30"
"list.97","0.0040","-","0.0060","0.0020","28","20200805",1,"0.30"
"list.98","0.0050","6","0.0190","0.0020","13","20200806",1,"0.30"
"list.99","0.0060","12","0.0130","0.0020","28","20200807",1,"0.40"
"list.100","0.0040","6","0.0160","0.0020","18","20200808",1,"0.30"
"list.101","0.0030","3","0.0130","0.0020","8","20200809",1,"0.20"
"list.102","0.0040","4","0.0090","0.0020","12","20200810",1,"0.20"
"list.103","0.0050","6","0.0290","0.0020","12","20200811",1,"0.30"
"list.104","0.0050","11","0.0190","0.0020","24","20200812",1,"0.40"
"list.105","0.0060","10","0.0220","0.0020","27","20200813",1,"0.40"
"list.106","0.0050","14","0.0400","0.0020","27","20200814",1,"0.40"
"list.107","0.0070","14","0.0350","0.0020","21","20200815",1,"0.50"
"list.108","0.0050","12","0.0170","0.0020","26","20200816",1,"0.40"
"list.109","0.0070","17","0.0240","0.0020","30","20200817",1,"0.30"
"list.110","0.0090","23","0.0320","0.0020","33","20200818",1,"0.40"
"list.111","0.0100","26","0.0240","0.0020","42","20200819",1,"0.40"
"list.112","0.0070","23","0.0190","0.0020","36","20200820",1,"0.30"
"list.113","0.0060","17","0.0130","0.0020","26","20200821",1,"0.30"
"list.114","0.0050","6","0.0160","0.0020","14","20200822",1,"0.40"
"list.115","0.0050","9","0.0300","0.0020","18","20200823",1,"0.20"
"list.116","0.0080","15","0.0230","0.0020","28","20200824",1,"0.40"
"list.117","0.0070","20","0.0190","0.0020","35","20200825",1,"0.30"
"list.118","0.0040","13","0.0200","0.0020","20","20200826",1,"0.30"
"list.119","0.0040","11","0.0300","0.0020","19","20200827",1,"0.30"
"list.120","0.0060","11","0.0270","0.0020","21","20200828",1,"0.40"
"list.121","0.0060","7","0.0170","0.0020","17","20200829",1,"0.40"
"list.122","0.0040","4","0.0170","0.0020","11","20200830",1,"0.30"
"list.123","0.0050","4","0.0150","0.0020","15","20200831",1,"0.30"
"list.124","0.0040","6","0.0160","0.0020","18","20200901",1,"0.30"
"list.125","0.0040","4","0.0080","0.0020","14","20200902",1,"0.30"
"list.126","0.0030","7","0.0400","0.0020","15","20200903",1,"0.30"
"list.127","0.0070","14","0.0440","0.0020","28","20200904",1,"0.40"
"list.128","0.0070","15","0.0170","0.0020","27","20200905",1,"0.40"
"list.129","0.0030","12","-","0.0020","19","20200906",1,"0.40"
"list.130","0.0030","3","-","0.0020","4","20200907",1,"0.30"
"list.131","0.0050","11","0.0430","0.0020","21","20200908",1,"0.30"
"list.132","0.0050","12","0.0260","0.0020","20","20200909",1,"0.40"
"list.133","0.0060","14","0.0310","0.0020","24","20200910",1,"0.40"
"list.134","0.0040","13","0.0280","0.0020","21","20200911",1,"0.40"
"list.135","0.0050","5","0.0240","0.0020","10","20200912",1,"0.30"
"list.136","0.0040","4","0.0160","0.0020","12","20200913",1,"0.30"
"list.137","0.0070","11","0.0210","0.0020","21","20200914",1,"0.40"
"list.138","0.0070","17","0.0230","0.0020","28","20200915",1,"0.40"
"list.139","0.0070","15","0.0160","0.0020","25","20200916",1,"0.40"
"list.140","0.0110","10","0.0140","0.0020","24","20200917",1,"0.40"
"list.141","0.0100","9","0.0200","0.0020","24","20200918",1,"0.40"
"list.142","0.0080","9","0.0220","0.0020","16","20200919",1,"0.40"
"list.143","0.0070","10","0.0190","0.0020","20","20200920",1,"0.30"
"list.144","0.0070","11","0.0130","0.0020","20","20200921",1,"0.30"
"list.145","0.0070","7","0.0150","0.0020","14","20200922",1,"0.30"
"list.146","0.0050","4","0.0190","0.0020","11","20200923",1,"0.30"
"list.147","0.0050","4","0.0200","0.0020","12","20200924",1,"0.20"
"list.148","0.0060","6","0.0200","0.0020","14","20200925",1,"0.20"
"list.149","0.0070","7","0.0160","0.0020","15","20200926",1,"0.30"
"list.150","0.0060","8","0.0130","0.0020","14","20200927",1,"0.30"
"list.151","0.0080","8","0.0140","0.0020","16","20200928",1,"0.30"
"list.152","0.0080","12","0.0170","0.0020","22","20200929",1,"0.30"
"list.153","0.0060","14","0.0160","0.0020","22","20200930",1,"0.40"
"list.154","0.0050","12","0.0170","0.0020","20","20201001",1,"0.30"
"list.155","0.0080","19","0.0220","0.0020","29","20201002",1,"0.40"
"list.156","0.0090","20","0.0200","0.0020","36","20201003",1,"0.40"
"list.157","0.0060","16","0.0260","0.0020","28","20201004",1,"0.40"
"list.158","0.0080","11","0.0160","0.0020","27","20201005",1,"0.30"
"list.159","0.0080","11","0.0150","0.0020","21","20201006",1,"0.40"
"list.160","0.0080","11","0.0120","0.0020","21","20201007",1,"0.30"
"list.161","0.0070","7","0.0170","0.0020","13","20201008",1,"0.20"
"list.162","0.0060","8","0.0250","0.0020","16","20201009",1,"0.20"
"list.163","0.0090","12","0.0170","0.0020","22","20201010",1,"0.30"
"list.164","0.0080","14","0.0130","0.0020","22","20201011",1,"0.30"
"list.165","0.0110","21","0.0200","0.0020","35","20201012",1,"0.40"
"list.166","0.0100","16","0.0130","0.0020","32","20201013",1,"0.30"
"list.167","0.0100","12","0.0150","0.0020","28","20201014",1,"0.30"
"list.168","0.0120","14","0.0140","0.0020","31","20201015",1,"0.30"
"list.169","0.0120","16","0.0060","0.0020","33","20201016",1,"0.30"
"list.170","0.0130","16","0.0120","0.0020","29","20201017",1,"0.40"
"list.171","0.0120","17","0.0180","0.0020","34","20201018",1,"0.40"
"list.172","0.0140","25","0.0140","0.0020","41","20201019",1,"0.40"
"list.173","0.0130","22","0.0160","0.0020","39","20201020",1,"0.40"
"list.174","0.0120","23","0.0070","0.0020","38","20201021",1,"0.40"
"list.175","0.0100","25","0.0220","0.0020","60","20201022",1,"0.40"
"list.176","0.0100","12","0.0220","0.0030","29","20201023",1,"0.30"
"list.177","0.0120","13","0.0190","0.0030","27","20201024",1,"0.30"
"list.178","0.0160","19","0.0170","0.0030","35","20201025",1,"0.40"
