"","no2","pm25","o3","so2","pm10","dataDt","odr","co"
"list.1","0.040","22","0.006","0.004","39","20200101",1,"0.7"
"list.2","0.043","39","0.006","0.004","66","20200102",1,"0.8"
"list.3","0.042","47","0.011","0.004","78","20200103",1,"1.0"
"list.4","0.044","36","0.012","0.004","61","20200104",1,"1.0"
"list.5","0.043","33","0.010","0.004","57","20200105",1,"0.9"
"list.6","0.044","29","0.005","0.004","48","20200106",1,"0.8"
"list.7","0.032","9","0.009","0.003","16","20200107",1,"0.6"
"list.8","0.018","19","0.023","0.003","29","20200108",1,"0.6"
"list.9","0.024","34","0.023","0.004","53","20200109",1,"0.6"
"list.10","0.037","47","0.013","0.004","69","20200110",1,"0.8"
"list.11","0.036","40","0.016","0.004","61","20200111",1,"0.9"
"list.12","0.019","27","0.029","0.004","45","20200112",1,"0.6"
"list.13","0.028","12","0.018","0.003","30","20200113",1,"0.5"
"list.14","0.037","18","0.012","0.004","41","20200114",1,"0.7"
"list.15","0.036","25","0.013","0.004","51","20200115",1,"0.8"
"list.16","0.036","25","0.014","0.004","52","20200116",1,"0.7"
"list.17","0.043","34","0.010","0.004","67","20200117",1,"0.9"
"list.18","0.039","40","0.011","0.004","75","20200118",1,"0.9"
"list.19","0.039","47","0.014","0.004","71","20200119",1,"0.9"
"list.20","0.031","29","0.013","0.003","59","20200120",1,"0.7"
"list.21","0.044","21","-","0.004","50","20200121",1,"0.7"
"list.22","0.053","30","-","0.004","64","20200122",1,"0.9"
"list.23","0.037","37","-","0.004","68","20200123",1,"0.8"
"list.24","0.029","44","-","0.004","72","20200124",1,"0.8"
"list.25","0.032","32","-","0.003","52","20200125",1,"0.7"
"list.26","0.023","16","-","0.003","34","20200126",1,"0.6"
"list.27","0.016","1","-","0.003","12","20200127",1,"0.3"
"list.28","0.023","2","-","0.003","16","20200128",1,"0.4"
"list.29","0.033","5","-","0.003","22","20200129",1,"0.5"
"list.30","0.034","10","0.008","0.003","27","20200130",1,"0.6"
"list.31","0.036","21","0.011","0.003","38","20200131",1,"0.6"
"list.32","0.036","48","0.016","0.004","71","20200201",1,"0.9"
"list.33","0.026","46","0.021","0.004","67","20200202",1,"0.8"
"list.34","0.019","9","0.018","0.003","24","20200203",1,"0.4"
"list.35","0.031","10","0.011","0.004","28","20200204",1,"0.5"
"list.36","0.017","5","0.014","0.003","25","20200205",1,"0.4"
"list.37","0.028","14","0.009","0.003","39","20200206",1,"0.5"
"list.38","0.030","20","0.012","0.003","37","20200207",1,"0.6"
"list.39","0.020","24","0.021","0.004","41","20200208",1,"0.5"
