"","no2","pm25","o3","so2","pm10","dataDt","odr","co"
"list.1","0.0180","16","0.0080","0.0030","28","20200101",1,"0.40"
"list.2","0.0200","35","0.0060","0.0040","-","20200102",1,"0.60"
"list.3","0.0180","43","0.0150","0.0040","-","20200103",1,"0.60"
"list.4","0.0150","30","0.0220","0.0040","42","20200104",1,"0.60"
"list.5","0.0140","29","0.0210","0.0040","33","20200105",1,"0.50"
"list.6","0.0180","32","0.0080","0.0040","-","20200106",1,"0.50"
"list.7","0.0120","8","0.0140","0.0040","13","20200107",1,"0.30"
"list.8","0.0080","16","0.0250","0.0030","-","20200108",1,"0.40"
"list.9","-","-","-","-","-","20200109",1,"-"
"list.10","0.0150","48","0.0160","0.0040","72","20200110",1,"-"
"list.11","0.0120","36","0.0260","0.0040","58","20200111",1,"0.50"
"list.12","0.0070","24","0.0350","0.0040","46","20200112",1,"0.50"
"list.13","0.0100","12","0.0260","0.0030","32","20200113",1,"0.40"
"list.14","0.0140","19","0.0180","0.0040","41","20200114",1,"0.40"
"list.15","0.0140","26","0.0180","0.0040","52","20200115",1,"0.50"
"list.16","0.0160","27","0.0180","0.0040","54","20200116",1,"0.50"
"list.17","0.0170","33","0.0180","0.0040","66","20200117",1,"0.60"
"list.18","0.0180","38","0.0180","0.0050","74","20200118",1,"0.60"
"list.19","0.0160","41","0.0220","0.0040","63","20200119",1,"0.60"
"list.20","0.0110","27","0.0290","0.0040","58","20200120",1,"0.50"
"list.21","0.0170","19","0.0180","0.0050","48","20200121",1,"0.40"
"list.22","0.0230","30","0.0080","0.0050","63","20200122",1,"0.50"
"list.23","0.0130","34","0.0310","0.0050","69","20200123",1,"0.50"
"list.24","0.0100","43","0.0280","0.0040","75","20200124",1,"0.60"
"list.25","0.0090","28","0.0240","0.0040","50","20200125",1,"0.50"
"list.26","0.0070","15","0.0300","0.0030","34","20200126",1,"0.40"
"list.27","0.0040","1","0.0370","0.0030","15","20200127",1,"0.20"
"list.28","0.0090","3","0.0260","0.0030","-","20200128",1,"0.20"
"list.29","0.0110","7","0.0220","0.0030","-","20200129",1,"0.30"
"list.30","0.0110","10","0.0230","0.0040","34","20200130",1,"0.30"
"list.31","0.0150","19","0.0180","0.0040","40","20200131",1,"0.40"
"list.32","0.0160","45","0.0220","0.0040","69","20200201",1,"0.60"
"list.33","0.0110","43","0.0320","0.0040","69","20200202",1,"0.60"
"list.34","0.0070","7","0.0340","0.0040","29","20200203",1,"0.30"
"list.35","0.0130","10","0.0220","0.0040","31","20200204",1,"0.40"
"list.36","0.0060","4","0.0310","0.0030","28","20200205",1,"0.30"
"list.37","0.0130","18","0.0180","0.0040","49","20200206",1,"0.40"
"list.38","0.0130","19","0.0200","0.0040","44","20200207",1,"0.40"
"list.39","0.0070","20","0.0340","0.0040","44","20200208",1,"0.40"
"list.40","0.0100","18","0.0270","0.0040","40","20200209",1,"0.40"
"list.41","0.0170","30","0.0200","0.0040","65","20200210",1,"0.40"
"list.42","0.0220","34","0.0160","0.0050","71","20200211",1,"0.50"
"list.43","0.0210","41","0.0100","0.0040","65","20200212",1,"0.50"
"list.44","0.0150","37","0.0190","0.0040","59","20200213",1,"0.50"
"list.45","0.0150","42","0.0250","0.0040","69","20200214",1,"0.50"
"list.46","0.0150","42","0.0240","0.0040","62","20200215",1,"0.50"
"list.47","0.0060","11","0.0280","0.0030","28","20200216",1,"0.40"
"list.48","0.0050","8","0.0340","0.0030","29","20200217",1,"0.30"
"list.49","0.0090","6","0.0300","0.0030","25","20200218",1,"0.30"
