"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","1207","부산광역시 해운대구 해운대로 898 (좌동)","1668","2015","해운대자원에너지센터","1079","130201","5006"," ","25830"
"measureResultList.2"," ","5311","부산광역시 사하구 을숙도대로 760 (구평동)"," ","2015","와이케이스틸"," ","130205"," "," "," "
"measureResultList.3"," ","5058","부산광역시 사하구 하신번영로 69 (신평동)"," ","2015","대한제강"," ","130206"," "," "," "
"measureResultList.4"," ","12065","부산광역시 사하구 신산로13번길 33 (신평동)","293090","2015","부산패션칼라산업"," ","130207"," "," ","233668"
"measureResultList.5"," ","4278","부산광역시 사하구 강변대로 20 (신평동)","3439","2015","에너지네트웍","1305","130208","7801"," ","43763"
"measureResultList.6"," "," ","부산광역시 사하구 감천항로 7"," ","2015","한국남부발전㈜부산빛드림본부"," ","130209"," "," ","626964"
"measureResultList.7"," ","2255","부산광역시 강서구 명지오션시티13로 12-11 (명지동)","4419","2015","부산환경공단 명지자원에너지센터","805","130211","3491"," ","48287"
"measureResultList.8"," ","39","부산광역시 사하구 감천항로291번길 80 (구평동)","368","2015","에이치엘비에너지(주)","60","130212","479"," ","865"
"measureResultList.9"," ","154","부산광역시 사하구 을숙도대로 525 (신평동)","3273","2015","한국주철관공업"," ","130214"," "," ","3705"
"measureResultList.10"," "," ","부산광역시 강서구 녹산산업중로 333 (송정동)"," ","2015","삼성전기㈜부산공장","576","130215"," "," "," "
"measureResultList.11"," ","64","부산광역시 기장군 정관읍 양수길 55-52"," ","2015","NC메디","112","130216","356"," ","1941"
"measureResultList.12"," "," ","부산광역시 남구 신선로 102 (감만동)"," ","2015","동국제강㈜부산공장","735","130217"," "," "," "
"measureResultList.13"," "," ","부산광역시 사하구 다산로 240 (장림동)"," ","2015","태양금속","69","130218"," "," "," "
"measureResultList.14"," "," ","부산광역시 사하구 다산로226번길 19 (장림동)"," ","2015","디아이엠","0","130219"," "," "," "
"measureResultList.15"," ","5542","부산광역시 강서구 녹산산업북로 333 (송정동)"," ","2015","대한제강㈜ 녹산공장"," ","130220"," "," "," "
"measureResultList.16"," ","1744","부산광역시 강서구 생곡산단로52번길 32 (생곡동)"," ","2015","부산광역시 생활폐기물 연료화 및 발전시설","9438","130222","8284"," ","67832"
"year","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015"
"brtcCode","2","2","2","2","2","2","2","2","2","2","2"
