"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","13496","경상북도 구미시 1공단로6길 54","229855","2015","㈜지에스이앤알 구미발전처"," ","130501"," "," ","866305"
" ","222580","경상북도 포항시 남구 동해안로 6261 (괴동동)","2575875","2015","㈜포스코","1434","130502","1079"," ","10446822"
" ","6415","경상북도 포항시 남구 대송면 철강산단로 195"," ","2015","동국제강㈜포항공장"," ","130511"," "," "," "
" ","17222","경상북도 포항시 남구 동해안로 6363 (송내동)"," ","2015","현대제철㈜포항1공장"," ","130514"," "," "," "
" ","2175","경상북도 포항시 남구 철강로314번길 36 (장흥동)"," ","2015","현대제철㈜포항2공장"," ","130515"," "," "," "
" ","9277","경상북도 포항시 남구 괴동로 153 (괴동동)"," ","2015","SIMPAC 포항1공장"," ","130518"," "," "," "
" ","10299","경상북도 포항시 남구 괴동로 112 (장흥동)"," ","2015","동일산업㈜ 합금철사업부"," ","130519"," "," "," "
" ","1033","경상북도 포항시 남구 대송면 철강로492번길 49","834","2015","네이처이앤티","196","130520","3272"," ","14734"
" ","2689","경상북도 김천시 공단3길 156 (응명동)","30417","2015","한국오웬스코닝"," ","130521"," "," ","60592"
" ","1701","경상북도 칠곡군 약목면 교8길 83","483","2015","진영페이퍼㈜","232","130523","3632"," ","27961"
" ","293","경상북도 칠곡군 석적읍 3공단1로 62-6","792","2015","구미시설공단","11","130525","1845"," ","5455"
" ","189","경상북도 경산시 진량읍 공단8로 198-17"," ","2015","경산시청","298","130526","814"," ","7536"
" ","166","경상북도 상주시 영남제일로 1408-51","267","2015","상주시소각장","182","130527","154"," ","3209"
" ","658","경상북도 구미시 3공단3로 46-79 (시미동)","972","2015","㈜케이비아이국인산업","939","130528","6642"," ","56905"
" "," ","경상북도 포항시 남구 철강산단로 202 (장흥동)"," ","2015","㈜세기"," ","130530"," ","72"," "
"0","632","경상북도 포항시 남구 대송로253번길 63 (괴동동)"," ","2015","㈜한국협화"," ","130531"," ","46"," "
" ","295","경상북도 포항시 남구 대송면 송덕로 143"," ","2015","㈜유니온 포항공장"," ","130532"," "," ","27133"
" ","580","경상북도 구미시 4공단로 44 (구포동)","34","2015","경북환경에너지㈜","947","130533","2335"," ","21245"
" ","4","경상북도 칠곡군 왜관읍 강변대로 888","8","2015","칠곡군소각장","1","130534","71"," ","224"
" ","660","경상북도 영천시 도남공단3길 25 (도남동)","120","2015","㈜에스피환경","1851","130535","585"," ","25637"
" ","1693","경상북도 경주시 안강읍 두류길 178-1","446","2015","㈜에코비트에너지 경주","139","130536","3081"," ","28141"
" ","2627","경상북도 구미시 산동면 첨단기업로 178"," ","2015","에이지씨화인테크노한국㈜"," ","130538"," "," ","263188"
" ","13","경상북도 의성군 단촌면 북부길 466-11","62","2015","동성환경산업","19","130540","488"," ","302"
" ","7304","경상북도 포항시 남구 신항로 110 (청림동)"," ","2015","㈜포스코퓨처엠"," ","130542"," "," ","134701"
" "," ","경상북도 포항시 남구 대송로 111 (장흥동)"," ","2015","동일산업㈜ 봉강사업부","579","130543"," "," "," "
" "," ","경상북도 포항시 남구 괴동로 57 (장흥동)"," ","2015","동국산업","140","130544"," "," "," "
" "," ","경상북도 포항시 남구 대송로 151 (괴동동)"," ","2015","현대종합특수강㈜포항1공장","877","130545"," "," "," "
" ","193","경상북도 김천시 공단1길 8 (대광동)","264","2015","김천시소각장","207","130548","894"," ","5140"
" "," ","경상북도 봉화군 석포면 승부길 16"," ","2015","영풍석포제련소"," ","130549"," "," ","52832"
" ","523","경상북도 고령군 다산면 다산산단로 54-58"," ","2015","아림환경","145","130550","3724"," ","8055"
" ","16616","경상북도 포항시 남구 동해안로 6262"," ","2015","(주)포스코퓨처엠 포항화학사업부"," ","130551"," "," ","438825"
" ","202","경상북도 문경시 배실안길 94 (공평동)"," ","2015","문경시소각장","1773","130553","2307"," ","13754"
" ","45","경상북도 성주군 성주읍 삼산1길 266-2"," ","2015","성주군생활폐기물소각시설","302","130554","751"," ","3085"
" ","548","경상북도 칠곡군 왜관읍 공단로5길 60-1","446","2015","제일에너지","2090","130555","452"," ","33592"
" ","188","경상북도 구미시 산동면 송백로 499"," ","2015","구미시 폐기물소각시설","3883","130556","1150"," ","30465"
" "," ","경상북도 포항시 남구 청림서길 54 (청림동)"," ","2015","OCI㈜포항공장"," ","130557"," "," ","551759"
" ","466","경상북도 경산시 진량읍 대구대로 355-26","275","2015","(주)에코비트에너지 경산","10","130558","640"," ","9298"
" ","987","경상북도 경주시 경감로 466-246 (천군동)","4232","2015","경주시 자원회수시설","3222","130559","1215"," ","21068"
" ","7110","경상북도 김천시 공단4길 118-10 (응명동)","225013","2015","김천에너지서비스"," ","130560"," "," ","251054"
" ","3108","경상북도 포항시 남구 오천읍 광명산단로 61"," ","2015","㈜심팩인더스트리 고순도 FeSi공장"," ","130561"," "," "," "
" ","4732","경상북도 경주시 천북면 천북산단로 265-15","2714","2015","베페사징크코리아㈜"," ","130562"," "," ","6728"
" "," ","경상북도 포항시 남구 동해안로 6262 (동촌동)"," ","2015","포스코에너지포항발전소"," ","130563"," "," ","347669"
" ","51","경상북도 포항시 북구 흥해읍 영일만산단남로75번길 41","1650","2015","이비덴그라파이트㈜"," ","130564"," "," ","278"
" "," ","경상북도 안동시 풍산읍 산업단지1길 38"," ","2015","한국남부발전㈜ 안동빛드림본부"," ","130566"," "," ","146083"
" ","172","경상북도 경산시 용성면 설총로 154-180","1822","2015","경산시 자원회수시설","66","130568","784"," ","7758"
"2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015"
"14","14","14","14","14","14","14","14","14","14","14"
