"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
"83"," ","전라남도 여수시 여수산단로 1384","148014","2015","남해화학㈜"," ","110001"," ","29"," "
" ","101698","전라남도 여수시 여수산단로 918 (적량동)","5900660","2015","지에스칼텍스㈜"," ","110002","754458"," ","2942667"
" "," ","전라남도 여수시 진달래길 310-88 (월내동)"," ","2015","오리온엔지니어드카본즈코리아㈜"," ","110003"," "," ","438554"
" ","48222","전라남도 여수시 여수산단로 1203 (월내동)","2900999","2015","한국동서발전㈜신호남건설추진본부"," ","110004"," "," ","3470410"
" ","6947","전라남도 여수시 여수산단로 727","107581","2015","한국남동발전㈜ 여수발전본부"," ","110005"," "," ","244665"
" ","963","전라남도 여수시 낙포단지길 45 (낙포동)"," ","2015","크나우프석고보드(주)"," ","110006"," "," ","4924"
" ","3685","전라남도 여수시 상암로 830-7 (낙포동)"," ","2015","㈜케이씨씨 여천공장"," ","110009"," "," ","100722"
" ","11659","전라남도 여수시 여수산단3로 2 (평여동)"," ","2015","여천NCC㈜여수1공장"," ","110010"," "," ","417164"
" "," ","전라남도 여수시 여수산단3로 117 (월하동)"," ","2015","한화솔루션㈜ 여수1공장","164","110011"," "," "," "
" "," ","전라남도 여수시 여수산단로 1121 (월내동)"," ","2015","㈜LG화학 VCM공장","55","110013","176"," ","1778"
" ","14457","전라남도 여수시 여수산단2로 55 (화치동)","101908","2015","㈜엘지화학(여수공장-화치)"," ","110014","1132"," ","544314"
" ","2042","전라남도 여수시 여수산단2로 218 (화치동)","20290","2015","금호피앤비화학㈜1공장"," ","110015"," "," ","13681"
" ","2","전라남도 여수시 여수산단로 951 (적량동)"," ","2015","㈜LG화학 SM공장"," ","110016"," "," ","12"
" ","25683","전라남도 여수시 여수산단4로 53 (중흥동)"," ","2015","롯데케미칼 주식회사 여수1공장"," ","110019"," "," ","335827"
" ","9756","전라남도 여수시 여수산단2로 46-20 (월하동)"," ","2015","여천NCC㈜여수2공장"," ","110020"," "," ","285623"
" ","7365","전라남도 여수시 여수산단2로 284 (화치동)","87295","2015","한국바스프㈜ 여수공장","1","110021","7"," ","49315"
" ","216076","전라남도 광양시 폭포사랑길 20-26 (금호동)","10477952","2015","㈜포스코 광양제철소","3485","110022","195"," ","10683164"
" ","6323","전라남도 여수시 여수산단4로 58 (중흥동)"," ","2015","(주)엘지화학 여수공장(용성1단지)"," ","110025","1503"," ","145735"
" "," ","전라남도 광양시 산업로 109 (태인동)"," ","2015","OCI㈜광양공장"," ","110026"," "," ","299581"
" ","17332","전라남도 여수시 여수산단2로 46-51 (월하동)","13456","2015","금호석유화학㈜ 여수제1에너지"," ","110027"," "," ","625634"
" ","1882","전라남도 여수시 여수산단로 1232 (월내동)","633","2015","㈜와이엔텍","427","110028","1756"," ","39506"
" ","1579","전라남도 여수시 진달래길 310-73 (월내동)","2913","2015","케이씨환경서비스㈜-월내","499","110029","2856"," ","24208"
" "," ","전라남도 여수시 상암로 963 (월내동)"," ","2015","티케이지휴켐스(주)여수공장"," ","110032"," "," ","140930"
" "," ","전라남도 광양시 제철로 2148-567 (금호동)"," ","2015","에스케이이엔에스 주식회사"," ","110035"," "," ","988548"
" ","2088","전라남도 광양시 명당2길 42","424","2015","피제이메탈"," ","110040"," "," "," "
" ","8219","전라남도 광양시 제철로 2148-139 (금호동)"," ","2015","㈜에스엔엔씨"," ","110042"," "," "," "
" ","23711","전라남도 여수시 여수산단2로 223-84 (화치동)","314309","2015","금호석유화학㈜ 여수제2에너지"," ","110044"," "," ","377086"
" ","19560","전라남도 광양시 백운1로 48 (태인동)"," ","2015","㈜포스코퓨처엠 광양화학사업부"," ","110045"," "," ","451661"
" ","60460","전라남도 여수시 산단중앙로 145 (화치동)","993027","2015","한화에너지㈜ 여수공장"," ","110046"," "," ","1306186"
" "," ","전라남도 광양시 제철로 1800 (금호동)"," ","2015","포스코에너지㈜"," ","110047"," "," ","1219683"
" ","1069","전라남도 여수시 진달래길 310-157 (월내동)"," ","2015","여수시 생활폐기물 소각시설","121","110048","1523"," ","11534"
" ","1762","전라남도 광양시 제철로 1655-157 (금호동)"," ","2015","포스하이메탈"," ","110049"," "," "," "
" ","27867","전라남도 여수시 여수산단로 727 (중흥동)","160083","2015","데이원에너지(주)"," ","110050"," "," ","305787"
