"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","233286","경상남도 하동군 금성면 경제산업로 509","6985042","2016","한국남부발전㈜ 하동빛드림본부"," ","130401"," "," ","10022834"
" ","1216","경상남도 김해시 부곡로 35"," ","2016","김해시 자원순환시설","2458","130402","893"," ","33775"
" ","613492","경상남도 고성군 하이면 하이로 1","16898155","2016","한국남동발전㈜삼천포발전본부"," ","130403"," "," ","22942770"
" ","1730","경상남도 창원시 성산구 창곡로108번길 20 (신촌동)"," ","2016","성산자원회수시설","4699","130404","3637"," ","43545"
" ","14290","경상남도 창원시 성산구 공단로103번길 12 (신촌동)"," ","2016","한국철강㈜"," ","130405"," "," "," "
" ","2920","경상남도 진주시 남강로1317번길 24 (상대동)","75229","2016","무림파워텍"," ","130406"," "," ","225521"
" ","473","경상남도 진주시 도동로 58 (상평동)"," ","2016","하이트진로산업㈜진주공장"," ","130407"," "," ","40459"
" ","28035","경상남도 창원시 성산구 두산볼보로 22"," ","2016","두산에너빌리티(주)"," ","130408"," "," "," "
" ","14851","경상남도 창원시 성산구 적현로 147 (신촌동)"," ","2016","세아창원특수강"," ","130409"," "," "," "
" ","362","경상남도 양산시 웅상대로 1564 (용당동)","523","2016","한창제지","289","130410","1135"," ","6873"
" ","425","경상남도 창원시 성산구 남면로113번길 27","244","2016","창원에너텍","503","130412","4946"," ","21784"
" ","1454","경상남도 창원시 마산회원구 자유무역6길 103","259","2016","KC환경서비스㈜창원사업부","3439","130413","5371"," ","41118"
" ","5825","경상남도 함안군 군북면 장백로 394"," ","2016","한국제강"," ","130415"," "," "," "
" ","770","경상남도 함안군 칠서면 공단서3길 62","4152","2016","태림페이퍼㈜마산공장","4063","130416","16277"," ","37111"
" ","3202","경상남도 의령군 의령읍 구룡로1길 39","14349","2016","태림페이퍼㈜의령공장","5461","130417","16485"," ","50278"
" ","577","경상남도 양산시 산막공단북5길 29 (산막동)","2617","2016","NC양산㈜","126","130418","3095"," ","16371"
" ","346","경상남도 창원시 진해구 천자로 105-1 (덕산동)","39","2016","진해자원회수시설","62","130419","583"," ","2446"
" ","88","경상남도 창원시 의창구 반계로 40 (팔용동)","7611","2016","동서식품창원공장","331","130420","2329"," ","9378"
" ","103","경상남도 밀양시 무안면 백안1안길 8-6"," ","2016","밀양시소각장","447","130421","397"," ","7956"
" ","396","경상남도 통영시 평인일주로 1074-54 (명정동)"," ","2016","통영시환경자원화센터","812","130422","1454"," ","8499"
" ","188","경상남도 양산시 소주공단로 10 (주남동)","1611","2016","마노플랜","613","130423","4544"," ","6624"
" ","0","경상남도 거제시 장평3로 80","2","2016","삼성중공업㈜거제","0","130424","91"," ","9324"
" ","36","경상남도 함안군 군북면 장백로 228"," ","2016","한국주강(군북)"," ","130425"," "," "," "
" ","260","경상남도 양산시 주남로 50 (주남동)"," ","2016","㈜세창","980","130428","1378"," ","13542"
" ","75","경상남도 김해시 주촌면 서부로1541번안길 79"," ","2016","대방스페샬스틸"," ","130429"," "," "," "
" ","57","경상남도 고성군 삼산면 대독산업로 7"," ","2016","고성군 생활폐기물 소각시설","161","130430","1833"," ","4105"
" ","124","경상남도 진주시 남강로1367번길 36 (상대동)","1299","2016","남강제지㈜","137","130431","7632"," ","10462"
" ","652","경상남도 진주시 남강로 1303 (상평동)","11500","2016","동일팩키지㈜진주공장","220","130432","22620"," ","24431"
" ","38","경상남도 진주시 공단로 237"," ","2016","㈜경서","24","130433","1531"," ","2082"
" "," ","경상남도 양산시 양산대로 1034 (북정동)"," ","2016","금오산업","2","130434"," "," "," "
" "," ","경상남도 김해시 김해대로2553번길 36 (어방동)"," ","2016","은성도금","3","130435"," "," "," "
" "," ","경상남도 김해시 김해대로2596번길 137 (지내동)"," ","2016","금호도금공업","34","130436"," "," "," "
" "," ","경상남도 김해시 김해대로2553번길 42 (어방동)"," ","2016","성광금속","35","130437"," "," "," "
" "," ","경상남도 양산시 산막공단북4길 13 (산막동)"," ","2016","(주)대호특수강","53","130438"," "," "," "
" "," ","경상남도 양산시 어실로 1 (유산동)"," ","2016","고려제강㈜유산공장","200","130439"," "," "," "
" ","703","경상남도 함안군 칠원읍 야촌강변길 109","169","2016","삼정펄프㈜함안공장","7","130440","3674"," ","13969"
" ","136","경상남도 거창군 거창읍 심소정길 139-14"," ","2016","거창군소각장","90","130444","3376"," ","4432"
" "," ","경상남도 거제시 연초면 오비4길 54"," ","2016","삼녹","9","130445"," "," "," "
" ","611","경상남도 양산시 동면 강변로 264","206","2016","양산시자원회수시설","676","130446","1401"," ","12034"
" "," ","경상남도 양산시 상북면 양산대로 1314"," ","2016","고려제강㈜양산공장","30","130447"," "," "," "
" "," ","경상남도 김해시 유하로133번길 25-3 (유하동)"," ","2016","세현TECH","5","130448"," "," "," "
" "," ","경상남도 김해시 유하로 201 (유하동)"," ","2016","SNC","88","130449"," "," "," "
" "," ","경상남도 김해시 주촌면 서부로1637번길 337"," ","2016","코리아갈바","93","130450"," "," "," "
" ","210","경상남도 김해시 화목로 334","41","2016","김해시 하수슬러지 자원화 처리시설","6","130452","642"," ","295"
" ","29","경상남도 창원시 마산합포구 가포로 739 (덕동동)","1397","2016","창원시하수도사업소","514","130453","1457"," ","4790"
" ","68","경상남도 함안군 칠서면 공단동길 98"," ","2016","㈜한국특강"," ","130454"," "," "," "
" ","201","경상남도 창원시 마산합포구 진동면 공원묘원로 91","1296","2016","마산자원회수시설","1489","130455","940"," ","31323"
" ","130","경상남도 함안군 가야읍 함마대로 1258","751","2016","함안군폐기물처리장","150","130456","6665"," ","3979"
" "," ","경상남도 고성군 거류면 거류로 376-48"," ","2016","하이에어코리아","3","130457"," "," "," "
" ","614","경상남도 함안군 법수면 장백로 585"," ","2016","한국주강(법수)"," ","130458"," "," "," "
" ","167","경상남도 창녕군 장마면 창녕장마로 337-134"," ","2016","창녕군소각장","419","130459","780"," ","5510"
