"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","453183","충청남도 보령시 오천면 오천해안로 89-37","11391885","2016","한국중부발전㈜보령발전본부"," ","170030"," "," ","16788438"
" ","35830","충청남도 서산시 대산읍 평신2로 182","1722859","2016","현대오일뱅크㈜"," ","170032","12471"," ","2448566"
" ","3768","충청남도 서산시 대산읍 독곶1로 54","136865","2016","㈜씨텍"," ","170034"," "," ","234651"
" ","208","충청남도 서산시 대산읍 죽엽로 382","184","2016","서해그린환경㈜","25","170035","1049"," ","8894"
" ","6466","충청남도 서산시 대산읍 독곶2로 103","35165","2016","한화토탈에너지스㈜"," ","170036"," "," ","505948"
" ","4925","충청남도 아산시 실옥로 156 (실옥동)"," ","2016","㈜금비"," ","170038"," "," ","97226"
" ","273","충청남도 천안시 서북구 성거읍 천흥8길 19"," ","2016","창광실업㈜","3088","170039","1807"," ","25100"
" ","1169","충청남도 아산시 인주면 현대로 1181-40","472","2016","동화기업㈜","3331","170041","10508"," ","55589"
" ","993","충청남도 천안시 서북구 입장면 성진로 1105"," ","2016","케이씨글라스㈜"," ","170043"," "," ","38611"
" ","2987","충청남도 천안시 서북구 입장면 망향로 1112-84"," ","2016","에스지씨솔루션(주) 천안유리공장"," ","170044"," "," ","159089"
" ","1604","충청남도 천안시 서북구 백석공단1로 97-45 (백석동)"," ","2016","천안시 환경에너지사업소","3662","170045","2625"," ","61804"
" ","1063","충청남도 천안시 동남구 목천읍 학수소사길 142-42","3303","2016","㈜영흥산업환경","349","170047","12725"," ","49848"
" ","436313","충청남도 당진시 석문면 교로길 30","5134161","2016","한국동서발전㈜ 당진발전본부"," ","170048"," "," ","11852972"
" ","52170","충청남도 서천군 서면 서인로235번길 85","1275973","2016","한국중부발전㈜서천화력발전처"," ","170050"," "," ","2994551"
" ","1223","충청남도 서천군 장항읍 장산로 209"," ","2016","㈜풍농 장항공장"," ","170051"," ","6"," "
" ","643495","충청남도 태안군 원북면 발전로 457","9713662","2016","한국서부발전㈜ 태안발전본부"," ","170056"," "," ","15446022"
" ","635","충청남도 당진시 송악읍 부곡공단1길 70"," ","2016","생고뱅이소바코리아㈜"," ","170057"," "," ","41240"
" ","1970","충청남도 아산시 탕정면 탕정로 212"," ","2016","코닝정밀소재㈜"," ","170058"," "," ","156914"
" ","601","충청남도 공주시 검상안길 331"," ","2016","공주시 생활폐기물처리시설","903","170059","626"," ","8910"
