"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","1300","경기도 안산시 단원구 신원로 50 (신길동)","1929","2017","대양제지공업㈜","1999","150004","9063"," ","48009"
" ","1578","경기도 안산시 단원구 지원로 7 (성곡동)","2048","2017","대일개발㈜","1596","150005","38406"," ","89530"
" ","1189","경기도 안산시 단원구 첨단로 215 (성곡동)","4175","2017","성림유화㈜","3328","150006","5554"," ","49869"
" ","2904","경기도 안산시 단원구 해안로 104","473","2017","태림페이퍼㈜","453","150007","11180"," ","51105"
" ","905","경기도 안산시 단원구 신원로91번길 16 (성곡동)","2324","2017","부경산업㈜","1617","150008","13176"," ","40899"
" ","690","경기도 안산시 단원구 별망로 129","4621","2017","신대양제지㈜","6985","150009","9804"," ","106124"
" ","88","경기도 안산시 단원구 목내로 29 (목내동)","20","2017","신대양제지반월㈜","1822","150010","6205"," ","53847"
" ","2150","경기도 시흥시 서해안로 231 (정왕동)","432","2017","아세아제지㈜시화공장","2037","150011","4415"," ","64197"
" ","3563","경기도 시흥시 소망공원로 5 (정왕동)","6216","2017","코어엔텍㈜","3243","150012","2716"," ","96941"
" ","448","경기도 시흥시 옥구천서로9번길 45 (정왕동)","6206","2017","시흥그린센터","1440","150013","3131"," ","19853"
" ","27578","경기도 안산시 단원구 해안로 404 (초지동)","405962","2017","㈜지에스이앤알"," ","150014"," "," ","724102"
" ","1514","경기도 안산시 단원구 첨단로207번길 5 (성곡동)","1411","2017","한국환경개발㈜시화공장","487","150015","9263"," ","37194"
" ","2372","경기도 시흥시 군자천로 99","106","2017","㈜고려제지","1188","150016","25816"," ","68745"
" ","1498","경기도 시흥시 옥구천동로 46 (정왕동)","3823","2017","코어엔텍(주)에너지공장"," ","150017"," "," ","13916"
" ","394","경기도 구리시 왕숙천로 49"," ","2017","구리자원회수시설","2126","150055","3876"," ","22226"
" ","364","경기도 수원시 영통구 삼성로 129 (매탄동)","326","2017","삼성전자㈜수원사업장","154","150057","3310"," ","32319"
" ","2663","경기도 수원시 영통구 영통로 383 (영통동)"," ","2017","수원시자원회수시설","6274","150058","23791"," ","78956"
" ","719","경기도 수원시 영통구 매영로 293 (영통동)","142009","2017","한국지역난방공사 수원지사 영통열원 "," ","150059"," "," ","80493"
" ","2613","경기도 성남시 중원구 둔촌대로 567 (상대원동)","609","2017","성남시청(성남시환경에너지시설)","1269","150061","10919"," ","60083"
" ","0","경기도 성남시 분당구 분당로 368","0","2017","한국지역난방공사 분당지사"," ","150062"," "," ","0"
" "," ","경기도 안양시 동안구 부림로 100 (평촌동)"," ","2017","GS파워㈜안양열병합발전처"," ","150063"," "," ","662144"
" "," ","경기도 성남시 분당구 분당로 336 (분당동)"," ","2017","한국남동발전㈜분당발전본부"," ","150064"," "," ","1314451"
" ","1178","경기도 안양시 동안구 시민대로 328 (평촌동)"," ","2017","안양시자원회수시설","2210","150065","8906"," ","25052"
" ","11","경기도 안양시 동안구 시민대로 74 (호계동)","714","2017","효성㈜"," ","150066"," "," ","633"
" "," ","경기도 부천시 삼작로 21 (삼정동)"," ","2017","GS파워㈜부천열병합발전처"," ","150067"," "," ","501047"
" ","724","경기도 부천시 벌말로 122 (대장동)"," ","2017","부천시자원순환센터","1503","150069","4668"," ","29981"
" ","507","경기도 광명시 가학로85번길 142 (가학동)"," ","2017","광명시자원회수시설","2708","150070","7118"," ","63861"
" ","794","경기도 고양시 일산동구 경의로 115 (백석동)"," ","2017","고양시환경에너지시설","1549","150072","11516"," ","29222"
" "," ","경기도 고양시 일산동구 경의로 201 (백석동)"," ","2017","한국동서발전㈜일산발전본부"," ","150073"," "," ","543595"
" "," ","경기도 안산시 단원구 첨단로 670 (초지동)"," ","2017","안산도시개발㈜"," ","150074"," "," ","2987"
" ","857","경기도 안산시 단원구 첨단로 726 (초지동)"," ","2017","안산시자원회수시설","2784","150075","5784"," ","25112"
" ","145","경기도 과천시 구리안로 177 (갈현동)"," ","2017","과천시자원정화센터","716","150076","1680"," ","10882"
" ","433","경기도 군포시 초막골길 101-58 (산본동)"," ","2017","군포환경관리소","322","150078","696"," ","20908"
" ","486","경기도 의정부시 장곡로 147"," ","2017","의정부시생활폐기물소각시설","679","150080","5131"," ","18232"
" ","465","경기도 안양시 만안구 박달로 313 (박달동)","72027","2017","㈜수석"," ","150103"," "," ","48710"
" ","37043","경기도 여주시 가남읍 여주남로 541","1402318","2017","㈜케이씨씨글라스 여주공장"," ","150104"," "," ","1789505"
" ","61","경기도 고양시 덕양구 대덕로 426 (현천동)","93","2017","서울특별시 난지물재생센터","7","150105","907"," ","2176"
" ","612","경기도 파주시 탄현면 방촌로 1213-52"," ","2017","파주시환경관리센터","2385","150106","1207"," ","19151"
" ","1023","경기도 평택시 진위면 진위서로 23","100720","2017","홍원제지㈜"," ","150107"," "," ","37702"
" ","705","경기도 평택시 진위면 서탄로 9","1192","2017","영풍제지㈜","651","150108","4175"," ","65353"
" ","2293","경기도 평택시 고덕면 고덕로 144-32","570","2017","신풍제지㈜","112","150109","632"," ","84582"
" ","11201","경기도 평택시 포승읍 남양만로 175-2","406076","2017","한국서부발전㈜평택발전본부"," ","150110"," "," ","752197"
" "," ","경기도 오산시 황새로149번길 55 (누읍동)"," ","2017","(구)디에스파워㈜"," ","150113"," "," ","5"
" ","359","경기도 오산시 황새로149번길 11 (누읍동)","7758","2017","한국수출포장공업㈜","1569","150115","13932"," ","84145"
" ","297","경기도 이천시 부발읍 중부대로1707번길 13","40452","2017","㈜금비"," ","150117"," "," ","33939"
" ","147","경기도 시흥시 공단1대로80번길 15 (정왕동)"," ","2017","㈜우진고분자"," ","150119"," "," "," "
