"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","869","대구광역시 달서구 달서대로 351 (대천동)","66302","2017","한국지역난방공사 대구지사"," ","130301"," "," ","134147"
" ","18910","대구광역시 서구 염색공단중앙로 33","624107","2017","대구염색산업단지관리공단(열병합발전소)"," ","130302"," "," ","1073033"
" ","2007","대구광역시 달서구 성서공단로 257 (장동)","3590","2017","대구공공시설관리공단 성서사업소","1975","130303","10327"," ","38358"
" ","249","대구광역시 달성군 유가면 비슬로96길 97","8567","2017","세하㈜","196","130304","3694"," ","57393"
" ","5931","대구광역시 달성군 현풍읍 국가산단북로100길 40","27919","2017","㈜아진피앤피","2466","130306","124109"," ","103934"
" ","1614","대구광역시 달성군 유가면 비슬로96길 35","378","2017","경산제지㈜","954","130307","11005"," ","27436"
" ","1397","대구광역시 달서구 성서공단로51길 27 (장동)","1161","2017","신대일페이퍼㈜","820","130308","10280"," ","57473"
" ","90","대구광역시 달서구 성서동로53길 16 (장동)","4104","2017","아상텍스㈜","0","130312","10302"," ","14250"
" "," ","대구광역시 동구 매여로 14 (율암동)"," ","2017","대구그린파워㈜"," ","130313"," "," ","266570"
" ","5361","대구광역시 달성군 다사읍 다사로 799","1628","2017","대구광역시 폐기물에너지화시설","9167","130314","8017"," ","56170"
"2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017"
"3","3","3","3","3","3","3","3","3","3","3"
