"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","515","인천광역시 남동구 앵고개로654번길 99","1253","2017","㈜그린스코","638","150001","1623"," ","11909"
" ","1266","인천광역시 서구 사렴로65번길 24","78","2017","경인환경에너지㈜","1032","150002","6612"," ","26639"
" ","1511","인천광역시 남구 송림로307번길 132 (도화동)","1907","2017","이건에너지㈜","1333","150003","35890"," ","52256"
" ","4211","인천광역시 중구 월미로 96 (북성동1가)","5369","2017","㈜SUN&L","111","150031","1353"," ","83475"
" "," ","인천광역시 중구 아암대로 20 (신흥동3가)"," ","2017","씨제이제일제당㈜ 인천1공장"," ","150033"," "," ","38226"
" "," ","인천광역시 중구 월미로 116 (북성동1가)"," ","2017","대한제당"," ","150034"," "," ","41994"
" ","86531","인천광역시 동구 중봉대로 63 (송현동)"," ","2017","현대제철㈜ 인천공장"," ","150035"," "," ","178526"
" ","46613","인천광역시 동구 중봉대로 15 (송현동)"," ","2017","동국제강㈜"," ","150036"," "," ","3246"
" ","0","인천광역시 남구 아암대로287번길 7 (학익동)","0","2017","㈜디씨알이"," ","150037"," "," ","0"
" ","997","인천광역시 부평구 백범로 584","26695","2017","인그리디언코리아(유) 부평공장"," ","150041"," "," ","14512"
" "," ","인천광역시 부평구 주부토로 238 (갈산동)","518136","2017","오리온엔지니어드카본즈㈜부평공장"," ","150042"," "," ","103582"
" ","3765","인천광역시 서구 봉수대로 415 (원창동)","66750","2017","SK인천석유화학㈜"," ","150043"," "," ","714916"
" ","1323","인천광역시 서구 건지로153번길 54 (석남동)","1193","2017","㈜케이비아이텍","1485","150044","17263"," ","27049"
" "," ","인천광역시 서구 중봉대로405번길 314 (원창동)"," ","2017","㈜포스코인터내셔널(구,포스코에너지㈜)"," ","150045"," "," ","658018"
" "," ","인천광역시 서구 중봉대로405번길 411"," ","2017","한국중부발전㈜ 인천발전본부"," ","150047"," "," ","799044"
" "," ","인천광역시 서구 장도로 57 (경서동)"," ","2017","한국남부발전(주)신인천빛드림본부"," ","150048"," "," ","535902"
" "," ","인천광역시 서구 장도로 57 (경서동)"," ","2017","한국서부발전㈜ 서인천발전본부"," ","150049"," "," ","433488"
" ","2229","인천광역시 서구 백범로 726","49443","2017","㈜삼양사 인천1공장"," ","150050"," "," ","21457"
" "," ","인천광역시 중구 영종해안북로1050번길 78-43 (운서동)"," ","2017","인천공항에너지㈜"," ","150052"," "," ","215506"
" ","892","인천광역시 서구 로봇랜드로249번길 38 (경서동)"," ","2017","인천환경공단 청라사업소","1068","150053","13390"," ","47088"
" ","212","인천광역시 중구 영종해안북로1050번길 78-13 (운서동)"," ","2017","인천국제공항공사","618","150054","1989"," ","1155"
" ","266829","인천광역시 옹진군 영흥면 영흥남로293번길 75","5572611","2017","한국남동발전㈜ 영흥발전본부"," ","150102"," "," ","4077520"
" ","465","인천광역시 서구 중봉대로386번길 9 (원창동)","326","2017","㈜에이티에너지","813","150132","28805"," ","9078"
" ","607","인천광역시 남동구 남동서로316번길 41 (남촌동)","2478","2017","㈜이알지서비스","1115","150133","6105"," ","34457"
" ","0","인천광역시 강화군 강화읍 해안북로 94"," ","2017","강화군소각장","0","150134","0"," ","0"
" ","1105","인천광역시 연수구 인천신항대로892번길 50 (송도동)"," ","2017","송도자원환경센터","272","150152","8654"," ","27694"
" ","67","인천광역시 서구 원전로59번길 23 (경서동)"," ","2017","경인금속공업㈜"," ","150153"," "," "," "
" "," ","인천광역시 서구 거월로 61 (백석동)","148411","2017","에코에너지㈜"," ","150156"," "," ","83707"
" "," ","인천광역시 서구 백범로 789 (가좌동)"," ","2017","케이지스틸㈜ 인천공장","4","150170"," "," "," "
" "," ","인천광역시 남동구 논현고잔로 173 (고잔동)"," ","2017","㈜미래엔인천에너지"," ","150171"," "," ","984"
" ","2345","인천광역시 서구 염곡로 133","873","2017","동화기업㈜","232","150222","27162"," ","63523"
" "," ","인천광역시 중구 월미로 96"," ","2017","선창산업㈜ MDF공장"," ","150224"," "," ","29178"
" "," ","인천광역시 중구 서해대로140번길 49"," ","2017","씨제이제일제당㈜ 인천2공장"," ","150225"," "," ","12084"
" ","223","인천광역시 부평구 새벌로 55 (청천동)"," ","2017","동서식품㈜","251","150295","1913"," ","24938"
" "," ","인천광역시 부평구 부평대로 233"," ","2017","한국지엠㈜"," ","150296"," "," ","43727"
" "," ","인천광역시 서구 봉수대로 212"," ","2017","㈜포레스코"," ","150297"," "," ","11094"
" "," ","인천광역시 연수구 아카데미로51번길 37"," ","2017","인천종합에너지㈜"," ","150319"," "," ","129816"
" ","1405","인천광역시 중구 서해대로140번길 49"," ","2017","㈜씨디에스인천에너지","1669","150584","3309"," ","34034"
" "," ","인천광역시 서구 자원순환로 170"," ","2017","수도권매립지관리공사"," ","150596"," "," ","25185"
" "," ","인천광역시 연수구 송도미래로 150"," ","2017","앰코테크놀로지코리아㈜ (인천)","46","150639"," "," ","1343"
" ","38","인천광역시 연수구 인천신항대로892번길 50"," ","2017","송도자원순환센터","168","150759","472"," ","41"
"2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017"
"4","4","4","4","4","4","4","4","4","4","4"
