"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","677","부산광역시 해운대구 해운대로 898 (좌동)","1179","2018","해운대자원에너지센터","973","130201","4462"," ","18403"
" ","6371","부산광역시 사하구 을숙도대로 760 (구평동)"," ","2018","와이케이스틸"," ","130205"," "," "," "
" ","986","부산광역시 사하구 하신번영로 69 (신평동)"," ","2018","대한제강"," ","130206"," "," "," "
" ","17567","부산광역시 사하구 신산로13번길 33 (신평동)","245512","2018","부산패션칼라산업"," ","130207"," "," ","203605"
" ","3449","부산광역시 사하구 강변대로 20 (신평동)","3483","2018","에너지네트웍","1655","130208","8433"," ","62478"
" "," ","부산광역시 사하구 감천항로 7"," ","2018","한국남부발전㈜부산빛드림본부"," ","130209"," "," ","1383235"
" ","1428","부산광역시 강서구 명지오션시티13로 12-11 (명지동)","1208","2018","부산환경공단 명지자원에너지센터","46","130211","4994"," ","31894"
" ","101","부산광역시 사하구 감천항로291번길 80 (구평동)","538","2018","에이치엘비에너지(주)","145","130212","2344"," ","7883"
" ","3180","부산광역시 사하구 을숙도대로 525 (신평동)","2878","2018","한국주철관공업"," ","130214"," "," ","7421"
" "," ","부산광역시 강서구 녹산산업중로 333 (송정동)"," ","2018","삼성전기㈜부산공장","154","130215"," "," "," "
" ","80","부산광역시 기장군 정관읍 양수길 55-52"," ","2018","NC메디","14","130216","328"," ","2539"
" "," ","부산광역시 남구 신선로 102 (감만동)"," ","2018","동국제강㈜부산공장","295","130217"," "," "," "
" "," ","부산광역시 사하구 다산로 240 (장림동)"," ","2018","태양금속","82","130218"," "," "," "
" ","3893","부산광역시 강서구 녹산산업북로 333 (송정동)"," ","2018","대한제강㈜ 녹산공장"," ","130220"," "," "," "
" ","0","부산광역시 기장군 정관읍 산단로 632-36","0","2018","정관지구소각장","0","130221","0"," ","0"
" ","2280","부산광역시 강서구 생곡산단로52번길 32 (생곡동)"," ","2018","부산광역시 생활폐기물 연료화 및 발전시설","15034","130222","2790"," ","97445"
" ","4484","부산광역시 강서구 화전산단1로 15"," ","2018","(주)태웅 제강사업부"," ","130223"," "," "," "
" ","145","부산광역시 강서구 화전산단1로63번길 10"," ","2018","성림에너지㈜","3041","130224","29286"," ","33321"
"2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018"
"2","2","2","2","2","2","2","2","2","2","2"
