"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" "," ","울산광역시 남구 용연로 299 (황성동)"," ","2018","에스케이어드밴스드㈜"," ","130102"," "," ","31376"
" ","2253","울산광역시 남구 여천로 228 (여천동)"," ","2018","㈜에코비트에너지 울산","5909","130103","10371"," ","114213"
" "," ","울산광역시 울주군 온산읍 산암로 148","516919","2018","엘에스엠앤엠(주)"," ","130104"," "," ","19462"
" ","1688","울산광역시 남구 장생포고래로29번길 7"," ","2018","케이알에너지㈜","11611","130105","1454"," ","76520"
" ","219","울산광역시 남구 장생포로 285 (매암동)"," ","2018","(주)에팩","721","130106","17284"," ","59011"
" ","9667","울산광역시 남구 처용로 718 (황성동)","299007","2018","에스케이케미칼(주)","4317","130107","6193"," ","302629"
" ","108063","울산광역시 남구 신여천로 2 (고사동)","1424026","2018","(주)에스케이에너지"," ","130109","64219"," ","5911245"
" ","14810","울산광역시 남구 신여천로 2"," ","2018","SK지오센트릭(주)"," ","130110"," "," ","665186"
" ","627","울산광역시 울주군 온산읍 원산로 59","949","2018","유니큰온산공장","184","130111","15502"," ","35097"
"31"," ","울산광역시 남구 여천로163번길 22 (여천동)"," ","2018","조비"," ","130112"," ","680"," "
"0","1118","울산광역시 울주군 온산읍 당월로 322"," ","2018","케이지케미칼(주)"," ","130115"," ","25"," "
" ","15041","울산광역시 울주군 온산읍 이진로 139","1475529","2018","고려아연"," ","130117"," "," ","283021"
" ","448","울산광역시 남구 처용로 260-158 (부곡동)"," ","2018","대한유화㈜울산공장"," ","130123"," "," ","8632"
" ","3574","울산광역시 울주군 온산읍 온산로 134"," ","2018","대한유화(주) 온산공장"," ","130127"," "," ","155206"
"469","2556","울산광역시 남구 납도로 156 (매암동)","240844","2018","팜한농"," ","130128"," ","1322","43702"
" ","15009","울산광역시 남구 사평로 108-70"," ","2018","동서석유화학(주)"," ","130129","3894"," ","167784"
" "," ","울산광역시 남구 처용로487번길 66"," ","2018","효성화학㈜ 용연1공장"," ","130131"," "," ","89415"
" ","12877","울산광역시 울주군 온산읍 우봉강양로 3-36"," ","2018","무림P&P㈜"," ","130134"," "," ","436211"
" "," ","울산광역시 남구 장생포로 247 (매암동)","31","2018","미원화학㈜"," ","130135"," "," "," "
" "," ","울산광역시 남구 여천로217번길 19","19","2018","롯데정밀화학(주)울산공장","317","130138"," "," ","9934"
" ","1302","울산광역시 울주군 온산읍 온산로 68","422125","2018","S-OIL㈜ 온산공장"," ","130140","9074"," ","2939383"
" ","5752","울산광역시 남구 사평로 60 (부곡동)","518178","2018","한주"," ","130143"," "," ","579713"
" ","8159","울산광역시 남구 용잠로 255"," ","2018","SK picglobal"," ","130145","10231"," ","165856"
" "," ","울산광역시 울주군 온산읍 이진로 71"," ","2018","제이엠씨","21","130149"," "," "," "
" ","2985","울산광역시 남구 사평로 108-12 (부곡동)"," ","2018","카프로"," ","130154","2813","516","53635"
" ","22750","울산광역시 남구 용잠로 623 (남화동)","832831","2018","한국동서발전㈜울산발전본부"," ","130158"," "," ","3136699"
