"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","8142","전라북도 전주시 덕진구 기린대로 787 (팔복동2가)","240290","2018","㈜휴비스 전주공장"," ","113001"," "," ","166374"
" ","6702","전라북도 전주시 덕진구 팔복로 59 (팔복동2가)"," ","2018","㈜전주원파워","18631","113002","23189"," ","525465"
" ","1002","전라북도 전주시 덕진구 야전1길 27 (팔복동4가)","112","2018","천일제지㈜","1059","113003","1034"," ","19681"
" ","1544","전라북도 전주시 덕진구 원만성로 55 (팔복동3가)","2265","2018","이도에코전주㈜((구)이도그린전주㈜)","2629","113005","1987"," ","25374"
" ","568","전라북도 전주시 덕진구 서귀로 211-6 (여의동)","534","2018","케이씨환경서비스㈜전주사업부","4499","113006","7841"," ","27737"
" ","1682","전라북도 전주시 완산구 정여립로 625 (상림동)"," ","2018","전주권소각자원센터","4150","113007","4553"," ","76831"
" ","1111","전라북도 전주시 덕진구 온고을로 384 (팔복동3가)","107","2018","㈜미래페이퍼","587","113008","3247"," ","17394"
" ","1285","전라북도 전주시 덕진구 감수길 10-54 (팔복동4가)","1571","2018","(주)에코비트에너지 전주(구:(주)티에스케이그린에너지)","2166","113009","23214"," ","36727"
" ","942","전라북도 전주시 덕진구 팔과정로 53 (팔복동3가)"," ","2018","㈜ 모나리자 전주공장","147","113010","12924"," ","32578"
" ","269","전라북도 전주시 완산구 삼산길 51-20","1061","2018","전주시 종합리싸이클링타운","1087","113011","1583"," ","1992"
" ","1500","전라북도 전주시 덕진구 팔복로 59"," ","2018","㈜전주파워","17628","113012","1588"," ","91766"
" ","4981","전라북도 군산시 외항1길 264 (소룡동)"," ","2018","동원시스템즈(주)군산사업장(구:테크팩솔루션군산공장)"," ","113102"," "," ","173605"
" ","363","전라북도 군산시 외항로 82 (소룡동)"," ","2018","OCI㈜ 군산공장","13","113103","2767"," ","7407"
" ","38189","전라북도 군산시 외항로 522 (소룡동)"," ","2018","㈜세아베스틸 군산공장"," ","113104"," "," "," "
" ","681","전라북도 군산시 외항로 884 (소룡동)"," ","2018","대상㈜","409","113105","10636"," ","29017"
" ","28307","전라북도 군산시 외항1길 296 (소룡동)","358665","2018","한국유리공업㈜ 군산공장"," ","113108"," "," ","888825"
" ","10043","전라북도 군산시 외항1길 56 (소룡동)","210","2018","㈜유니드비티플러스","4941","113109","10790"," ","98406"
" ","3312","전라북도 군산시 서해로 259 (소룡동)","686","2018","㈜엔아이티","87","113110","2156"," ","42077"
" ","440","전라북도 군산시 서해로 269 (소룡동)","806","2018","(주)엔아이티 군산사업소((구)한솔제지(주))","184","113111","4111"," ","4555"
" ","43130","전라북도 군산시 임해로 297 (소룡동)","215215","2018","에스지씨에너지(주)군산사업부문(구:군장에너지)"," ","113114"," "," ","586824"
" "," ","전라북도 군산시 자유무역3길 19 (오식도동)"," ","2018","㈜KHE","357","113115"," "," "," "
" "," ","전라북도 군산시 구암3.1로 91-5 (경암동)"," ","2018","한국서부발전㈜ 군산발전본부"," ","113116"," "," ","678275"
" ","19947","전라북도 군산시 외항로 1222 (비응도동)","125223","2018","한화에너지㈜군산공장"," ","113117"," "," ","357558"
" ","27297","전라북도 군산시 새만금산단3로 213","15610","2018","OCI SE㈜"," ","113118"," "," ","187253"
" ","514","전라북도 군산시 외항로 1245","760","2018","페이퍼코리아㈜","2012","113119","5184"," ","13504"
" ","3225","전라북도 익산시 서동로23길 63 (신흥동)","312721","2018","전북집단에너지㈜"," ","113201"," "," ","232726"
" ","2878","전라북도 익산시 석암로17길 54 (팔봉동)","3680","2018","㈜한솔홈데코 익산공장","998","113202","2025"," ","59378"
" ","550","전라북도 익산시 춘포면 궁성로 188-14","563","2018","㈜이엠케이승경","4941","113204","5166"," ","16332"
" ","367","전라북도 익산시 선화로 823 (부송동)"," ","2018","익산시 신재생자원센터","950","113205","2139"," ","23425"
" ","1931","전라북도 익산시 석암로7길 29 (용제동)"," ","2018","㈜상공에너지","3381","113206","23511"," ","67719"
" ","284","전라북도 익산시 망성면 망성로 14"," ","2018","㈜하림","1093","113207","4359"," ","14349"
" ","253","전라북도 익산시 석암로3길 80","1039","2018","그린웍스주식회사","1963","113208","6338"," ","18670"
" ","1891","전라북도 정읍시 공단1길 50 (영파동)","3689","2018","동원페이퍼㈜정읍공장","1005","113301","20196"," ","49325"
"2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018"
"12","12","12","12","12","12","12","12","12","12","12"
