"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" "," ","서울특별시 노원구 덕릉로70길 99"," ","2019","서울에너지공사 동부지사(노원열병합발전소)"," ","150020"," "," ","22223"
" ","1369","서울특별시 노원구 덕릉로70길 99 (상계동)"," ","2019","노원자원회수시설","1899","150021","6254"," ","47450"
" ","810","서울특별시 양천구 안양천로 1121 (목동)"," ","2019","양천자원회수시설","1899","150022","6108"," ","27128"
" "," ","서울특별시 양천구 목동서로 20 (목동)"," ","2019","서울에너지공사 (목동열병합발전소)"," ","150023"," "," ","10602"
" "," ","서울특별시 마포구 토정로 56"," ","2019","한국중부발전㈜서울발전본부"," ","150024"," "," ","14949"
" ","1147","서울특별시 강남구 남부순환로 3318 (일원동)"," ","2019","강남자원회수시설","2018","150028","7092"," ","42169"
" "," ","서울특별시 송파구 올림픽로 240 (잠실동)"," ","2019","㈜호텔롯데(롯데월드)"," ","150030"," "," ","8835"
" ","108","서울특별시 강서구 양천로 201 (마곡동)","716","2019","서울특별시 서남물재생센터","12","150101","973"," ","6618"
" ","2216","서울특별시 마포구 하늘공원로 86 (상암동)","30","2019","마포자원회수시설","1296","150131","4656"," ","50833"
" ","434","서울특별시 은평구 통일로 1053 (진관동)"," ","2019","은평환경플랜트","310","150169","1763"," ","3250"
" "," ","서울특별시 송파구 헌릉로 789"," ","2019","한국지역난방공사 강남지사(동남권CES)"," ","150310"," "," ","18234"
" "," ","서울특별시 서초구 반포대로 222"," ","2019","가톨릭대학교 서울성모병원"," ","150324"," "," ","13222"
" "," ","서울특별시 강남구 일원로 81"," ","2019","삼성서울병원"," ","150331"," "," ","5941"
" "," ","서울특별시 마포구 월드컵북로 516"," ","2019","한국지역난방공사 중앙지사(상암2CES)"," ","150574"," "," ","182"
" "," ","서울특별시 구로구 경인로 662"," ","2019","대성산업주식회사"," ","150591"," "," ","2990"
" "," ","서울특별시 강서구 양천로 201"," ","2019","서남바이오에너지㈜"," ","150623"," "," ","43736"
" "," ","서울특별시 서대문구 연세로 50-1"," ","2019","연세의료원"," ","150643"," "," ","14394"
" "," ","서울특별시 송파구 올림픽로43길 88"," ","2019","서울아산병원"," ","150644"," "," ","6994"
" "," ","서울특별시 종로구 대학로 101"," ","2019","서울대학교병원"," ","150645"," "," ","5864"
" "," ","서울특별시 강남구 영동대로 511"," ","2019","㈜더블유티씨서울"," ","150660"," "," ","21755"
" "," ","서울특별시 동대문구 경희대로 23"," ","2019","경희의료원"," ","150665"," "," ","1469"
" "," ","서울특별시 성동구 자동차시장3길 64"," ","2019","서울시 중랑물재생센터"," ","150669"," "," ","6629"
" "," ","서울특별시 강남구 개포로 625"," ","2019","서울시탄천물재생센터"," ","150692"," "," ","9569"
" "," ","서울특별시 강서구 양천로 255"," ","2019","서울에너지공사(마곡 집단에너지 공급시설)"," ","150772"," "," ","4088"
"2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019"
"1","1","1","1","1","1","1","1","1","1","1"
