"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","2020","충청북도 청주시 흥덕구 강내면 태성1길 64","572","2019","깨끗한나라㈜","2068","170001","30376"," ","160775"
" ","5750","충청북도 청주시 서원구 3순환로644번길 159 (죽림동)","23271","2019","한국지역난방공사 청주지사"," ","170002"," "," ","241048"
" ","506","충청북도 청주시 흥덕구 백봉로 39 (송정동)","2608","2019","㈜엘지화학 청주공장","90","170003","697"," ","10267"
" ","68","충청북도 청주시 흥덕구 백봉로72번길 21 (송정동)","575","2019","롯데네슬레코리아㈜","6","170004","666"," ","4858"
" ","19305","충청북도 제천시 송학면 송학산로 14"," ","2019","아세아시멘트㈜ 제천","6736","170006"," "," ","4591331"
" ","1695","충청북도 청주시 상당구 가덕면 상장인차로 27"," ","2019","㈜유니온"," ","170007"," "," ","179879"
" ","3871","충청북도 청주시 흥덕구 오송읍 상정쌍청로 256","1106","2019","대한제지㈜","6995","170008","26207"," ","114493"
" ","1807","충청북도 청주시 흥덕구 오송읍 상정쌍청로 171","5827","2019","나투라페이퍼㈜","5569","170011","14312"," ","56587"
" ","71632","충청북도 단양군 매포읍 매포길 18"," ","2019","성신양회㈜ 단양공장","20540","170012"," "," ","7050333"
" ","33444","충청북도 단양군 매포읍 고양길 95"," ","2019","한일현대시멘트㈜삼곡공장","1156","170013"," "," ","1541752"
" ","150239","충청북도 단양군 매포읍 매포길 245"," ","2019","한일시멘트㈜단양공장","12014","170014"," "," ","7680367"
" ","871","충청북도 청주시 흥덕구 직지대로474번길 2","2371","2019","한세이프에너지㈜","1169","170015","8974"," ","34732"
" ","1273","충청북도 청주시 청원구 북이면 의암로 298","3558","2019","우진환경개발㈜","1393","170016","4024"," ","18341"
" ","2255","충청북도 청주시 청원구 북이면 신대석성로 245","714","2019","㈜클렌코","9184","170017","23239"," ","101936"
" ","1129","충청북도 진천군 진천읍 금사로 7","69","2019","㈜에코비트에너지진천","277","170018","2496"," ","19217"
" ","385","충청북도 청주시 흥덕구 옥산면 미호로 555","3133","2019","청주시환경관리본부(하수처리과)","76","170019","2628"," ","4256"
" ","0","충청북도 청주시 청원구 북이면 대율내추길 289-7","0","2019","㈜대한환경","0","170020","0"," ","0"
" ","126","충청북도 옥천군 군북면 이평1길 199"," ","2019","옥천군 생활폐기물소각시설","200","170021","393"," ","6287"
" ","428","충청북도 충주시 대소원면 성종두담길 21"," ","2019","충주시클린에너지파크","224","170024","971"," ","10574"
" ","101","충청북도 음성군 삼성면 상곡로 55-35","780","2019","㈜에이스침대 제1공장","50","170502","2138"," ","1028"
" ","94","충청북도 제천시 북부로 1860"," ","2019","제천시 자원관리센터","328","170503","2188"," ","4729"
" "," ","충청북도 단양군 매포읍 단양로 1295-14"," ","2019","주식회사 태경비케이 단양1공장"," ","170504"," "," ","159737"
" ","13","충청북도 영동군 매곡면 수원동길 32-40","4","2019","육군제3808부대","0","170505","93"," ","172"
" ","1893","충청북도 청주시 흥덕구 가로수로 969-1 (휴암동)"," ","2019","청주시 생활폐기물처리시설","8388","170506","4171"," ","58455"
" ","1096","충청북도 청주시 청원구 오창읍 여천3길 166","1805","2019","㈜다나에너지솔루션","2272","170507","7380"," ","31368"
" ","299","충청북도 단양군 매포읍 매포농공단지로 260","76834","2019","주식회사 지알엠"," ","170508"," "," "," "
" ","113","충청북도 음성군 맹동면 원중로 873-23"," ","2019","진천음성광역폐기물처리시설","1208","170509","721"," ","9720"
" ","71","충청북도 충주시 충주호수로 108 (목행동)","79","2019","㈜세람에너지서비스(충주)","1684","170510","508"," ","13643"
" ","714","충청북도 청주시 흥덕구 옥산면 옥산산단로 76"," ","2019","㈜엔이티","7383","170511","2523"," ","40533"
" ","219","충청북도 청주시 흥덕구 강내면 태성1길 20-44"," ","2019","㈜제스코파워","4677","170512","8863"," ","31002"
" ","50","충청북도 괴산군 괴산읍 능촌로2길 70-37"," ","2019","괴산광역생활쓰레기소각시설","558","170513","248"," ","2546"
" ","1215","충청북도 진천군 초평면 초평로 473"," ","2019","SY에너지㈜"," ","170742"," "," ","23039"
"2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019"
"10","10","10","10","10","10","10","10","10","10","10"
