"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14","번호...54","성분 및 원료","비고"
"1","번호6037","품목보고번호20020623009432","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한18개월","제품명HAN ASIA ALOEVERA PINEAPPLE","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔즙액함유절편","백설탕","액상과당","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤란검","β-카로틴","파인애플향","정제수","","","","","","","","","수용성베타카로틴","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호6036","품목보고번호20020623009430","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한18개월","제품명HAN ASIA ALOEVERA POMEGRANATE","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔즙액함유절편","백설탕","액상과당","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤란검","카라멜색소","레드칼라","석류향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호6035","품목보고번호20040376114256","업소명농업회사법인(유)청솔식품","품목유형혼합음료","유통/소비기한24개월(2년)","제품명HAT(에이취에이티)","분류식품","업체명","농업회사법인(유)청솔식품","소재지","경기도 연천군 삼왕로43번길 61","1","2","3","4","5","6","7","8","9",NA,NA,"감초","녹차가루","건조약모밀지상부","민들레","창질경이잎","인동꽃봉오리","까마중","금잔화꽃","정제수",NA,NA,"","녹차잎","어성초","포공령","차전초","금은화","용주초","금잔화","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호6034","품목보고번호19780368002617","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명HBAF 꿀물","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","사양벌꿀","이소말토올리고당","사과청징농축액","혼합제제","효소처리스테비아","구연산","비타민C","홍차추출분말","혼합제제","","","","","[70.0 Brix]","벌꿀향","","","","","소포제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호6033","품목보고번호20020623009722","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명HEYROO 블루레몬에이드","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","레몬농축액","백설탕","구연산","덱스트린","메타인산나트륨","구연산삼나트륨","시트러스향","수크랄로스","식용색소청색제1호","레몬향","레몬향","65brix","","산도조절제","","","산도조절제","합성착향료","합성감미료","합성착색료","합성착향료","합성착향료","12","혼합과일향","합성착향료","13","14","믹스후르츠향","정제수","합성착향료","",NA,NA,NA
"6","번호6032","품목보고번호20020623009609","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명HEYROO(헤이루) 아카시아꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","벌꿀","사양벌꿀","액상과당","대추농축액","구연산","효소처리스테비아","정제소금","폴리소르베이트80","카라멜색소비에이","허니향","정제수","아카시아벌꿀","","","68brix","산도조절제","","","","","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호6031","품목보고번호20020623009611","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명HEYROO(헤이루) 홍삼꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","사양벌꿀","홍삼농축액","액상과당","사과농축과즙","구연산","정제소금","폴리소르베이트80","수크랄로스","카라멜색소비에이","허니향","홍삼향","","홍삼성분70mg/g,고형분60%","","","산도조절제","","","합성감미료","","합성착향료","합성착향료","12","허브향","합성착향료","13",NA,"정제수",NA,"",NA,NA,NA,NA
"8","번호6030","품목보고번호20020623009610","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명HEYROO(헤이루)헛개꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","사양벌꿀","헛개나무열매농축액","액상과당","대추농축액","구연산","정제소금","폴리소르베이트80","수크랄로스","카라멜색소비에이","허니향","헛개향","","고형분14%","","","산도조절제","","","합성감미료","","합성착향료","합성착향료","12","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호6029","품목보고번호201703665125","업소명물수","품목유형혼합음료","유통/소비기한12개월","제품명HO.32","분류식품","업체명","물수","소재지","경기도 화성시 동탄기흥로257번나길 40-8(1층 전부호)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","정제수",NA
"10","번호6028","품목보고번호2019037454016","업소명(주)에이치엔비웰","품목유형혼합음료","유통/소비기한제조일로부터 2년(24개월)","제품명HY-HONESSEN","분류식품","업체명","(주)에이치엔비웰","소재지","경기도 이천시 장호원읍 나래천로416번길 31-21","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","합성향료(Propylene glycol dibenzoate)","글리세린","안식향산나트륨","허니부쉬추출발효분말(기능성원료인정제2017-3호)","히알루론산","구연산",NA,NA,NA,NA,"","Propanediol","Glycerin","Sodium Benzoate","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
