"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","성분 및 원료7","비고7","번호8","성분 및 원료8","비고8"
"1","번호5132","품목보고번호2005027515525","업소명새롬","품목유형혼합음료","유통/소비기한제조일부터 6개월까지","제품명다미랑 국화식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","멥쌀","찹쌀","엿기름","백설탕","국화","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5131","품목보고번호2005027515528","업소명새롬","품목유형혼합음료","유통/소비기한제조일로 부터 1년","제품명다미랑 녹차식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","멥쌀","찹쌀","엿기름","백설탕","녹차어린잎","녹차가루",NA,NA,NA,NA,NA,NA,"7","정제수",NA,NA,NA,NA
"3","번호5130","품목보고번호2005027515517","업소명새롬","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명다미랑 단호박 식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","멥쌀","찹쌀","엿기름","백설탕","단호박","정제수","멥쌀","찹쌀","엿기름","백설탕","단호박","",NA,NA,NA,NA,NA,NA
"4","번호5129","품목보고번호2005027515518","업소명새롬","품목유형혼합음료","유통/소비기한제조일로 부터 6개월","제품명다미랑 발아현미 식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","발아현미","발아현미찹쌀","엿기름","백설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5128","품목보고번호2005027515526","업소명새롬","품목유형혼합음료","유통/소비기한제조일부터 6개월까지","제품명다미랑 비트 식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","멥쌀","찹쌀","엿기름","백설탕","비트추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5127","품목보고번호2005027515521","업소명새롬","품목유형혼합음료","유통/소비기한제조일부터 6개월까지","제품명다미랑 비트 식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","멥쌀","찹쌀","엿기름","백설탕","비트","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5126","품목보고번호2005027515527","업소명새롬","품목유형혼합음료","유통/소비기한제조일부터 6개월까지","제품명다미랑 상영궁 버섯 식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","멥쌀","찹쌀","엿기름","백설탕","상황버섯","영지버섯",NA,NA,NA,NA,NA,NA,"7","노루궁뎅이버섯",NA,"8","정제수",NA
"8","번호5125","품목보고번호2005027515523","업소명새롬","품목유형혼합음료","유통/소비기한제조일부터  6개월까지","제품명다미랑 오가피 식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","멥쌀","찹쌀","엿기름","백설탕","오가피","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5124","품목보고번호2005027515520","업소명새롬","품목유형혼합음료","유통/소비기한제조일부터 6개월까지","제품명다미랑 오미자 식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","멥쌀","찹쌀","엿기름","백설탕","오미자","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5123","품목보고번호2005027515529","업소명새롬","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명다미랑 유자식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","멥쌀","찹쌀","엿기름","백설탕","유자","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
