"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32"
"1","번호5112","품목보고번호19880442004754","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한36개월","제품명다종채소발효액VP","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","과.채가공품","과.채가공품","과.채가공품","과.채가공품","미나리 등 다종채소발효액","토마토 등 다종채소발효액","오이 등 다종채소발효액","우엉 등 다종채소발효액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5111","품목보고번호20020623009844","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명다풀려(多解勵)밀크씨슬","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","밀크씨슬농축","기타가공품","과라나추출물분말","구기자농축액","밀크씨슬농축액","수용성커큐민12","","","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","기타가공품","효모추출물제품","기타과당","구연산","DL-사과산","L-아스파라긴","구연산삼나트륨","비타민C","비타민B1염산염","비타민B2","비타민B6염산염","이노시톨","타우린","수크랄로스","합성향료","정제수","미배아복합발효추출물","효모추출물 하이치온 와이에이치-8","","","","","","","","","","","","합성감미료","허브믹스향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5110","품목보고번호2001043909849","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명다현산소수","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,"정제수","산소",NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5109","품목보고번호2019049821078","업소명(주)한풍네이처팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명닥터 아르기닌 맥스","분류식품","업체명","(주)한풍네이처팜","소재지","전라북도 완주군 봉동읍 테크노밸리2로 91(1,2동 1,2,3층)","1","2","3","4","정제수","L-아르지닌","구연산","세븐베리농축액","","","함수구연산","","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","프락토올리고당","액상과당","DL-사과산","비타민C","구연산삼나트륨","스테비올배당체","수크랄로스","오렌지향코톤","타우린","서양자두농축액","산화아연","감초엑기스분말","니코틴산아미드","발효홍삼농축액","비타민B12, 혼합제제","비타민B6염산염","","","","","","","","오렌지오일,주정,정제수","","푸룬농축액","","","","","","","21","22","23","24","25","26","27","28","29","30","31","32","비타민B1염산염","엽산","비타민B2","비오틴","판토텐산칼슘","이노시톨","병풀잎추출물분말","비타민미네랄혼합제제","아미노산혼합제제","마카추출분말","기타가공품","과.채가공품","","","","","","","","","","","복합황금추출물","레몬라임농축분말"
"5","번호5108","품목보고번호2003025701132","업소명(주)아너텍","품목유형혼합음료","유통/소비기한1년","제품명닥터M","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2",NA,NA,"정제수","타우린",NA,NA,"음용수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5107","품목보고번호2003025701136","업소명(주)아너텍","품목유형혼합음료","유통/소비기한1년","제품명닥터M당다운","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2",NA,NA,"정제수","바나바잎추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5106","품목보고번호20040275056879","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명닥터리본 아르기닌 3000 에너지풀샷","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","정제수","L-아르지닌","구연산","청포도농축액","","","함수구연산","","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","프락토올리고당","과.채가공품","효소처리스테비아","생선콜라겐","과.채가공품","청포도향","식품첨가물","황금혼합추출물","식품첨가물혼합제제","타우린","덱스트린","히알루론산혼합제제","과.채가공품","오르니틴염산염","L-카르니틴","글루콘산아연","","샤인머스켓혼합농축액","스테비텐후레쉬","","적포도농축액","","샤인머스켓향","복합황금추출물","BCAA","","감마시클로로덱스트린","","27종과일야채혼합분말","","","","21","22","23","24","25","26",NA,NA,NA,NA,NA,NA,"분말비타민B12혼합제제","비타민B6염산염","기타가공품","비타민B2","비오틴","엽산",NA,NA,NA,NA,NA,NA,"","","밀크세라마이드","","","",NA,NA,NA,NA,NA,NA
"8","번호5105","품목보고번호20110084489487","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명닥터리본 아르지닌 플러스","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","정제수","L-아르지닌","이소말토올리고당","오렌지농축액","","","","","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","구연산(무수)","레몬농축액","에리스리톨","오렌지향","DL-사과산","레몬향","글루콘산아연","비타민C","효소처리스테비아","기타가공품","수박분말","혼합제제","수크랄로스","오르니틴염산염","타우린","마카추출분말","","","","천연향료","","천연향료","","","","복합황금추출물","수박추출분말","아미노산믹스-BCAAG","","","","마카추출물분말","21","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"과라나추출물분말","프로테아제(식물성)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"과라나추출분말","브로멜라인",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5104","품목보고번호20110149027279","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명닥터바우만 석류콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","석류농축액","콜라겐","로커스트콩검","잔탄검","65 brix, 스페인산","베트남산","","","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5103","품목보고번호20110149027273","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명닥터바우만 타트체리콜라겐 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","체리농축액","생선콜라겐","로커스트콩검","잔탄검","타트체리농축액 65 brix, 터키산","베트남산","","","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
