"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28"
"1","번호4992","품목보고번호2007051804151","업소명농업회사법인주식회사 고흥에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명더끌림 유자즙","분류식품","업체명","농업회사법인주식회사 고흥에프앤비","소재지","전라남도 고흥군 고흥읍 호산로 341-27","1","2","3","4","5","6","7","정제수","백설탕","당침유자","유자과즙","구연산","비타민C","치자황색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4991","품목보고번호20130415052232","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명더다른 뮤신 엘라스틴","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","정제수","세븐베리농축액","덩굴월귤농축액","생선콜라겐","이소말토올리고당","식용달팽이추출물분말","프락토올리고당","","","크랜베리착즙농축액","저분자피쉬콜라겐","","스네일 익스트랙트 파우더","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","레몬농축액","엘라스틴가수분해물","천연향료","히알루론산혼합제제","비타민C","천연향료","비타민E혼합제제분말","효소처리스테비아","황금혼합추출물","분말비타민A혼합제제","잔탄검","비오틴","건조효모","L-시스틴","토마토농축추출물분말","글리신","L-글루탐산","L-프롤린","L-아르지닌","우유단백질","비타민미네랄혼합분말","","엘라스틴","천연베리믹스향2","","비타민C파인파우더","JS-NF천연엘더베리향3073","분말비타민A아세테이트325혼합제제","","복합황금추출물-2","분말비타민A아세테이트325혼합제제","","","","","화이트토마토농축추출물분말","","","","","밀크세라마이드","멀티비타텐프리믹스"
"3","번호4990","품목보고번호20130415052231","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명더다른 뮤신 콜라겐","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","정제수","석류농축액","생선콜라겐","프락토올리고당","식용달팽이추출물분말","레몬농축액","자일리톨","","","저분자피쉬콜라겐","","스네일 익스트랙트 파우더","","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27",NA,"천연향료","히알루론산혼합제제","비타민C","엘라스틴가수분해물","구연산","천연향료","비타민E혼합제제분말","천연향료","황금혼합추출물","분말비타민A혼합제제","비오틴","건조효모","토마토농축추출물분말","L-시스틴","글리신","L-글루탐산","L-프롤린","L-아르지닌","우유단백질","비타민미네랄혼합분말",NA,"JS-NF천연석류향2871","","비타민C파인파우더","엘라스틴","","천연석류향AG-F-1689","","천연레몬향AL-F-1035","복합황금추출물-2","분말비타민A아세테이트325혼합제제","","ENGEVITA GSH","화이트토마토농축추출물분말","","","","","","밀크세라마이드","멀티비타텐프리믹스",NA
"4","번호4989","품목보고번호20110084489447","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더다른 블랙 마카","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","정제수","마카뿌리분말","대추야자농축액","사양벌꿀","오자농축액","비수리분말","향료","","블랙마카분말","","","","비수리농축분말","허니향/천연향료","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고량강뿌리줄기추출분말","산수유농축액","기타가공품","잔탄검","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"갈랑가(갈랑갈)추출물분말","","복합황금추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4988","품목보고번호20110084489446","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더다른 아르기닌 오르니틴","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","정제수","L-아르지닌","구연산","결정과당","블루베리농축액","프락토올리고당","시클로덱스트린시럽","","","함수구연산","","","","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22",NA,NA,NA,NA,NA,NA,"아로니아농축액","오르니틴염산염","타우린","향료","글루콘산아연","수박분말","L-카르니틴","기타가공품","수크랄로스","혼합제제","과라나추출물분말","비타민B6염산염","비타민B1염산염","비타민B2","엽산",NA,NA,NA,NA,NA,NA,"","","","천연블루베리향/천연향료","","수박과피추출물분말","","복합황금추출물","","비타민B12혼합제제","과라나추출분말","","","","",NA,NA,NA,NA,NA,NA
"6","번호4987","품목보고번호20010515081484","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명더단백밸런스 로우슈거","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","정제수","농축유단백","대두단백분말","혼합제제","옥수수기름(옥배유)","호두페이스트","셀룰로오스혼합제제","","","","Recodan CM VEG","","","","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"젤란검","이소말토올리고당","덱스트린","카제인나트륨","곡류가공품","프락토올리고당","정제소금","탄산수소나트륨","비타민미네랄혼합제제","합성향료","합성향료","비타민혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","곡물향","흑임자향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4986","품목보고번호20010515081483","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명더단백밸런스 오리지널","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","정제수","농축유단백","대두단백분말","혼합제제","옥수수기름(옥배유)","호두페이스트","셀룰로오스혼합제제","","","","Recodan CM VEG","","","","8","9","10","11","12","13","14","15","16","17","18","19","20",NA,NA,NA,NA,NA,NA,NA,NA,"젤란검","백설탕","이소말토올리고당","덱스트린","카제인나트륨","곡류가공품","프락토올리고당","정제소금","탄산수소나트륨","비타민미네랄혼합제제","합성향료","합성향료","비타민혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","블랙보리분말","","","","","곡물향","흑임자향","",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4985","품목보고번호2016008443215","업소명(주)죠이라이프","품목유형혼합음료","유통/소비기한제조일로부터24개월까지","제품명더담은하루 콜라겐","분류식품","업체명","(주)죠이라이프","소재지","서울특별시 금천구 벚꽃로 232(3층 가산동)","1","2","3","4","5","6","7","정제수","과.채가공품","기타가공품","당류가공품","히알루론산","구연산","비타민 C(고시형)","","유자과즙농축액","저분자피쉬콜라겐","유자맛분말","","구연산(무수)","","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합제제","혼합제제","잔탄검","효모식품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유자향분말","효소처리스테비아-50","","건조효모분말(BT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4984","품목보고번호20020623009950","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더부룩한숙취 모닝케어D","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","기타가공품","혼합제제","기타가공품","타우린","혼합제제","기타가공품","말톨","RSE-a(쌀눈대두발효추출물)","비타민B혼합복합물","갈근추출분말","","허벌엣센스디에이07108)","양배추복합추출물","","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"글리신","혼합제제","기타가공품","올리고당가공품","에리스리톨","스테비올배당체","혼합제제","합성향료","구연산","구연산삼나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","아와컷CP","복합황금추출물","","","","드링크향(21905038)","쿨링향#5(SK-J7253)","구연산(무수)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4983","품목보고번호20080395120234","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명더블밀크","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","정제수","원유","식물성크림","덱스트린","설탕","탈지분유","글리세린지방산에스테르","","국산","국산, 프림골드","","","외국산","","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
