"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호6017","품목보고번호2011044107020","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명JB 플랜츠워터","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2","지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호6016","품목보고번호20110493072173","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명JEJUMON 복숭아에이드","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","정제수","백설탕","","","3","4","5","6","7","8","9","10","복숭아농축액","구연산","복숭아향","홍차분말","물엿","홍차향","비타민 C(고시형)","수크랄로스","복숭아과즙농축액, 68Brix, 이스라엘산","산도조절제","혼합제제, 복숭아향#5","","맥아당","혼합제제, 홍차향#2","영양강화제","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호6015","품목보고번호20110493072172","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명JEJUMON 블루레몬에이드","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","정제수","백설탕","","","3","4","5","6","7","8","9","10","레몬농축액","덱스트린","구연산","레몬향","자몽향","라임향","구연산삼나트륨","시트러스향","65Brix","증점제","산도조절제","혼합제제, 레몬향#1","혼합제제, 자몽향#8","혼합제제, 라임향#2","","혼합제제","11","12","수크랄로스","식용색소청색제1호","감미료","",NA,NA,NA
"4","번호6014","품목보고번호20110493072347","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명JEJUMON 석류에이드","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","석류농축액","백설탕","터키산","","3","4","5","6","7","8","9",NA,"구연산","구연산삼나트륨","수크랄로스","식용색소적색제40호","카라멜색소","합성향료","정제수",NA,"산도조절제","산도조절제","감미료","착색료","BA, 착색료","석류향BCA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호6013","품목보고번호20110493072348","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명JEJUMON 청포도에이드","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","백포도농축액","백설탕","스페인산","","3","4","5","6","7","8","9","10","구연산","구연산삼나트륨","수크랄로스","메타인산나트륨","식용색소청색제1호","식용색소황색제4호","합성향료","정제수","함수구연산,산도조절제","산도조절제","감미료","산도조절제","착색료","착색료","청포도향,FCA","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호6012","품목보고번호20110493072254","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명JEJUMON블루베리에이드","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10","블루베리농축액","포도농축액","구연산","구연산삼나트륨","수크랄로스","식용색소적색제40호","식용색소청색제1호","블루베리향","67Brix, 미국산","68Brix, 칠레산 적포도 농축액","산도조절제","산도조절제","감미료","착색제","착색제","합성향료","11",NA,"포도향",NA,"합성향료, 적포도향",NA,NA,NA,NA
"7","번호6011","품목보고번호2015041512567","업소명(주)충청바이오텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명JM-캐치콜B","분류식품","업체명","(주)충청바이오텍","소재지","충청북도 청주시 흥덕구 직지대로 398(B동 1,2층 송정동)","1","2","정제수","압착올리브유","","","3","4","5",NA,NA,NA,NA,NA,"오렌지농축액","자몽농축액","비타민미네랄혼합제제",NA,NA,NA,NA,NA,"","","비타민미네랄믹스-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호6010","품목보고번호20190473161228","업소명(주)휴온스푸디언스금산3공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명5K 콜라겐 브라이트 부스터 위드 사프란 (5K Collagen Bright Booster With Saffron)","분류식품","업체명","(주)휴온스푸디언스금산3공장","소재지","충청남도 금산군 금산읍 인삼광장로 19(금산인삼농협국제유통센타 2~3층)","1","2","엘라스틴가수분해물","기타가공품","프로라스틴(PROLASTIN)","사티에리얼 수용성( Sartiereal Water Soluble )","3","4","5","6","7","8","9","10","알로에베라겔동결건조분말","히알루론산혼합제제","비타민C","효소처리스테비아","청포도향","구연산","농축사과주스","청포도농축액","알로에베라겔동결건조분말 200:1","품목보고번호:2016027504611","비타민C (ASCORBIC ACID)","스테비텐 후레쉬(STECITEN FRESH), 품목제조번호 : 19930556020123","청포도향 21014185, 품목보고번호:200202750453742","무수 구연산","유기농 사과주스 농축액","백(청)포도 농축액","11","12","기타과당","기타가공품","고과당","저분자피쉬콜라겐300D","13","정제수",""
"9","번호6009","품목보고번호20190473161227","업소명(주)휴온스푸디언스금산3공장","품목유형혼합음료","유통/소비기한제조일로 24개월","제품명5K 콜라겐 이너 부스터 위드 피오니 (5K Collagen Inner Booster With Peony)","분류식품","업체명","(주)휴온스푸디언스금산3공장","소재지","충청남도 금산군 금산읍 인삼광장로 19(금산인삼농협국제유통센타 2~3층)","1","2","엘라스틴가수분해물","효소처리스테비아","프로라스틴(PROLASTIN)","스테비텐 후레쉬(STECITEN FRESH), 품목제조번호 : 19930556020123","3","4","5","6","7","8","9","10","알로에베라겔동결건조분말","히알루론산혼합제제","비타민C","복숭아향","구연산(무수)","작약농축액","농축사과주스","복숭아농축액","알로에베라겔동결건조분말 200:1","품목보고번호:2016027504611","비타민C (ASCORBIC ACID)","복숭아향 21111031, 품목보고번호:	200202750454137","무수 구연산","작약농축액 20007, 품목보고번호:1980449002-1401","유기농 사과주스 농축액","품목제조보고번호:20100449019160","11","12","기타과당","기타가공품","고과당","저분자피쉬콜라겐300D","13","정제수",""
"10","번호6008","품목보고번호2019008436417","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명K-칼슘365","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","정제수","필리핀레몬열매농축액",NA,NA,"3","4","5","6",NA,NA,NA,NA,"산호분말","패각분말","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
