"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고12","비고13","비고14","비고15","번호16","성분 및 원료16","비고16"
"1","번호4902","품목보고번호19950433026724","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명도즈 알로에 오리지널","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔원액","설탕","구연산","구연산삼나트륨","젤란검","비타민C","수크랄로스","알로에향","잔탄검","알로에베라겔건조분말","정제수","","","","","","","","월드D알로에MJF01","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4901","품목보고번호2001043909832","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한별첨","제품명도토리 - dotori","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4900","품목보고번호20130555108177","업소명주식회사 도투락","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명도투락 깔라 레몬밤C","분류식품","업체명","주식회사 도투락","소재지","경상북도 영천시 화산면 유성길 75-4","1","2","3","4","5","6","7","8",NA,NA,NA,"필리핀레몬열매원액","레몬밤추출물","비타민혼합제제","에리스리톨","수크랄로스","구연산","안식향산","정제수",NA,NA,NA,"","레몬밤추출물분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4899","품목보고번호20020183282836","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명돌 곤약젤리 얼그레이자몽","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10","11","정제수","에리스리톨","레드자몽농축액","혼합제제","글루코만난","구연산","비타민C","구연산삼나트륨","로커스트콩검","침출차","혼합제제","","","","","","","","","","얼그레이 블렌드","자몽향","12","13","14","15","염화칼륨","효소처리스테비아","수크랄로스","혼합제제","","","","",NA,NA,NA
"5","번호4898","품목보고번호20020183282835","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명돌 곤약젤리 자스민복숭아","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10","11","정제수","에리스리톨","복숭아농축과즙","혼합제제","글루코만난","구연산","비타민C","구연산삼나트륨","로커스트콩검","침출차","침출차","","","","","","","","","","자스민","얼그레이 블렌드","12","13","14","15","혼합제제","염화칼륨","효소처리스테비아","수크랄로스","복숭아향","","","","16","혼합제제",""
"6","번호4897","품목보고번호20010515081492","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 8개월","제품명돌 키즈 후룻 MYLK 망고","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","정제수","원액두유","파인애플농축액","망고농축액","젖산칼슘","펙틴","프락토올리고당","구연산","비타민C","비타민D3","산화아연","","","","","","","","","","","","12","13",NA,NA,"망고향","망고농축퓌레",NA,NA,"천연망고향","",NA,NA,NA,NA,NA
"7","번호4896","품목보고번호20010515081493","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 8개월","제품명돌 키즈 후룻 MYLK 바나나","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","정제수","원액두유","파인애플농축액","바나나농축액","해조칼슘","카라기난","프락토올리고당","비타민C","비타민D3","산화아연","바나나향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4895","품목보고번호2014060761416","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명동녹삼골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9",NA,NA,"식품혼합추출액","철갑상어추출액","액상과당","키토올리고당(고시형)","잔탄검","비타민B1 라우릴황산염","황산마그네슘","정제수","식물혼합추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4894","품목보고번호2006046711439","업소명주식회사 현가","품목유형혼합음료","유통/소비기한30일","제품명동동발알식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"엿기름","쌀","백설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4893","품목보고번호2006046711429","업소명주식회사 현가","품목유형혼합음료","유통/소비기한15일(냉장보관)","제품명동동식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"엿기름","쌀","백설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
