"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17"
"1","번호4652","품목보고번호2015037512973","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명루솔밥대장녹용·홍삼","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","8","9","10","11","12","13","14","녹용농축액","식물혼합추출물","시클로덱스트린시럽","용설란시럽","배농축액","백포도농축액","엽산","니코틴산아미드","비타민C","비타민미네랄혼합분말","요구르트향","황금등복합물(기능성원료인정제2006-3호)","로즈힙추출물분말","벌꿀","","","","아가베시럽","","","","","","비타민미네랄믹스-FS1","농축요구르트향","복합황금추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4651","품목보고번호20090440068123","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 365일(1년)","제품명루솔유기농망고쮸","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"정제수","설탕","망고퓌레","혼합제제","DL-사과산","구연산","비타민C","효소처리스테비아",NA,NA,NA,NA,NA,NA,"","(유기농)","(유기농)","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4650","품목보고번호20090440068121","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 365일(1년)","제품명루솔유기농사과쮸","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"정제수","설탕","사과농축과즙","혼합제제","DL-사과산","구연산","비타민C","효소처리스테비아",NA,NA,NA,NA,NA,NA,"","(유기농)","(유기농)","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4649","품목보고번호20090440068120","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 365일(1년)","제품명루솔유기농오렌지쮸","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"정제수","설탕","오렌지농축과즙","혼합제제","DL-사과산","구연산","비타민C","효소처리스테비아",NA,NA,NA,NA,NA,NA,"","(유기농)","(유기농)","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4648","품목보고번호20090440068122","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 365일(1년)","제품명루솔유기농포도쮸","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"정제수","설탕","혼합제제","포도농축과즙","DL-사과산","구연산","비타민C","효소처리스테비아",NA,NA,NA,NA,NA,NA,"","(유기농)","","(유기농)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4647","품목보고번호2020028014710","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명루이보스 아몬드","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"정제수","아몬드","캐슈견과","정제소금","설탕","루이보스잎","젤란검","로커스트빈검","구연산칼륨","레시틴","유산균",NA,NA,NA,"","미국산","미얀마,베트남","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4646","품목보고번호20110084489500","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명루체비타 아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","구연산","Red grape농축액","레몬농축액","효소처리스테비아","타우린","세븐베리농축액","혼합제제","글루콘산아연","향료","기타가공품","비타민B1염산염","비타민B6염산염","","","함수구연산","적포도주스농축액","","","","","블루베리향","","천연레몬향/천연향료","복합황금추출물","","","15","16","17","비타민B2","과라나추출물분말","혼합제제","","","아미노산혼합제제"
"8","번호4645","품목보고번호20130358242360","업소명주식회사 이수바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명루티닛","분류식품","업체명","주식회사 이수바이오","소재지","경기도 이천시 신둔면 증신로 517-11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","구연산(무수)","타우린","시클로덱스트린","레몬농축액","레드자몽농축액","DL-사과산","수크랄로스","비타민C","자몽향","기타가공품","비타민B1염산염","비타민B2","","중국산 기피","","","액상(네오덱스)","열매, 열매껍질 / 레몬농축과즙액 HCS-5020","열매 / HCS-4065","","","","합성향료 / SK-D5070","복합황금추출물","","","15","16",NA,"비타민B6염산염","생선콜라겐",NA,"","저분자/500DT",NA
"9","번호4644","품목보고번호200703582241178","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명루피움 에버 아르지닌 6000","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","구연산(무수)","프락토올리고당","포도농축액","과.채가공품","과.채가공품","합성향료","과.채가공품","효소처리스테비아","L-카르니틴","니코틴산아미드","비타민B6염산염","수크랄로스","","","","","적포도농축액","블루베리농축액","세븐베리농축액","믹스베리향(베리믹스향)","Galanga galangal뿌리줄기(갈랑가추출분말)","","","","피리독신염산염","","15","16","17","비타민B1염산염","비타민B2","혼합제제","","","아미노산혼합분말"
"10","번호4643","품목보고번호20190473161199","업소명(주)휴온스푸디언스금산3공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뤼에르 보테티 with 커큐민","분류식품","업체명","(주)휴온스푸디언스금산3공장","소재지","충청남도 금산군 금산읍 인삼광장로 19(금산인삼농협국제유통센타 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"식물혼합추출물","난소화성말토덱스트린(고시형)","호박농축액","프락토올리고당","이소말토올리고당","벌꿀류","기타가공품","구연산","L-아르지닌","글루콘산아연","효소처리스테비아","기타가공품",NA,NA,"고형분 1%","","유기농호박농축액, 고형분 40%","","","마누카꿀","복합황금추출물","","L-아르기닌","","","수용성 커큐민 추출물(아큐민-BA50N)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
