"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","성분 및 원료16","비고16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27"
"1","번호4534","품목보고번호2019049821049","업소명(주)한풍네이처팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명마시는 포도당","분류식품","업체명","(주)한풍네이처팜","소재지","전라북도 완주군 봉동읍 테크노밸리2로 91(1,2동 1,2,3층)","1","2","3","포도당","구연산","정제수","무수결정포도당","무수구연산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4533","품목보고번호19890445014509","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명마시는 포도당","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","무수결정포도당","농축사과과즙","타우린",NA,NA,NA,"4","5","6","7","8","9","10","11","12","13","14","15","니코틴산아미드","비타민B1염산염","비타민B2","구연산","구연산삼나트륨","글리신","효소처리스테비아","황금복합추출물","파인애플향","합성착향료","코시스77-BH","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4532","품목보고번호20040275056389","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로 부터 24개월 까지","제품명마시는 포도당 브이-업","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","정제수","포도당","파인애플향","","함수포도당","","4","5","6","7","8","9","10","11","12","13",NA,NA,"황금복합추출물","파인애플농축액","구연산","아미노산혼합분말","타우린","비타민C","비타민B1염산염","비타민B2","비타민B6염산염","니코틴산아미드",NA,NA,"","65 Brix","함수구연산","아미노믹스","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4531","품목보고번호20040275056896","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명마시는 포도당 비타 아미노","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","정제수","포도당","블루베리농축액","","","","4","5","6","7","8","9","10","11","12","13","14","15","식품첨가물혼합제제","타우린","식품첨가물혼합제제","구연산","과.채가공품","비타민C","L-카르니틴","L-아르지닌","L-글루타민","비타민B1염산염","비타민B2","비타민B6염산염","블루베리향","","아미노믹스","무수구연산","야생블루베리농축액","","","","","","","","16","니코틴산아미드","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4530","품목보고번호2019049821026","업소명(주)한풍네이처팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는 포도당 비타아미노","분류식품","업체명","(주)한풍네이처팜","소재지","전라북도 완주군 봉동읍 테크노밸리2로 91(1,2동 1,2,3층)","1","2","3","분말결정포도당","블루베리농축액","식품첨가물혼합제제","함수결정포도당","","블루베리향","4","5","6","7","8","9","10","11","12","13","14","15","타우린","구연산","과.채가공품","비타민C","비타민B1염산염","비타민B2","비타민B6염산염","니코틴산아미드","식품첨가물혼합제제","L-카르니틴","L-아르지닌","L-글루타민","","함수구연산","와일드베리","","","","","","아미노산혼합분말","","","","16","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4529","품목보고번호20090435035226","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한24개월","제품명마시는 포도당 비타아미노","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","정제수","분말결정포도당","블루베리농축액","","함수결정포도당","","4","5","6","7","8","9","10","11","12","13","14","15","블루베리향","타우린","아미노산혼합제제","구연산(무수)","과.채가공품","비타민C","L-카르니틴","L-아르지닌","L-글루타민","비타민B1염산염","비타민B2","비타민B6염산염","합성향료","","","","뉴트리푸드 와일드베리R","","","","","","","","16","니코틴산아미드","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4528","품목보고번호20070464034192","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명마시는 하루견과","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","땅콩 또는 견과류가공품","설탕","기타가공품","혼합견과액","유기농밝은갈색설탕","해조분말","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"천일염","해바라기유","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","고올레산해바라기유","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4527","품목보고번호20070464034178","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명마시는 하루견과유 베리넛데이 오리지널","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","땅콩 또는 견과류가공품","천일염","기타가공품","혼합견과액(고형분8.5%)","","해조분말","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"해바라기유","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"고올레산 해바라기유","유기농 밝은 갈색설탕","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4526","품목보고번호20070464034196","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명마시는 하루견과유 베리넛데이 코코아","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","땅콩 또는 견과류가공품","천일염","기타가공품","혼합견과액(고형분8.5%)","","해조분말","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"해바라기유","설탕","코코아분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"고올레산 해바라기유","유기농 밝은 갈색설탕","코코아파우더","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4525","품목보고번호2019026365037","업소명주식회사 메가바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마시는멜로시라","분류식품","업체명","주식회사 메가바이오","소재지","세종특별자치시 연동면 노송강당길 24-1","1","2","3","정제수","D-말티톨","다라수열매","글루타치온발효물","","재거리/비정제갈색설탕","4","5","6","7","8","9","10","11","12","13","14","15","L-글루탐산","L-시스테인염산염","글리신","생선콜라겐","비트루트농축액","사과농축액","배농축액","석류농축액","체리추출물","히알루론산","퀼라야추출물","이산화규소","","","","","","","","","타트체리추출물","","","거품제거제","16","타우린","","17","18","19","20","21","22","23","24","25","26","27","구연산","체리향","나이아신(고시형)","자몽농축액","아연(고시형)","비타민 B1(고시형)","비타민 B2(고시형)","비타민 B6(고시형)","비오틴(고시형)","판토텐산(고시형)","비타민 A(고시형)","","","","","","","","","","",""
