"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고17","비고18","비고19","비고20"
"1","번호4524","품목보고번호2017037259085","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명마시는상아탱탱콜라겐","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","7","8","9","10","11","정제수","콜라겐","프락토올리고당","사과농축액","사과향","포도당","구연산","비타민C","자일리톨","기타가공품","수크랄로스","","콜라겐(300Da)","","","","","","","","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4523","품목보고번호19890445014412","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명마시는아이비타에이","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","분말비카님A","비타민B6염산염","비타민B2","판토텐산칼슘","이노시톨","블루베리농축액","백설탕","D-솔비톨액상","효소처리스테비아","젖산칼슘","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","카르복시메틸셀룰로오스나트륨","Dl-사과산","블루베리향","복합호아금추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4522","품목보고번호2020040117612","업소명농업회사법인(주)더조은","품목유형혼합음료","유통/소비기한1년","제품명마시는젤리사과","분류식품","업체명","농업회사법인(주)더조은","소재지","강원도 원주시 호저면 고산동막길 162-18(1층)","1","2","3","4","5","6","7","8","9","10","11","사과액","설탕","액상과당","프락토올리고당","폴리덱스트로스","난소화성말토덱스트린(고시형)","효소처리스테비아","검 베이스 혼합제제","구연산","구연산삼나트륨","사과향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4521","품목보고번호2020040117611","업소명농업회사법인(주)더조은","품목유형혼합음료","유통/소비기한1년","제품명마시는젤리아로니아","분류식품","업체명","농업회사법인(주)더조은","소재지","강원도 원주시 호저면 고산동막길 162-18(1층)","1","2","3","4","5","6","7","8","9","10","11","아로니아원액","설탕","액상과당","프락토올리고당","폴리덱스트로스","난소화성말토덱스트린분말(고시형)","효소처리스테비아","검 베이스 혼합제제","구연산","구연산삼나트륨","사과향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4520","품목보고번호19780368002611","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명마시는초유프로틴365","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11","정제수","우유","분리유단백분말","백설탕","혼합분유","분리완두단백","초유단백분말","탄산수소나트륨","정제소금","합성향료","자당지방산에스테르","","","","","","","","","","연유향","자당지방산에스테르 2","12","13","14","15","16","합성향료","자당지방산에스테르","L-아스코르브산나트륨","젤란검","혼합제제","우유향","자당지방산에스테르 1","","","혼합아미노산BCAA","17","18","19","20","글루콘산아연","니코틴산아미드","혼합제제","비타민B6염산염","","","비타민D3혼합제제분말",""
"6","번호4519","품목보고번호19890445014267","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명마시는칼슘","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8",NA,NA,NA,"젖산칼슘","액상과당","백설탕","사과농축액","글리신","비타민B2","스테비올배당체","비타민D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4518","품목보고번호20040275056830","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명마시는콜라겐 3000","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","정제수","생선콜라겐","이소말토올리고당","에리스리톨","당류가공품","요구르트향","구연산","효소처리스테비아","황금혼합추출물","병풀잎추출물분말","히알루론산혼합제제","","저분자피쉬콜라겐펩타이드","","","유기농아가베시럽","","","","복합황금추출물","병풀추출분말","","12","13","14","15","16","알로에베라겔동결건조분말","비타민E혼합제제분말","비타민 C(고시형)","분말비타민A혼합제제","비타민B2","유기농알로에베라겔동결건조분말","","","","","17","18",NA,NA,"비타민B6염산염","엘라스틴가수분해물",NA,NA,"","프로라스틴",NA,NA
"8","번호4517","품목보고번호20040275056831","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명마시는콜라겐 3000플러스","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","정제수","생선콜라겐","이소말토올리고당","에리스리톨","당류가공품","요구르트향","구연산","효소처리스테비아","황금혼합추출물","병풀잎추출물분말","히알루론산혼합제제","","저분자피쉬콜라겐펩타이드","","","유기농아가베시럽","","","","복합황금추출물","병풀추출분말","","12","13","14","15","16","알로에베라겔동결건조분말","비타민E혼합제제분말","비타민 C(고시형)","분말비타민A혼합제제","비타민B2","유기농알로에베라겔동결건조분말","","","","","17","18",NA,NA,"비타민B6염산염","엘라스틴가수분해물",NA,NA,"","프로라스틴",NA,NA
"9","번호4516","품목보고번호19970464172173","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명마시는포도당","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","결정(분말)포도당","포도농축액","사과농축액","타우린","구연산","비타민C","니코틴산아미드","효소처리스테비아","비타민 B1(고시형)","비타민B2","포도향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13",NA,NA,NA,"포도과피색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4515","품목보고번호201901611183","업소명대자연팔공수","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명마시자","분류식품","업체명","대자연팔공수","소재지","대구광역시 동구 팔공산로 310(A동 1층 송정동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","혼합음료",NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","파워미네랄",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
