"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","번호28","성분 및 원료28","비고28","번호29","성분 및 원료29","비고29"
"1","번호4514","품목보고번호2020044271682","업소명웰바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명마실라온콜라겐","분류식품","업체명","웰바이오","소재지","충청북도 충주시 5산단4길 11(용탄동)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","기타가공품","석류농축액","구연산","구연산삼나트륨","효소처리스테비아","비타민C","카라멜색소","기타가공품","석류향","","","저분자 피쉬콜라겐","","","","","","","복합황금추출물","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4513","품목보고번호2009037514911","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명마실수록","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4512","품목보고번호2021051907120","업소명엔피케이(주) 2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명마이 아르기닌","분류식품","업체명","엔피케이(주) 2공장","소재지","전라남도 담양군 담양읍 에코길 27-28","1","2","3","4","5","6","7","8","9","10","11","L-아르지닌","구연산(무수)","프락토올리고당","시클로덱스트린시럽","석류농축액","오르니틴염산염","식물혼합농축액","석류향","수크랄로스","비타민미네랄혼합제제","혼합제제","","","","","","","","","","","BCAA","12","13","아미노산혼합제제","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4511","품목보고번호20070443110388","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명마이노멀버터말차","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","기타가공품","고형차","젤란검","잔탄검","알룰로오스","스테비올배당체","카제인나트륨","L-아스코르브산나트륨","탄산칼륨(무수)","혼합제제","정제수","마이노멀 버터크리머","말차분말","","","액상알룰로스","스위티스 스테비아97","","","","말차향(AI-F-0365)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4510","품목보고번호2021045702815","업소명대상웰라이프주식회사천안2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 딥초코","분류식품","업체명","대상웰라이프주식회사천안2공장","소재지","충청남도 천안시 서북구 2공단2로 112(1~3층 업성동)","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","덱스트린","채종유(유채유 또는 카놀라유)","분리대두단백","카제인칼슘","코코아분말","농축유단백","초코향","혼합제제","구연산칼륨","","","말토덱스트린","","","","","","","셀룰로스 혼합제제","","12","13","탄산칼슘","비타민혼합제제","","","14","15","16","17","18","19","20","21","22","23","24","25","26","27","향료","향료","염화마그네슘","염화칼륨","탄산수소나트륨","정제소금","혼합제제","수크랄로스","아미노산혼합제제","산화아연","비타민E","카라기난","카라기난혼합제제","비타민D3혼합제제","밀크초콜릿향","바닐라초콜릿향","","","","","젤란DS","","","","","","","",NA,NA,NA,NA,NA,NA
"6","번호4509","품목보고번호20080395120493","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 로우슈거 바나나","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","원유","분리대두단백","치커리뿌리추출물","농축유단백","설탕","덱스트린","카제인칼슘","옥수수기름(옥배유)","알룰로오스","구연산칼륨","과.채가공품","","","","","","말토덱스트린","","","","","바나나농축액","12","13","혼합제제","탄산칼슘","비타민믹스","","14","15","16","17","18","19","20","21","22","23","24","25","26","27","혼합제제","혼합제제","카제인나트륨","염화칼륨","염화마그네슘","탄산수소나트륨","정제소금","혼합제제","산화아연","비타민E","젤란검","수크랄로스","혼합제제","비타민B2","바나나향","결정섬유소, 셀룰로스검","","","","","","바닐라향","","","","","MCT 오일, 비타민D3, 비타민E","","28","정제수","",NA,NA,NA
"7","번호4508","품목보고번호2020040143921","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 로우슈거 바나나","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","원유","분리대두단백","치커리뿌리추출물","농축유단백","설탕","덱스트린","카제인칼슘","옥수수기름(옥배유)","알룰로오스","구연산칼륨","과.채가공품","","","","","","","","","","","바나나농축액","12","13","혼합제제","탄산칼슘","비타민믹스","","14","15","16","17","18","19","20","21","22","23","24","25","26","27","혼합제제","카제인나트륨","염화칼륨","혼합제제","염화마그네슘","탄산수소나트륨","정제소금","혼합제제","산화아연","비타민E","젤란검","수크랄로스","혼합제제","비타민B2","바나나향","","","결정섬유소, 셀룰로스검","","","","바닐라향","","","","","MCT오일, 비타민D3, 비타민E","","28","정제수","",NA,NA,NA
"8","번호4507","품목보고번호2021045702816","업소명대상웰라이프주식회사천안2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 로우슈거 바나나","분류식품","업체명","대상웰라이프주식회사천안2공장","소재지","충청남도 천안시 서북구 2공단2로 112(1~3층 업성동)","1","2","3","4","5","6","7","8","9","10","11","정제수","치커리식이섬유","분리대두단백","농축유단백","카제인칼슘","백설탕","덱스트린","전지분유","옥수수기름(옥배유)","알룰로오스","구연산칼륨","","","","","","","말토덱스트린","","","","","12","13","바나나농축액","향료","","바나나향","14","15","16","17","18","19","20","21","22","23","24","25","26","27","비타민혼합제제","탄산칼슘","결정셀룰로스","염화칼륨","염화마그네슘","탄산수소나트륨","정제소금","향료","산화아연","비타민E","혼합제제","카라기난","카라기난혼합제제","수크랄로스","","","","","","","","바닐라향","","","젤란DS","","","","28","비타민D3혼합제제","","29","비타민B2",""
"9","번호4506","품목보고번호2020040143994","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 로우슈거 오트","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","분리대두단백","치커리식이섬유","설탕","카제인나트륨","덱스트린","채종유(유채유 또는 카놀라유)","곡류가공품","구연산칼륨","탄산칼슘","혼합제제","혼합제제","","","","","말토덱스트린","","오트추출분말","","","결정섬유소, 셀룰로스검","비타민믹스DS2(L-아스코브산나트륨,덱스트린,니코틴산아미드,판토텐산칼슘,분말비타민A혼합제제,비타민B6염산염,비타민B1염산염,분말비타민B12혼합제","12","13","합성향료","소르비탄지방산에스테르","","","14","15","16","17","18","19","20","21","22","23","24",NA,NA,NA,"염화마그네슘","염화칼륨","탄산수소나트륨","정제소금","젤란검","산화아연","비타민E","혼합제제","혼합제제","수크랄로스","정제수",NA,NA,NA,"","","","","","","","비타민D3 1.0혼합제제(비타민D3,비타민E,가공유지(팜유))","BCAA(L-로이신, L-이소로이신, L-발린)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4505","품목보고번호20080395120604","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 로우슈거 오트","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","분리대두단백","치커리식이섬유","설탕","카제인나트륨","덱스트린","채종유(유채유 또는 카놀라유)","곡류가공품","구연산칼륨","탄산칼슘","혼합제제","혼합제제","","","","","말토덱스트린","","오트추출분말","","","결정섬유소, 셀룰로스검","비타민믹스DS2(L-아스코브산나트륨,덱스트린,니코틴산아미드,판토텐산칼슘,분말비타민A혼합제제,비타민B6염산염,비타민B1염산염,분말비타민B12혼합제","12","13","합성향료","소르비탄지방산에스테르","","","14","15","16","17","18","19","20","21","22","23","24",NA,NA,NA,"염화마그네슘","염화칼륨","탄산수소나트륨","정제소금","젤란검","산화아연","비타민E","혼합제제","혼합제제","수크랄로스","정제수",NA,NA,NA,"","","","","","","","비타민D3 1.0혼합제제(비타민D3,비타민E,가공유지(팜유))","BCAA(L-로이신, L-이소로이신, L-발린)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
