"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18","번호19","번호20","성분 및 원료19","성분 및 원료20","비고19","비고20","번호21","번호22","성분 및 원료21","성분 및 원료22","비고21","비고22"
"1","번호4394","품목보고번호20100543066876","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명머스크멜론","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","설탕","알로에베라겔즙","멜론농축액","합성향료","젖산칼슘","구연산","비타민C","합성향료","젤란검","천연향료","유화제","스테비올배당체","혼합제제","카로틴","","","태국산/알로에베라주스54.9%,알로에베라45%,구연산0.1%","이스라엘산/멜론청징농축액, 배합함량 : 멜론 100%, 멜론과즙으로 환원기준 : 5%","멜론향","","","","시트러스향","","머스크멜론향","","","카라멜색소, 프로필렌글리콜","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4393","품목보고번호2012057308046","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년(730일)","제품명머슬백","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘","강황액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4392","품목보고번호20030211151145","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한2년","제품명먹고보자홍삼비타젤리스틱","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"발효홍삼농축액","배농축액","레몬농축액","프락토올리고당","식물혼합농축액","사양벌꿀","검 베이스 혼합제제","구연산","구연산삼나트륨","혼합제제비타민B","나한과추출물분말","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4391","품목보고번호20170614111316","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명먹어보면 알게되는 인진쑥 타트체리","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"체리농축액","정제수","생선콜라겐분말","사철쑥농축액","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)",NA,NA,NA,NA,NA,NA,"고형분60%,타트체리100%)","","","인진쑥농축액","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4390","품목보고번호2017062863046","업소명(주)진산비버리지","품목유형혼합음료","유통/소비기한12개월","제품명먹을사람 프로틴 밀크쉐이크 딸기맛","분류식품","업체명","(주)진산비버리지","소재지","제주특별자치도 제주시 조천읍 남조로3길 13","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"원유","분리유단백분말","딸기시럽","백설탕","인공딸기향","밀크향","락타아제","수크랄로스","착색료 홍국적색","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4389","품목보고번호2017062863047","업소명(주)진산비버리지","품목유형혼합음료","유통/소비기한해당없음.","제품명먹을사람 프로틴 밀크쉐이크 초코맛","분류식품","업체명","(주)진산비버리지","소재지","제주특별자치도 제주시 조천읍 남조로3길 13","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"원유","분리유단백분말","백설탕","코코아분말","초코향","밀크향","락타아제","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4388","품목보고번호198604350131009","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명먼슬리콜라겐","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","생선콜라겐","포도농축액","자일리톨","구연산","덩굴월귤농축액","베리혼합농축액","블루베리향","백포도농축액","시클로덱스트린","효소처리스테비아","라즈베리향","히알루론산혼합제제","비타민C","히비스커스추출물분말","","[저분자피쉬콜라겐(1,000Da이하)]","(Brix 68)","","","크랜베리농축액(Brix 49)","(Brix 62)","(천연향료)","Brix 68","","","(천연향료)","","","","16","17","18","아세로라추출분말","우유단백질","엘라스틴","","우유단백질농축분말","엘라스틴추출물혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4387","품목보고번호20040275056910","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명멀티밸런스 아르기닌","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","프락토올리고당","Red grape농축액","구연산(무수)","오르니틴염산염","기타 농산가공품","타우린","효소처리스테비아","향료","글루콘산아연","비타민B1염산염","비타민B6염산염","L-카르니틴","비타민B2","","","","","","","히비스커스쥬스농축액","","","포도향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4386","품목보고번호200703582241192","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명메가 벨벳 콜라겐 12000 (Mega Velvet Collagen 12000)","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","생선콜라겐","백포도농축액","블루베리농축액","식품첨가물","천연향료","구연산삼나트륨","비타민C","잔탄검","사양벌꿀","글루콘산아연","과.채가공품","혼합제제","기타가공품","L-시스틴","","저분자 피쉬콜라겐","","","구연산(함수구연산)","믹스베리향(천연베리믹스향)","","","","","","토마토농축분말(화이트 토마토)","비타민E혼합제제분말","우유단백질(우유세라마이드)","","16","17","18","효모식품","효모식품","기타가공품","건조효모1","건조효모2(셀렌)","엘라스틴가수분해물","19","20","히알루론산","L-아르지닌","","",NA,NA,NA,NA,NA,NA
"10","번호4385","품목보고번호19860443015589","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명메가 엘라스틴","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","콜라겐","프락토올리고당","이소말토올리고당","용설란시럽","오렌지농축액","레드자몽농축액","오렌지농축액","구연산","오렌지향","엘라스틴가수분해물","카라멜색소","황금혼합추출물","N-아세틸글루코사민","히알루론산","","생선콜라겐, GT콜라겐","","","아가베시럽","","","블러드오렌지농축액","","혼합제제","","","복합황금추출물","","","16","17","18","구연산삼나트륨","기타가공품","비타민C","","복합허브추출물C","","19","20","병풀잎추출물분말","우유단백질","","우유단백질농축, 밀크세라마이드","21","22","과.채가공품","알로에베라겔농축분말","유기농야채과일혼합분말","알로에베라겔200:1분말"
