"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","성분 및 원료17","성분 및 원료18","비고17","비고18","번호19","번호20","번호21","번호22","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고19","비고20","비고21","비고22","번호23","번호24","번호25","번호26","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고23","비고24","비고25","비고26"
"1","번호4384","품목보고번호20040275056723","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명메가더알파","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","L-아르지닌","구연산","포도농축액","레몬농축액","비타민C","효소처리스테비아","포도향","글루콘산아연","레몬향","황금혼합추출물","펙틴","니코틴산아미드","비타민 B12 혼합제제분말","비타민B1염산염","엽산","","","함수구연산","적포도농축액","","","스테비텐후레쉬","혼합제제","","레몬향#6(혼합제제)","복합황금추출물","펙틴jmj","","비타민B12혼합제제0.1WS","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4383","품목보고번호19970464172365","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명메가비타 3000","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","기타과당","백설탕","비타민C","구연산삼나트륨","L-아르지닌","파인애플향","타우린","산화마그네슘","사과향","펙틴","효소처리스테비아","정제소금","수크랄로스","비타민B1염산염","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","18","비타민B6염산염","비타민 D3 혼합제제분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4382","품목보고번호19970464172384","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명메가비타씨골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,"백설탕","농축사과과즙","비타민C","구연산","구연산삼나트륨","효소처리스테비아","비타민B2","비타민B1염산염","타우린","파인애플향","정제수",NA,NA,NA,NA,NA,"","72brix","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4381","품목보고번호19970464172111","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명메가센파워","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","돼지태반가수분해물","액상과당","사과농축액","구연산","구연산삼나트륨","비타민C","니코틴산아미드","비타민B2","비타민B6염산염","과라나추출물분말","아미노믹스","비타민B1염산염","타우린","잔탄검","효소처리스테비아","레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","18","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4380","품목보고번호20190391582148","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명메가엘라스틴","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","생선콜라겐","과.채가공품","프락토올리고당","이소말토올리고당","용설란시럽","인산","자주색고구마색소","혼합제제","엘라스틴가수분해물","변성전분","혼합제제","기타가공품","N-아세틸글루코사민","히알루론산","기타가공품","","GT콜라겐","뷰틱레드블렌드","","","아가베시럽","","","오렌지향","가다랑어엘라스틴펩타이드","","","복합황금추출물","","","복합허브추출물C","17","18","구연산삼나트륨","비타민C","","","19","20","21","22","병풀추출","기타가공품","알로에베라겔동결건조분말","과.채가공품","","밀크세라마이드","","파이토과일야채혼합발효분말99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4379","품목보고번호20060445110791","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명메가엘라스틴 플러스","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","생선콜라겐","이소말토올리고당","사과농축액","망고농축액","애플망고향","엘라스틴가수분해물","구연산","DL-사과산","효소처리스테비아","구연산삼나트륨","혼합추출농축액","농축유단백","비오틴 혼합","합성향료(4-Aminobutyric acid)","효모추출분말","","저분자생선콜라겐(500Da)","","","","","엘라스틴가수분해분말","","","","","사과호박혼합추출농축액","","비오틴혼합제제","(GABA)","","17","18","병풀잎추출물분말","보검선인장열매","병풀추출분말(잎)","선인장열매추출분말","19","20","21","22","알로에 겔(고시형)","채소혼합농축액분말","비타민C","히알루론산","","채소혼합농축분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4378","품목보고번호19860443015374","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명메가콜라겐","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","생선콜라겐","자일리톨","석류농축액","에리스리톨","구연산","천연향료","엘라스틴가수분해물","황금혼합추출물","히알루론산","야채혼합농축분말","효소처리스테비아","알로에베라겔농축분말","히비스커스추출물","N-아세틸글루코사민","비타민C","","GT콜라겐, 피쉬콜라겐, 피쉬콜라겐펩타이드","","","","무수구연산","천연석류향","","복합황금추출물","","","","알로에베라겔 200:1 분말","","","","17",NA,"병풀추출",NA,"병풀추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4377","품목보고번호202205370301","업소명태연바이오헬스","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명메가혼","분류식품","업체명","태연바이오헬스","소재지","강원도 원주시 지정면 간현로162번길 20-2(2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","패각분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"산화질소수","모려분(굴껍질가루)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4376","품목보고번호20010515081410","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 3일 (냉장 10℃이하 보관)","제품명메디비아 레날 플러스","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","덱스트린","채종유(유채유 또는 카놀라유)","카제인나트륨","농축유단백","과.채가공품","중쇄중성지방유","EPA 및 DHA 함유 유지(고시형)","난소화성말토덱스트린(고시형)","분리대두단백","소르비탄지방산에스테르","탄산칼슘혼합제제","구연산칼륨","구연산삼나트륨","DHA오일(고시형)","비타민A혼합분말","","말토덱스트린","","","","코코넛밀크","","오메가3","","","","","","","","","17","18","비타민D3혼합제제","비타민E혼합제제","","","19","20","21","22","건조효모(셀렌함유)","건조효모(몰디브덴함유)","건조효모(크롬함유)","염화마그네슘","","","","","23","24","25","26","황산제일철","산화아연","타우린","비타민B12","","","",""
"10","번호4375","품목보고번호20010515081487","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 3일 (냉장 10℃이하 보관)","제품명메디비아 로우팻","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","덱스트린","카제인나트륨","농축유단백","과.채가공품","중쇄중성지방유","EPA 및 DHA 함유 유지(고시형)","분리대두단백","소르비탄지방산에스테르","탄산칼슘혼합제제","구연산칼륨","구연산삼나트륨","EPA 및 DHA 함유 유지(고시형)","비타민A혼합분말","비타민D3혼합제제","비타민E혼합제제","","말토덱스트린","","","코코넛밀크","","오메가3","","","","","","조류 DHA 추출유지","","","","17","18","건조효모(셀렌함유)","건조효모(몰디브덴함유)","","","19","20","21","22","건조효모(크롬함유)","염화마그네슘","황산제일철","산화아연","","","","","23","24","25","26","정제소금","타우린","L-아르지닌","비타민B12","","","",""
