"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호4374","품목보고번호20010515081514","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 3일 (냉장 10℃이하 보관)","제품명메디비아 파워 리커버리","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","정제수","덱스트린","카제인나트륨","채종유(유채유 또는 카놀라유)","과.채가공품","중쇄중성지방유","EPA 및 DHA 함유 유지(고시형)","분리대두단백","소르비탄지방산에스테르","탄산칼슘혼합제제","구연산칼륨","EPA 및 DHA 함유 유지(고시형)","비타민A혼합분말","비타민D3혼합제제","비타민E혼합제제","건조효모(셀렌함유)","건조효모(몰디브덴함유)","건조효모(크롬함유)","비타민B12","비타민C","기타가공품","타우린","","말토덱스트린","","","코코넛밀크","","오메가3","","","","","조류 DHA 추출유지","","","","","","","","","유산균",""
"2","번호4373","품목보고번호2001043909847","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명메디워터","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","레반(설탕,효모액기스)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4372","품목보고번호2001043909848","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명메디워터7","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","레반(설탕,효모액기스)","포스트바이오틱스-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4371","품목보고번호2001043909852","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명메디워터알파","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","레반(설탕,효모액기스)","포스트바이오틱스-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4370","품목보고번호19810227007461","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월 (실온보관)","제품명메디웰 고단백 활력플러스","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","정제수","카제인나트륨","덱스트린","식물성유지","백설탕","난소화성말토덱스트린(고시형)","대보추출액","프락토올리고당","소르비탄지방산에스테르","구연산칼륨","중쇄중성지방유","제이인산칼슘","염화마그네슘","식품첨가물혼합제제","탄산칼슘","염화콜린","계피추출액","식염","합성향료","젤란검","타우린","황산제일철","","","말토덱스트린","대두유,고올레인산해바라기유,야자유,d-토코페롤(혼합형)","","","백출,복령,당귀,천궁,숙지황,작약,황기,계지,감초","","유화제","영양강화제","","영양강화제","영양강화제","","영양강화제","영양강화제","","","쌍화향","","","영양강화제"
"6","번호4369","품목보고번호20000441043272","업소명매일유업(주)영동공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월 (실온보관)","제품명메디웰 고단백 활력플러스","분류식품","업체명","매일유업(주)영동공장","소재지","충청북도 영동군 매곡면 괘방령로 730-20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","정제수","카제인나트륨","말토덱스트린혼합제제","설탕","대보추출액","난소화성말토덱스트린(고시형)","프락토올리고당","소르비탄지방산에스테르","구연산칼륨","제이인산칼슘","PALM MCT OIL","탄산칼슘","염화콜린","계피추출액","식염","쌍화향","젤란검","타우린","황산제일철","식물성유지","식품첨가물혼합제제","염화마그네슘","","","","","백출,복력,당귀,천궁,숙지황,작약,황기,계지,감초","","","","","","","","","","","","","","","혼합식물성유지","",""
"7","번호4368","품목보고번호19970617062119","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명메디톤-S","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,"정제수","모로미초","L-아르지닌","이소말토올리고당","D-소비톨액","베타인","구연산","기타 농산가공품","사철쑥추출물분말","실크펩타이드","시클로덱스트린시럽","효소처리스테비아","안식향산나트륨","강황추출액","수크랄로스",NA,NA,NA,NA,NA,NA,NA,"","","","","","","무수구연산","아티초크건조엑스, 솜엉겅퀴추출물","","","","","보존료","","감미료",NA,NA,NA,NA,NA,NA,NA
"8","번호4367","품목보고번호20040275056569","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명메디팜 발효쌍화","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품","잔탄검","구연산(무수)","베타인","아세설팜칼륨","L-아르지닌","수크랄로스","감귤추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","발효 쌍화 농축액","","","","","","","씨트러스추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4366","품목보고번호19970617062127","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터  24개월","제품명메디팜폴리스","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,"음료베이스","정제수","매실농축액","감식초","이소말토올리고당","L-아르지닌","D-소비톨액","베타인","시클로덱스트린시럽","구연산(무수)","형개꽃대","실크펩타이드","효소처리스테비아","매실향","프로폴리스추출액","안식향산나트륨","폴리소르베이트80","강황추출액","수크랄로스",NA,NA,NA,"모로미초","","","","","","","","","","형개","","","합성향료","","보존료","","","감미료",NA,NA,NA
"10","번호4365","품목보고번호20110149027234","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명메디프룻 석류콜라겐 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 brix, 스페인산","베트남산","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
