"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호4324","품목보고번호20130415052199","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명모닝클리어","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","정제수","올리고당","락추로스 파우더(Lactulose Powder)(기능성원료인정제2009-40호)","오렌지농축액","레몬농축액","천연향료","구연산","타마린드검","프락토올리고당","효소처리스테비아","황금혼합추출물","알로에겔분말","","프락토올리고당","","","FROZEN CLEAR LEMON BLEND CONCENTRATE","오렌지향, SC-110325","","","오라프티씨알에프","레바텐프리미엄","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4323","품목보고번호2015041501373","업소명(주)바른음료","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명모닝파워","분류식품","업체명","(주)바른음료","소재지","충청북도 청주시 서원구 현도면 선동2길 220","1","2","3","4","5","6","7","8","9","10","11","12","액상과당","복어추출액","헛개나무열매추출액","구연산","오렌지농축액","사과농축액","비타민C","코치닐추출색소","자몽종자추출물","스테비올배당체","혼합과일향","정제수","","","","","","","","에이씨레드","","레바텐","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4322","품목보고번호19990555093400","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모닝파워","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,"기타과당","동식물혼합추출물","합성향료","비타민C","구연산","오렌지농축액","사과농축액","코치닐추출색소","혼합허브추출물","스테비올배당체",NA,NA,"","","혼합과일향","","함수구연산","","","에이씨레드","복합허브추출물C","스테비올글리코사이드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4321","품목보고번호19890445014518","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명모닝하임 헛개쌍화","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,NA,NA,"헛개나무혼합추출물","액상과당","카르복시메틸셀룰로오스나트륨","카라멜색소","타우린","구연산","자몽종자추출물","효소처리스테비아","L-아스파라긴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4320","품목보고번호20140607614220","업소명한보D&F","품목유형혼합음료","유통/소비기한제조가공일로부터 24개월","제품명모닝헛개골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,"헛개나무열매농축액","감초엑기스","구연산","헛개향","비타민B2","안식향산나트륨","액상과당","정제수",NA,NA,NA,NA,"65birx (중국산)","60brix (우즈베키스탄)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4319","품목보고번호20080181270195","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모닝화이팅 오리지널","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타가공품","헛개나무열매농축액","울금추출물분말","효소처리스테비아","프락토올리고당","배농축액","구연산","구연산삼나트륨","효모추출분말","니코틴산아미드","혼합허브추출물","","헛개발효식초","","","","","","","","","","E","13","14","15","16","17","18","DL-알라닌","타우린","밀크씨슬추출물분말","기타가공품","합성향료","잔탄검","","","","수용성 커큐민 12","자몽향",""
"7","번호4318","품목보고번호20110149027365","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모로 오렌지&비타C","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11",NA,"오렌지농축액","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","벌꿀","비타민C","액상과당",NA,"모로블러드오렌지, 이탈리아산","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4317","품목보고번호1997049210924","업소명두메푸드시스템 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모로미 오미자 식초음료","분류식품","업체명","두메푸드시스템 주식회사","소재지","전라북도 남원시 산내면 천왕봉로 557-16","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"오미자","모로비초","올리고당","혼합수","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4316","품목보고번호20110149027361","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모로블러드오렌지 젤리스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11",NA,"오렌지농축액","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","벌꿀","비타민C","액상과당",NA,"모로블러드오렌지, 이탈리아산","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4315","품목보고번호20110149027390","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명모로오렌지S콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11","12","오렌지농축액","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산","엘라스틴가수분해물","우유","액상과당","모로블러드오렌지, 이탈리아산","베트남산","","","","","","","","","세라마이드","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
